ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Sum
2025-07-01 18:19:22.041,-0.3280056416988373,-6.083666324615479,7.90086555480957,0.0561996027827262,-0.0842994004487991,-0.0745255574584007,-5322,-6422,1506,-320,232,375,8
2025-07-01 18:19:22.145,-0.304063618183136,-4.977545261383057,8.310274124145508,0.0745255574584007,-0.1221730485558509,-0.0867428630590438,-5314,-6129,1602,-781,423,715,8
2025-07-01 18:19:22.743,-0.1580173075199127,-5.023035049438477,8.324639320373535,0.0635299831628799,-0.0146607663482427,-0.0036651915870606,-5464,-6118,1468,542,-342,-112,8
2025-07-01 18:19:22.851,-0.3591302633285522,-4.972756862640381,8.286332130432129,-0.0158824957907199,-0.0073303831741213,-0.0048869219608604,-5060,-6520,2051,250,-316,-114,8
2025-07-01 18:19:22.945,-0.2130839526653289,-5.073313236236572,8.377311706542969,-0.0183259565383195,0.0,0.0,-5645,-6213,1953,358,272,-265,8
2025-07-01 18:19:23.041,-0.2154781520366668,-5.011064052581787,8.360552787780762,-0.0122173046693205,0.0659734457731247,0.0452040284872055,-5496,-6461,1941,-44,-4,-545,8
2025-07-01 18:19:23.245,-0.993593692779541,-7.3669586181640625,6.083666324615479,-1.4782938957214355,-0.0354301854968071,1.3084733486175537,-4757,-6326,2455,-113,-592,-477,8
2025-07-01 18:19:23.747,-0.507570743560791,-5.197812080383301,7.977479934692383,0.0061086523346602,-0.0232128798961639,0.0598647929728031,-4967,-6611,2200,301,1127,-1,8
2025-07-01 18:19:23.840,-0.8882488012313843,-5.542576789855957,7.649474620819092,0.2822197377681732,-0.171042263507843,0.197920337319374,-4791,-6672,2212,867,589,-599,8
2025-07-01 18:19:23.953,-0.5147533416748047,-6.198588371276856,8.676587104797363,-0.4019493460655212,-0.3298672437667846,0.6646214127540588,-4809,-6356,2431,799,507,-445,8
2025-07-01 18:19:24.140,0.1173158809542656,-6.27280855178833,8.24084186553955,-0.3200933933258056,-0.2138028293848037,0.1380555480718612,-4881,-6594,2581,269,-220,-1122,8
2025-07-01 18:19:24.340,1.1252747774124146,-6.756437301635742,7.979874134063721,-1.0409144163131714,0.2443460971117019,1.2962560653686523,-4443,-6825,2512,151,-216,-900,8
2025-07-01 18:19:24.640,-3.646369218826294,-6.852205276489258,6.229712963104248,0.2590068578720093,0.7024950385093689,1.227839112281799,-4060,-7037,2527,99,301,-311,8
2025-07-01 18:19:24.850,-6.358999729156494,-3.059789657592773,5.013458251953125,0.1661553531885147,0.7855727076530457,1.606575608253479,-4051,-6849,2438,-394,-303,-307,8
2025-07-01 18:19:24.940,-7.558494567871094,-2.7078421115875244,5.13316822052002,0.0415388382971286,0.7550294399261475,1.4917329549789429,-4200,-7193,2510,-452,-323,36,8
