ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Sum
2025-06-27 16:09:01.258,-1.946485996246338,-9.083600997924805,2.880224704742432,0.0109955742955207,-0.0268780700862407,-0.0342084541916847,-7663,-2078,2819,-108,-578,118,11
2025-06-27 16:09:01.330,-1.946485996246338,-9.083600997924805,2.880224704742432,0.0109955742955207,-0.0268780700862407,-0.0342084541916847,-8214,-1720,2507,71,558,238,11
2025-06-27 16:09:01.451,-1.953668594360352,-9.136273384094238,2.782062292098999,-0.0085521135479211,-0.0024434609804302,0.0024434609804302,-7917,-2073,2301,-513,254,-279,11
2025-06-27 16:09:01.529,-1.953668594360352,-9.136273384094238,2.782062292098999,-0.0085521135479211,-0.0024434609804302,0.0024434609804302,-7888,-2132,2219,-136,317,19,11
2025-06-27 16:09:01.633,-1.86508309841156,-9.188945770263672,2.559401512145996,-0.0635299831628799,-0.0134390350431203,0.0158824957907199,-7888,-2132,2219,-136,317,19,11
2025-06-27 16:09:01.740,-1.8602946996688845,-9.141061782836914,2.7557260990142822,0.0354301854968071,-0.0195476878434419,0.0012217304902151,-7854,-2121,2194,-335,256,88,11
2025-06-27 16:09:01.842,-1.8602946996688845,-9.141061782836914,2.7557260990142822,0.0354301854968071,-0.0195476878434419,0.0012217304902151,-8218,-1765,2187,123,-104,272,11
2025-06-27 16:09:01.930,-1.7980455160140991,-9.05247688293457,2.715024709701538,0.0842994004487991,-0.0525344125926494,-0.0012217304902151,-8064,-1760,2273,62,111,-92,11
2025-06-27 16:09:02.034,-1.800439715385437,-9.184157371520996,2.964021682739258,0.0097738439217209,-0.0122173046693205,-0.0415388382971286,-7856,-1700,2213,36,269,-17,11
2025-06-27 16:09:02.138,-1.7908629179000854,-9.239224433898926,2.8634653091430664,0.0122173046693205,0.0171042270958423,0.0061086523346602,-8201,-1698,2423,-331,326,298,11
2025-06-27 16:09:02.229,-1.7908629179000854,-9.239224433898926,2.8634653091430664,0.0122173046693205,0.0171042270958423,0.0061086523346602,-8218,-1694,2386,113,-55,-74,11
2025-06-27 16:09:02.332,-1.8626888990402224,-9.045293807983398,2.980781078338623,0.0354301854968071,0.0024434609804302,0.0012217304902151,-8216,-1743,2208,59,124,-91,11
2025-06-27 16:09:02.431,-1.7764976024627686,-9.030928611755373,3.0550012588500977,0.0427605658769607,0.0036651915870606,-0.0012217304902151,-7872,-1707,2187,8,116,29,11
2025-06-27 16:09:02.538,-1.889025092124939,-9.0859956741333,2.782062292098999,0.0036651915870606,0.0073303831741213,-0.0097738439217209,-7887,-1751,2180,-276,-66,-32,11
2025-06-27 16:09:02.630,-1.7908629179000854,-8.87051773071289,3.1507694721221924,0.0305432621389627,0.0195476878434419,-0.0390953756868839,-7932,-1714,2408,51,-53,193,11
2025-06-27 16:09:02.729,-1.8267759084701536,-9.071630477905272,2.942473888397217,-0.0048869219608604,0.0366519130766391,-0.0024434609804302,-8207,-1707,2405,86,-68,521,11
2025-06-27 16:09:02.846,-1.8267759084701536,-9.071630477905272,2.942473888397217,-0.0048869219608604,0.0366519130766391,-0.0024434609804302,-7885,-1913,2398,-99,117,394,11
2025-06-27 16:09:02.942,-1.7525556087493896,-9.059659004211426,3.248931646347046,0.0439822971820831,0.0500909499824047,-0.0293215326964855,-7902,-1515,2406,-277,-97,-272,11
2025-06-27 16:09:03.057,-1.747767210006714,-9.41400146484375,2.748543500900269,0.0342084541916847,0.0537561401724815,-0.0342084541916847,-7922,-1532,2043,-381,343,-125,11
2025-06-27 16:09:03.151,-1.948880195617676,-8.339004516601562,3.203441858291626,-0.0171042270958423,-0.0293215326964855,-0.0158824957907199,-7911,-1829,2001,-383,268,294,11
2025-06-27 16:09:03.243,-1.7405846118927002,-9.21288776397705,2.896984100341797,0.0842994004487991,-0.1392772793769836,0.0537561401724815,-7911,-1829,2001,-383,268,294,11
