ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Sum
2025-06-27 15:59:47.333,-1.9345149993896484,-9.24640655517578,2.671929121017456,-0.0036651915870606,-0.0024434609804302,-0.0024434609804302,-7728,-3376,2912,28,-116,109,4
2025-06-27 15:59:47.433,-1.98958158493042,-9.23682975769043,2.590526342391968,0.0012217304902151,-0.0134390350431203,-0.0146607663482427,-7764,-3334,2901,68,-112,-100,4
2025-06-27 15:59:47.528,-1.9321208000183103,-9.150638580322266,2.568978309631348,0.0,0.0024434609804302,-0.0061086523346602,-7748,-3332,2922,75,-120,-117,4
2025-06-27 15:59:47.641,-1.968033790588379,-9.165003776550291,2.5330653190612797,0.0146607663482427,-0.0073303831741213,-0.0171042270958423,-7733,-3059,2892,21,-87,-67,4
2025-06-27 15:59:47.719,-1.8986018896102903,-9.279925346374512,2.6431987285614014,0.0219911485910415,-0.0476474873721599,-0.0122173046693205,-7774,-3340,2868,-264,-51,-47,4
2025-06-27 15:59:47.819,-1.867477297782898,-9.198522567749023,2.607285737991333,-0.0097738439217209,0.0171042270958423,0.0073303831741213,-7786,-3061,2845,55,-46,-76,4
2025-06-27 15:59:47.925,-1.8579005002975464,-9.160215377807615,2.7006595134735107,0.0048869219608604,0.0061086523346602,-0.0036651915870606,-7741,-3022,2863,91,127,-107,4
2025-06-27 15:59:48.019,-1.941697597503662,-9.239224433898926,2.7317841053009038,0.0073303831741213,0.0219911485910415,0.0048869219608604,-7741,-3022,2863,91,127,-107,4
2025-06-27 15:59:48.111,-1.953668594360352,-9.232041358947754,2.674323320388794,0.0097738439217209,0.0109955742955207,0.0036651915870606,-7798,-3070,2878,104,-93,-121,4
2025-06-27 15:59:48.217,-1.9273324012756348,-9.165003776550291,2.5761611461639404,0.0158824957907199,0.0195476878434419,0.0219911485910415,-7781,-3331,2913,-111,-58,-63,4
2025-06-27 15:59:48.326,-1.944091796875,-9.21288776397705,2.7126305103302,0.0097738439217209,0.0048869219608604,0.0109955742955207,-7798,-3031,2891,-92,-89,-77,4
2025-06-27 15:59:48.428,-1.944091796875,-9.23443603515625,2.748543500900269,0.0464257597923278,0.0195476878434419,0.0232128798961639,-7802,-3021,2905,-92,-115,-76,4
2025-06-27 15:59:48.511,-2.0183119773864746,-8.987833023071289,2.8203697204589844,0.2174680233001709,0.1356120854616165,0.0830776765942573,-7796,-3018,2872,-43,-82,-35,4
2025-06-27 15:59:48.610,-2.240972757339477,-8.80587387084961,2.7700912952423096,0.0427605658769607,0.0684169083833694,0.0696386396884918,-7559,-2979,2879,-31,-83,-24,4
2025-06-27 15:59:48.711,-2.1284453868865967,-9.157821655273438,2.9065608978271484,-0.067195177078247,-0.0012217304902151,-0.0012217304902151,-7800,-2961,2919,-88,-51,261,4
2025-06-27 15:59:48.812,-2.138022184371948,-9.045293807983398,2.868253707885742,-0.0109955742955207,-0.0122173046693205,-0.0183259565383195,-7612,-2988,2906,-98,273,291,4
2025-06-27 15:59:48.924,-2.1284453868865967,-9.047688484191896,2.889801502227783,-0.0134390350431203,-0.0048869219608604,-0.0158824957907199,-7648,-3162,2872,-7,178,410,4
2025-06-27 15:59:49.031,-2.1284453868865967,-9.047688484191896,2.889801502227783,-0.0134390350431203,-0.0048869219608604,-0.0158824957907199,-7569,-2823,2499,638,410,385,4
2025-06-27 15:59:49.112,-1.482010841369629,-10.000580787658691,3.4811692237854004,0.1844813078641891,-0.1392772793769836,-0.1844813078641891,-7569,-2823,2499,638,410,385,4
2025-06-27 15:59:49.213,-1.747767210006714,-8.987833023071289,3.294421434402466,-0.0293215326964855,0.0806342139840126,0.167377084493637,-8056,-2557,2619,-77,354,590,4
2025-06-27 15:59:49.311,-2.051830768585205,-8.798690795898438,2.7964274883270264,-0.0366519130766391,0.0830776765942573,0.0256563406437635,-8053,-2506,2619,256,315,607,4
2025-06-27 15:59:49.424,-1.972822189331055,-9.17697525024414,3.045424461364746,0.130725160241127,-0.0036651915870606,-0.0195476878434419,-8028,-2295,2664,98,-91,137,4
2025-06-27 15:59:49.511,-2.0015525817871094,-8.889671325683594,3.383007049560547,0.1295034289360046,0.0500909499824047,0.0317649915814399,-8028,-2295,2664,98,-91,137,4
