ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Sum
2025-06-27 15:45:45.004,-1.0079588890075684,-8.743624687194824,4.041412353515625,0.7953465580940247,-0.1062905490398407,-0.0280998013913631,-7789,-2020,-16,-618,-463,271,1
2025-06-27 15:45:45.108,-1.0797849893569946,-7.996633529663086,5.370194435119629,0.7183775305747986,-0.0952949747443199,0.0427605658769607,-7789,-2020,-16,-618,-463,271,1
2025-06-27 15:45:45.211,-1.0797849893569946,-7.996633529663086,5.370194435119629,0.7183775305747986,-0.0952949747443199,0.0427605658769607,-7728,-2335,166,-75,317,102,1
2025-06-27 15:45:45.312,-0.6392518281936646,-8.01339340209961,5.513846397399902,0.0073303831741213,-0.0623082555830478,-0.0134390350431203,-7361,-2555,161,-96,-32,-148,1
2025-06-27 15:45:45.413,-0.9050082564353944,-8.276755332946777,4.81473970413208,-0.5534439086914062,0.0342084541916847,-0.0256563406437635,-7361,-2555,161,-96,-32,-148,1
2025-06-27 15:45:45.510,-1.5682021379470823,-8.245630264282227,4.721365928649902,-0.7831292152404785,-0.0036651915870606,0.0134390350431203,-7361,-2555,161,-96,-32,-148,1
2025-06-27 15:45:45.616,-1.434126853942871,-8.772355079650879,4.410119533538818,-0.3323107063770294,0.0561996027827262,-0.0171042270958423,-7418,-2398,-122,114,600,208,1
2025-06-27 15:45:45.718,-1.039083480834961,-8.956708908081055,4.010287761688232,-0.1038470938801765,0.1331686228513717,-0.0549778714776039,-7418,-2398,-122,114,600,208,1
2025-06-27 15:45:45.804,-1.0199298858642578,-9.469067573547363,3.3925838470458984,0.6316346526145935,0.0928515195846557,-0.0867428630590438,-7418,-2398,-122,114,600,208,1
2025-06-27 15:45:45.904,-2.154781579971313,-7.661445617675781,4.108449935913086,2.420248031616211,0.0818559452891349,0.098960168659687,-7424,-2420,-281,-215,-14,21,1
