ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Sum
2025-06-27 13:14:53.815,9.375694274902344,-3.512293815612793,1.577778935432434,-0.0794124826788902,0.0183259565383195,-0.0390953756868839,-7290,-3651,4603,-2,-21,-61,9
2025-06-27 13:14:53.899,9.409213066101074,-3.488351821899414,1.7357962131500244,-0.0549778714776039,-0.0036651915870606,0.0,-7287,-3654,4894,-1,-10,-51,9
2025-06-27 13:14:54.006,9.490615844726562,-3.0550012588500977,2.056619167327881,0.0207694191485643,0.0696386396884918,-0.0500909499824047,-7188,-3706,4968,-59,263,-119,9
2025-06-27 13:14:54.203,9.29429054260254,-3.2752678394317627,1.869871497154236,-0.1185078546404838,0.140499010682106,-0.0806342139840126,-7194,-3693,4943,92,-9,-70,9
2025-06-27 13:14:54.696,5.48272180557251,-5.717353820800781,3.6511576175689697,-0.5461135506629944,0.9676105380058287,0.5400048494338989,-6954,-3920,4425,3989,2952,-304,9
2025-06-27 13:14:54.795,5.188235282897949,-5.655104637145996,3.536235809326172,-0.3127630054950714,0.5448917746543884,0.0830776765942573,-7762,-3896,3392,1743,1223,363,9
2025-06-27 13:14:54.897,5.60722017288208,-5.834669589996338,2.6431987285614014,-0.5338962078094482,0.3298672437667846,-0.0806342139840126,-7478,-3482,3376,1593,334,362,9
2025-06-27 13:14:55.016,7.208941459655762,-5.6455278396606445,2.681505918502808,0.923628270626068,-0.3762930035591125,0.0171042270958423,-7937,-3348,3020,-383,-779,1031,9
2025-06-27 13:14:55.095,7.321468830108643,-6.081272125244141,3.6320040225982666,-0.7953465580940247,-0.1551597714424133,0.3640756905078888,-7754,-3593,3925,-1171,-1864,1394,9
2025-06-27 13:14:55.196,7.287950038909912,-7.814674377441406,4.352658748626709,-1.4648548364639282,-0.0830776765942573,0.1759291887283325,-7799,-3245,4158,-1179,-1670,1008,9
2025-06-27 13:14:55.296,6.088454723358154,-7.668628215789795,3.924096584320069,0.6145304441452026,-0.1123992055654525,0.5253441333770752,-7553,-2242,4974,-793,-1478,648,9
2025-06-27 13:14:55.701,3.260902643203736,-8.767566680908203,2.38462495803833,0.93095862865448,-0.6768386960029602,0.9896016716957092,-8275,-385,4570,523,778,-1320,9
2025-06-27 13:14:55.805,1.5179238319396973,-8.544905662536621,3.3710360527038574,-0.3445279896259308,-0.8735373020172119,0.5583308339118958,-8450,-866,4592,206,568,-1505,9
2025-06-27 13:14:55.897,0.9528923034667968,-9.153033256530762,4.671087741851807,0.2700024247169494,-0.6976081132888794,0.6475171446800232,-7957,-716,4501,-326,-288,-1135,9
2025-06-27 13:14:56.019,0.9672574996948242,-8.564059257507324,3.3877954483032227,-0.4129449129104614,-0.6695083379745483,0.9004153609275818,-7762,-1916,5166,-306,-436,-873,9
2025-06-27 13:14:56.405,-0.7876923680305481,-8.38688850402832,2.118868589401245,0.6988298296928406,0.0720821022987365,0.3677408695220947,-7508,-4041,3997,-1877,430,-738,9
2025-06-27 13:14:56.502,-1.216254472732544,-8.774748802185059,1.98958158493042,1.3145819902420044,-0.0427605658769607,0.2981022298336029,-6590,-4228,3936,-1208,16,-454,9
2025-06-27 13:14:56.596,-1.2689268589019775,-6.789956092834473,4.393360137939453,1.4245377779006958,0.1991420686244964,0.1649336218833923,-6833,-4329,3861,-1196,376,-309,9
2025-06-27 13:14:56.696,-1.436521053314209,-6.830657482147217,5.348646640777588,1.5063936710357666,0.6096435189247131,0.2406809031963348,-6999,-4333,3513,-954,42,-577,9
2025-06-27 13:14:56.808,-1.6903064250946045,-6.813898086547852,6.421248912811279,2.124589204788208,0.5338962078094482,0.1747074574232101,-6871,-4330,3667,-1120,-162,-818,9
2025-06-27 13:14:56.913,-2.5737667083740234,-6.461950302124023,6.433219909667969,1.5540411472320557,0.4251621961593628,0.513126790523529,-7047,-4287,3496,-694,-423,-200,9
2025-06-27 13:14:57.012,-3.184288263320923,-6.19379997253418,6.102819919586182,1.1288789510726929,0.2834414839744568,0.6890559792518616,-7178,-4213,4160,-148,-680,276,9
2025-06-27 13:14:57.113,-3.337517261505127,-5.008669853210449,7.824251174926758,0.3310889601707458,0.3237585723400116,0.3445279896259308,-7271,-3725,4412,-74,-687,520,9
2025-06-27 13:14:57.314,-6.912060260772705,-5.671864032745361,7.623138427734375,-0.0195476878434419,0.9627236127853394,1.253495454788208,-6950,-3945,4946,-51,-960,-165,9
2025-06-27 13:14:57.503,-6.672640323638916,-1.678335428237915,5.31273365020752,1.7373007535934448,0.6902777552604675,1.5968017578125,-6733,-4082,5063,1014,35,-2122,9
2025-06-27 13:14:57.797,-7.228095054626465,2.9089550971984863,4.094084739685059,0.7073819637298584,0.3555235862731933,0.3677408695220947,-6108,-4954,5233,986,393,-3046,9
2025-06-27 13:14:58.120,-7.374141216278076,4.364629745483398,3.3854012489318848,0.1685988008975982,0.1832595765590667,0.1685988008975982,-4351,-6520,5282,-74,-551,-1472,9
2025-06-27 13:14:58.303,-7.694964408874512,5.035006046295166,3.339911460876465,0.3029891550540924,0.0,0.0842994004487991,-4393,-6587,5262,85,596,-559,9
2025-06-27 13:14:58.423,-7.546523571014404,4.7405195236206055,3.1220390796661377,0.251676470041275,0.0623082555830478,0.0879645943641662,-4007,-6571,5251,-79,178,-322,9
2025-06-27 13:14:58.496,-7.345410823822021,4.797980308532715,2.6144683361053467,0.180816113948822,0.0024434609804302,0.0708603709936142,-4108,-6637,5264,-46,252,-304,9
2025-06-27 13:14:58.596,-7.587224960327148,5.013458251953125,2.6408045291900635,0.2541199326515198,0.0549778714776039,-0.0048869219608604,-4003,-6594,5494,-54,615,-139,9
2025-06-27 13:14:58.696,-7.161057472229004,5.046977043151856,2.4468741416931152,0.2370157092809677,0.051312681287527,0.0,-4020,-6635,5451,-18,580,-378,9
2025-06-27 13:14:58.796,-7.627926826477051,4.886565685272217,2.913743495941162,-0.384845107793808,-0.0561996027827262,-0.058643065392971,-4122,-6563,5250,-528,-615,-66,9
