ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Sum
2025-06-27 16:15:45.198,9.672574996948242,-1.8315643072128296,2.248155355453491,-0.0879645943641662,-0.0305432621389627,-0.0317649915814399,-7688,-3270,1805,202,295,269,3
2025-06-27 16:15:45.297,9.713275909423828,-1.7118542194366455,2.19308876991272,-0.1624901592731475,0.0073303831741213,0.0745255574584007,-7374,-3594,1527,182,-42,-14,3
2025-06-27 16:15:45.597,9.497797966003418,-1.4772224426269531,1.9177556037902832,-0.7452555894851685,0.0928515195846557,-0.0855211317539215,-7314,-3711,1424,1557,305,495,3
2025-06-27 16:15:45.797,9.57441234588623,-1.821987509727478,1.7357962131500244,-0.6829473376274109,-0.1258382350206375,-0.4202753007411957,-7807,-2808,1463,638,323,730,3
2025-06-27 16:15:45.997,10.395624160766602,-1.335964560508728,2.782062292098999,-2.046398639678955,0.3310889601707458,-0.3933972120285034,-8029,-2407,2113,-290,-593,587,3
2025-06-27 16:15:46.098,9.528923034667969,-2.6216509342193604,2.2673089504241943,-1.3536773920059204,0.5644394755363464,-0.0635299831628799,-7801,-2980,1748,-338,-743,-891,3
2025-06-27 16:15:46.199,10.007762908935549,-1.498770236968994,1.915361404418945,-0.6316346526145935,0.4740314185619354,0.0195476878434419,-8006,-3013,2082,46,-1174,-890,3
2025-06-27 16:15:46.506,9.481039047241213,-2.1595699787139893,2.099714994430542,-0.96883225440979,-0.0696386396884918,-0.3323107063770294,-6027,-2693,3375,1119,2593,-1184,3
2025-06-27 16:15:46.597,9.87608242034912,-1.81959331035614,1.941697597503662,-0.6719517707824707,-0.1429424732923507,-0.8014551997184753,-8898,-3653,2192,811,3982,115,3
2025-06-27 16:15:46.698,9.945513725280762,-2.166752576828003,1.6950948238372805,-0.9297369122505188,0.0195476878434419,-0.2247984111309051,-8278,-3370,2379,343,-2906,1338,3
2025-06-27 16:15:46.807,9.904812812805176,-2.391807556152344,1.6400281190872192,-0.7684684991836548,0.0879645943641662,-0.0537561401724815,-6982,-3456,3234,1652,-1712,873,3
2025-06-27 16:15:46.902,10.010157585144045,-2.286462545394897,1.3527239561080933,-0.6426302194595337,0.2785545587539673,0.0366519130766391,-7610,-4119,3763,3267,-807,864,3
2025-06-27 16:15:47.006,10.182539939880373,-2.4803929328918457,0.8595184087753296,-0.394618958234787,0.2956587672233581,0.2822197377681732,-6964,-6231,4554,13139,1118,2902,3
2025-06-27 16:15:47.113,9.5624418258667,-1.9560627937316892,0.5147533416748047,-0.452040284872055,0.304210901260376,0.3335324227809906,-5446,-3590,1202,24765,5488,5231,3
2025-06-27 16:15:47.316,9.260771751403809,-2.5067291259765625,0.8092401623725891,-0.7379252314567566,0.0036651915870606,-0.432492583990097,-8524,3261,-69,7838,1312,3214,3
2025-06-27 16:15:47.413,9.57201862335205,-2.80361008644104,1.498770236968994,-0.6438519954681396,0.0623082555830478,-0.5900958180427551,-7761,1845,963,4329,-580,2185,3
2025-06-27 16:15:47.599,9.68933391571045,-2.801215887069702,2.3750481605529785,-0.8087855577468872,0.1661553531885147,-0.4569272100925445,-8530,2497,-376,2692,-1290,1315,3
