ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Sum
2025-06-27 15:49:04.509,0.1077390760183334,-0.5578489899635315,9.78989028930664,-0.221133217215538,0.0061086523346602,-0.0207694191485643,-7769,-2971,1809,-266,-85,251,0
2025-06-27 15:49:04.608,0.1077390760183334,-0.5578489899635315,9.78989028930664,-0.221133217215538,0.0061086523346602,-0.0207694191485643,-7769,-2971,1809,-266,-85,251,0
2025-06-27 15:49:04.709,0.2873041927814483,-0.6560112833976746,9.586383819580078,0.3481931984424591,-0.0207694191485643,0.0549778714776039,-7361,-3041,1708,-1897,-850,175,0
2025-06-27 15:49:04.808,0.2705447971820831,-1.7357962131500244,9.615114212036133,0.2357939779758453,-0.1148426681756973,0.0219911485910415,-7394,-3434,1874,-660,-57,34,0
2025-06-27 15:49:04.908,0.4261679053306579,-1.1180921792984009,10.077195167541504,0.1954768747091293,-0.504574716091156,0.0745255574584007,-7772,-3120,1476,270,323,80,0
2025-06-27 15:49:05.008,0.4261679053306579,-1.1180921792984009,10.077195167541504,0.1954768747091293,-0.504574716091156,0.0745255574584007,-7741,-3416,1419,-93,74,-84,0
2025-06-27 15:49:05.108,0.3495534360408783,-0.9313444495201112,10.319009780883787,0.4642575979232788,0.0867428630590438,0.1918116807937622,-7377,-3015,1424,-218,-214,259,0
2025-06-27 15:49:05.208,0.8427590131759644,-0.7134721279144287,5.3797712326049805,-0.4495968222618103,0.1991420686244964,-0.0378736443817615,-7571,-3146,1808,-647,-205,953,0
2025-06-27 15:49:05.309,-3.450044631958008,-0.2633621990680694,7.836222171783447,-0.0525344125926494,0.750142514705658,-0.0830776765942573,-7571,-2821,1520,-269,16,781,0
2025-06-27 15:49:05.408,-0.1412578970193863,-0.8810662031173706,9.464279174804688,0.4129449129104614,0.0268780700862407,0.1026253625750541,-7817,-2277,1434,-580,-384,138,0
2025-06-27 15:49:05.508,-0.1412578970193863,-0.8810662031173706,9.464279174804688,0.4129449129104614,0.0268780700862407,0.1026253625750541,-7959,-2463,1878,-871,-435,-62,0
2025-06-27 15:49:05.614,-0.1532289087772369,0.42377370595932,9.583989143371582,0.4715879559516907,-0.167377084493637,0.1295034289360046,-7594,-2837,1726,-173,-198,38,0
2025-06-27 15:49:05.709,-0.090979665517807,-0.0383072271943092,9.57201862335205,-0.0036651915870606,0.107512280344963,0.0977384373545646,-7592,-2820,1703,56,4,-300,0
2025-06-27 15:49:05.829,-0.0837970599532127,0.3782838582992553,9.641449928283691,-0.0781907513737678,-0.0427605658769607,-0.0073303831741213,-7948,-2551,1871,628,227,20,0
2025-06-27 15:49:05.928,-0.0143652101978659,1.273715257644653,9.794678688049316,0.171042263507843,-0.0219911485910415,0.1209513172507286,-7975,-2521,1850,240,136,31,0
2025-06-27 15:49:06.021,-0.2178723514080047,-0.1891419291496276,9.545681953430176,-0.0794124826788902,-0.0427605658769607,0.1966986060142517,-7716,-3158,1873,426,447,-276,0
2025-06-27 15:49:06.118,-0.2178723514080047,-0.1891419291496276,9.545681953430176,-0.0794124826788902,-0.0427605658769607,0.1966986060142517,-7716,-3158,1873,426,447,-276,0
2025-06-27 15:49:06.224,0.0526724383234977,1.1659762859344482,10.187328338623049,-0.759916365146637,0.1649336218833923,-0.058643065392971,-7762,-3130,1663,1912,1204,76,0
2025-06-27 15:49:06.321,0.1580173075199127,-2.0015525817871094,9.66539192199707,-3.082426071166992,0.7916813492774963,-0.5693264007568359,-7581,-2771,1605,2116,1570,-97,0
2025-06-27 15:49:06.423,-1.0869675874710083,-4.920084476470947,7.977479934692383,-1.359786033630371,0.6340781450271606,-1.1655309200286863,-7613,-2782,1204,-938,-151,21,0
2025-06-27 15:49:06.521,-0.6655880808830261,-6.268020153045654,7.261613845825195,-0.0965167060494422,0.342084527015686,-0.3872885704040527,-7613,-2782,1204,-938,-151,21,0
2025-06-27 15:49:06.627,-0.6655880808830261,-6.268020153045654,7.261613845825195,-0.0965167060494422,0.342084527015686,-0.3872885704040527,-7778,-3090,1544,-722,-198,300,0
2025-06-27 15:49:06.717,-0.9457096457481384,-6.157886981964111,7.711723804473877,0.4630358517169952,0.0952949747443199,-0.0464257597923278,-7614,-2835,1182,-513,-119,-114,0
