ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Num
2025-07-01 18:25:00.395,5.013458251953125,-0.3567360639572143,8.133103370666504,0.0097738439217209,-0.2871066629886627,-0.0048869219608604,2382,-7784,2658,18,127,-173,4
2025-07-01 18:25:00.595,4.93923807144165,0.0239420160651206,8.554482460021973,0.1209513172507286,-0.0794124826788902,-0.0024434609804302,2412,-7759,2637,-268,-90,-349,4
2025-07-01 18:25:00.705,5.128379821777344,-0.0071826050989329,8.377311706542969,0.0977384373545646,0.3335324227809906,-0.0183259565383195,2407,-7722,2625,-298,-90,-366,4
2025-07-01 18:25:00.802,5.128379821777344,-0.0071826050989329,8.377311706542969,0.0977384373545646,0.3335324227809906,-0.0183259565383195,2430,-7761,2605,-354,-114,-208,4
2025-07-01 18:25:01.106,4.501099109649658,-0.3734954595565796,8.746018409729004,0.0610865242779254,-0.2150245606899261,-0.0109955742955207,2253,-7727,2569,27,108,-302,4
2025-07-01 18:25:01.297,4.7189717292785645,-0.059855043888092,8.576030731201172,-0.0134390350431203,-0.1600466966629028,-0.0012217304902151,2287,-7742,2273,-305,287,-239,4
2025-07-01 18:25:01.396,4.757278919219971,-0.0766144543886184,8.678980827331543,-0.0048869219608604,0.0293215326964855,0.0500909499824047,2614,-7719,2287,81,-259,-422,4
2025-07-01 18:25:01.506,4.398148536682129,0.1125274822115898,8.78432559967041,-0.1111774742603302,0.294437050819397,0.0842994004487991,2458,-7412,2266,-69,-544,-424,4
2025-07-01 18:25:01.607,4.268861770629883,-0.2202665507793426,8.848969459533691,0.0158824957907199,0.0623082555830478,0.0048869219608604,2554,-7683,2285,-43,-608,-431,4
2025-07-01 18:25:01.801,4.170699596405029,-0.0550666376948356,8.901641845703125,0.0012217304902151,0.0207694191485643,-0.0048869219608604,2688,-7482,2590,-278,516,33,4
2025-07-01 18:25:02.095,4.022258758544922,-0.2154781520366668,8.949525833129883,-0.0012217304902151,0.0855211317539215,0.0061086523346602,3010,-7503,2410,-229,-442,-630,4
2025-07-01 18:25:02.196,3.679888010025024,0.3591302633285522,8.83699893951416,-0.1087340116500854,0.0464257597923278,-0.0195476878434419,3363,-7466,2268,273,345,-188,4
2025-07-01 18:25:02.299,3.679888010025024,0.3591302633285522,8.83699893951416,-0.1087340116500854,0.0464257597923278,-0.0195476878434419,3363,-7466,2268,273,345,-188,4
2025-07-01 18:25:02.502,4.031835556030273,-1.6089035272598269,9.13387966156006,-0.1197295859456062,-0.2223549485206604,-0.0158824957907199,3039,-7448,2275,330,169,-323,4
2025-07-01 18:25:02.704,4.49870491027832,-1.0606313943862915,8.669404029846191,-0.4190535545349121,-0.7586946487426758,-0.2125810980796814,2765,-7460,2606,-76,-121,301,4
2025-07-01 18:25:03.101,5.7987565994262695,-0.5913678407669067,8.118738174438477,0.0769690200686454,0.1148426681756973,-0.0415388382971286,2693,-7547,2234,1,-128,65,4
2025-07-01 18:25:03.196,5.585672378540039,-0.3902548849582672,8.142680168151855,-0.0280998013913631,0.0940732508897781,-0.0244346093386411,2698,-7330,2292,122,-280,122,4
2025-07-01 18:25:03.295,5.430049419403076,-0.5602431893348694,8.259995460510254,-0.0280998013913631,0.0476474873721599,0.0036651915870606,2711,-7332,2294,-103,-334,-63,4
2025-07-01 18:25:03.396,5.612008571624756,-0.4884171485900879,8.109161376953125,0.0268780700862407,-0.0561996027827262,0.0012217304902151,2534,-7361,2464,589,165,384,4
2025-07-01 18:25:03.499,5.6455278396606445,-0.6703764796257019,8.128314971923828,-0.0354301854968071,0.0390953756868839,-0.0048869219608604,2494,-7547,2527,-75,-308,68,4
2025-07-01 18:25:03.598,5.521028995513916,-0.6057330369949341,8.164227485656738,-0.0855211317539215,0.0183259565383195,0.0048869219608604,2496,-7339,2458,36,120,24,4
2025-07-01 18:25:04.095,5.638344764709473,-0.6009446382522583,8.1139497756958,-0.0232128798961639,-0.0207694191485643,0.0024434609804302,2471,-7300,2551,296,-334,462,4
2025-07-01 18:25:04.196,5.509057998657227,-0.5339069962501526,8.092401504516602,0.0,0.0293215326964855,-0.0036651915870606,2587,-7342,2548,-277,206,309,4
