ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Num
2025-06-27 16:47:31.931,9.5624418258667,-2.580949544906616,1.280897855758667,-0.9761626720428468,-1.4929546117782593,-0.8124507665634155,-8187,-1525,1517,553,545,-101,2
2025-06-27 16:47:32.332,8.085219383239746,-2.2649147510528564,1.6879122257232666,-0.0061086523346602,0.3445279896259308,0.6291912198066711,-7582,-1585,2899,-208,436,-668,2
2025-06-27 16:47:32.527,8.652645111083984,-2.233790159225464,2.736572504043579,1.6016886234283447,-0.1490511149168014,0.3200933933258056,-7623,-455,2505,-1777,949,482,2
2025-06-27 16:47:32.635,8.765172004699707,-2.956839084625244,2.097320795059204,0.6988298296928406,-0.1637118905782699,0.2370157092809677,-7712,-233,2630,-4710,1645,1310,2
2025-06-27 16:47:32.827,8.10437297821045,-3.689464807510376,1.4724340438842771,1.3585642576217651,-0.4495968222618103,0.098960168659687,-7993,-1421,1658,-11559,-1023,3106,2
2025-06-27 16:47:32.928,8.69095230102539,-3.2321722507476807,1.7860745191574097,1.398881435394287,-0.3164281845092773,0.6633996367454529,-7254,837,2125,-4260,2477,1069,2
2025-06-27 16:47:33.328,9.536105155944824,-1.1109095811843872,2.03507137298584,-0.0647517144680023,0.4471533596515655,0.2797762751579284,-7050,2779,-46,-1961,483,1012,2
2025-06-27 16:47:33.541,11.298237800598145,-0.9409212470054626,4.1180267333984375,1.2889256477355957,0.0598647929728031,-0.1209513172507286,-8193,3588,-328,-1336,1915,742,2
2025-06-27 16:47:33.644,10.299856185913086,-1.8052281141281128,3.3901896476745605,0.3262020349502563,-0.4471533596515655,0.2345722615718841,-7919,3252,-59,-1090,1019,1112,2
2025-06-27 16:47:33.745,13.816938400268556,-2.932897090911865,3.014299869537353,-1.8594738245010376,-0.6426302194595337,1.026253581047058,-7906,4058,-192,-537,1178,-49,2
2025-06-27 16:47:33.950,9.2033109664917,-7.156269073486328,0.646434485912323,-1.7067575454711914,0.2956587672233581,1.7336355447769165,-7905,3994,-190,-188,1332,51,2
2025-06-27 16:47:34.042,6.615179061889648,-7.862558364868164,-0.9289502501487732,-0.9053022861480712,0.0280998013913631,1.557706356048584,-7945,3327,-647,435,-318,-1533,2
2025-06-27 16:47:34.341,2.3558945655822754,-5.868188381195068,0.0,0.8210029006004333,-0.7941248416900635,1.0311405658721924,-7950,3288,-773,636,-316,-1788,2
2025-06-27 16:47:34.435,1.1899182796478271,-7.259219646453857,-0.6320692300796509,0.384845107793808,-0.6719517707824707,0.996932089328766,-7946,3371,-454,-359,-418,-1745,2
2025-06-27 16:47:34.627,0.0837970599532127,-9.279925346374512,0.6703764796257019,0.3811798989772796,-1.4440854787826538,0.6133087277412415,-7021,1280,1143,-3207,-465,-2346,2
2025-06-27 16:47:34.727,5.940014362335205,-13.563152313232422,16.859968185424805,-0.0244346093386411,0.5021312236785889,1.519832730293274,-7432,694,1233,-3395,-601,-1756,2
2025-06-27 16:47:34.932,-1.5466543436050415,-6.6630635261535645,-3.998316764831543,1.5943583250045776,-0.2834414839744568,0.4691445231437683,-7427,685,1267,-3068,-245,-1778,2
2025-06-27 16:47:35.149,-1.3263877630233765,-10.967838287353516,1.4939818382263184,-2.7391197681427,-0.6609562039375305,0.0916297882795333,-7689,819,1632,-3000,116,-1740,2
2025-06-27 16:47:35.341,-0.0742202550172805,-11.27190113067627,-0.9983820915222168,-2.3823745250701904,-0.0537561401724815,0.2431243658065796,-7668,526,1898,-2690,-95,-1871,2
2025-06-27 16:47:35.450,-1.886630892753601,-9.813833236694336,-2.6671407222747803,-0.1820378452539444,0.5766568183898926,0.5485569834709167,-7935,-185,1498,-1138,-326,-1144,2
2025-06-27 16:47:35.527,-2.252943754196167,-9.385271072387695,-0.5937620401382446,1.49906325340271,0.4532620012760162,0.6829473376274109,-8466,-561,1888,-606,107,-818,2
2025-06-27 16:47:35.627,-2.408566951751709,-8.638279914855957,-0.4644751250743866,1.1814134120941162,0.5302310585975647,0.977384388446808,-8097,-614,1510,-100,54,-33,2
2025-06-27 16:47:35.729,-3.5482068061828613,-6.856993675231934,0.4357447028160095,-0.0561996027827262,0.2895501255989074,0.4227187633514404,-7846,-604,1474,463,-332,-607,2
2025-06-27 16:47:36.034,-3.05260705947876,-7.331045627593994,6.179434776306152,0.6621779203414917,-0.2345722615718841,0.1123992055654525,-8455,-807,882,999,727,-106,2
2025-06-27 16:47:36.138,-2.7940332889556885,-6.5912370681762695,5.128379821777344,0.0012217304902151,0.0061086523346602,0.3445279896259308,-7620,-41,267,-308,1298,1696,2
2025-06-27 16:47:36.232,-3.3518824577331543,-5.137956619262695,3.663128614425659,-0.3384193480014801,-0.4874704778194427,-0.0488692186772823,-8103,-59,-222,-1191,423,305,2
2025-06-27 16:47:36.427,-4.553771495819092,-8.382100105285645,0.2513911724090576,-0.294437050819397,-0.6902777552604675,-0.2602286040782928,-8033,84,333,-2278,-561,-1423,2
2025-06-27 16:47:36.627,-3.9624037742614746,-9.66299819946289,2.073378562927246,-0.6316346526145935,-1.3866641521453855,0.5864306092262268,-8044,-1343,2137,-2062,-1360,-2887,2
2025-06-27 16:47:37.143,-5.475539207458496,-5.116408824920654,6.31829833984375,0.5864306092262268,-0.0366519130766391,0.0757472887635231,-7791,-2631,1688,246,-174,-464,2
2025-06-27 16:47:37.329,-7.252037048339844,-4.3191399574279785,6.7492547035217285,-0.2076941877603531,0.3200933933258056,-0.1087340116500854,-7949,-2557,1710,254,-243,-143,2
2025-06-27 16:47:37.430,-5.6910176277160645,-4.110844135284424,5.659893035888672,0.7367035150527954,0.0842994004487991,-0.1429424732923507,-7885,-2367,1729,169,-368,1149,2
2025-06-27 16:47:37.527,-5.530605792999268,-4.793191909790039,6.287173748016357,0.5827654600143433,-0.1820378452539444,0.1563815027475357,-8247,-1521,2218,250,-698,1440,2
2025-06-27 16:47:37.728,-7.745242595672607,-4.14915132522583,7.046135425567627,-0.1600466966629028,0.1050688251852989,-0.4825835525989532,-8533,-1055,2690,617,266,729,2
2025-06-27 16:47:38.034,-5.702988624572754,-4.321534156799316,5.973533153533936,0.0036651915870606,0.1136209368705749,-0.2125810980796814,-8264,-521,2513,544,348,457,2
2025-06-27 16:47:38.240,-6.277596950531006,-3.251325845718384,5.781997203826904,-0.0781907513737678,-0.0146607663482427,-0.0366519130766391,-8155,-472,2897,78,370,213,2
2025-06-27 16:47:38.353,-6.119579315185547,-4.6734819412231445,6.564900875091553,-0.1295034289360046,0.0305432621389627,-0.0073303831741213,-8266,-776,2841,282,-10,117,2
2025-06-27 16:47:38.527,-6.856993675231934,-3.806780815124512,4.704606533050537,0.1698205322027206,0.1038470938801765,-0.2064724564552307,-8277,-846,2879,103,-269,96,2
2025-06-27 16:47:38.643,-6.36378812789917,-5.604825973510742,5.161899089813232,0.1062905490398407,-0.3665191531181335,0.2773328125476837,-8468,-408,2827,-118,-46,-37,2
2025-06-27 16:47:38.938,-6.337451934814453,-3.581725835800171,4.853046894073486,-0.7440338730812073,0.2272418737411499,-0.5057964324951172,-8260,-485,2884,-105,6,-304,2
