ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Num
2025-06-27 16:09:01.415,-1.953668594360352,-9.136273384094238,2.782062292098999,-0.0085521135479211,-0.0024434609804302,0.0024434609804302,-7663,-2078,2819,-108,-578,118,11
2025-06-27 16:09:01.615,-1.86508309841156,-9.188945770263672,2.559401512145996,-0.0635299831628799,-0.0134390350431203,0.0158824957907199,-8214,-1720,2507,71,558,238,11
2025-06-27 16:09:01.715,-1.8602946996688845,-9.141061782836914,2.7557260990142822,0.0354301854968071,-0.0195476878434419,0.0012217304902151,-7888,-2132,2219,-136,317,19,11
2025-06-27 16:09:01.815,-1.8602946996688845,-9.141061782836914,2.7557260990142822,0.0354301854968071,-0.0195476878434419,0.0012217304902151,-7888,-2132,2219,-136,317,19,11
2025-06-27 16:09:01.916,-1.7980455160140991,-9.05247688293457,2.715024709701538,0.0842994004487991,-0.0525344125926494,-0.0012217304902151,-7854,-2121,2194,-335,256,88,11
2025-06-27 16:09:02.033,-1.800439715385437,-9.184157371520996,2.964021682739258,0.0097738439217209,-0.0122173046693205,-0.0415388382971286,-8218,-1765,2187,123,-104,272,11
2025-06-27 16:09:02.327,-1.8626888990402224,-9.045293807983398,2.980781078338623,0.0354301854968071,0.0024434609804302,0.0012217304902151,-7856,-1700,2213,36,269,-17,11
2025-06-27 16:09:02.429,-1.7764976024627686,-9.030928611755373,3.0550012588500977,0.0427605658769607,0.0036651915870606,-0.0012217304902151,-8218,-1694,2386,113,-55,-74,11
2025-06-27 16:09:02.537,-1.889025092124939,-9.0859956741333,2.782062292098999,0.0036651915870606,0.0073303831741213,-0.0097738439217209,-8216,-1743,2208,59,124,-91,11
2025-06-27 16:09:02.627,-1.7908629179000854,-8.87051773071289,3.1507694721221924,0.0305432621389627,0.0195476878434419,-0.0390953756868839,-7872,-1707,2187,8,116,29,11
2025-06-27 16:09:02.724,-1.8267759084701536,-9.071630477905272,2.942473888397217,-0.0048869219608604,0.0366519130766391,-0.0024434609804302,-7907,-1723,2417,20,-48,372,11
2025-06-27 16:09:02.925,-1.7525556087493896,-9.059659004211426,3.248931646347046,0.0439822971820831,0.0500909499824047,-0.0293215326964855,-7932,-1714,2408,51,-53,193,11
2025-06-27 16:09:03.124,-1.948880195617676,-8.339004516601562,3.203441858291626,-0.0171042270958423,-0.0293215326964855,-0.0158824957907199,-7885,-1913,2398,-99,117,394,11
2025-06-27 16:09:03.223,-1.7405846118927002,-9.21288776397705,2.896984100341797,0.0842994004487991,-0.1392772793769836,0.0537561401724815,-7902,-1515,2406,-277,-97,-272,11
2025-06-27 16:09:03.339,-1.81959331035614,-8.743624687194824,3.318363666534424,-0.0061086523346602,-0.1038470938801765,0.0317649915814399,-7922,-1532,2043,-381,343,-125,11
2025-06-27 16:09:03.416,-1.7980455160140991,-9.232041358947754,3.1316158771514893,-0.1026253625750541,0.0549778714776039,0.0439822971820831,-7911,-1829,2001,-383,268,294,11
2025-06-27 16:09:03.621,-2.027888774871826,-8.932766914367676,2.695871114730835,-0.0488692186772823,0.0158824957907199,0.0244346093386411,-8160,-1623,2041,287,-45,218,11
2025-06-27 16:09:03.820,-1.9608511924743648,-9.222464561462402,2.585737943649292,-0.2296853363513946,0.0403171069920063,0.0659734457731247,-8280,-1206,2026,105,364,639,11
2025-06-27 16:09:04.115,-2.140416383743286,-9.160215377807615,2.437297344207764,0.0012217304902151,-0.0280998013913631,-0.0109955742955207,-8213,-1598,1979,62,-77,43,11
2025-06-27 16:09:04.215,-2.03507137298584,-9.282320022583008,2.2457611560821533,-0.0085521135479211,-0.0073303831741213,0.0024434609804302,-7923,-1574,1957,12,-90,-109,11
2025-06-27 16:09:04.316,-2.0470423698425293,-9.60793113708496,2.0685901641845703,-0.6059783101081848,0.0830776765942573,0.1136209368705749,-8229,-1216,2140,55,325,377,11
2025-06-27 16:09:04.415,-2.360682964324951,-8.987833023071289,1.3239935636520386,-0.371406078338623,-0.0048869219608604,0.1221730485558509,-8261,-1189,2138,24,380,159,11
2025-06-27 16:09:05.316,-2.7006595134735107,-9.100360870361328,-0.5626373887062073,-0.1759291887283325,0.1881465017795562,0.1612684279680252,-8259,-1302,2147,-19,290,-84,11
2025-06-27 16:09:05.416,-2.6599581241607666,-9.390059471130373,0.4261679053306579,0.1356120854616165,-0.0280998013913631,-0.0879645943641662,-8080,-765,2101,-75,251,612,11
2025-06-27 16:09:05.834,-2.681505918502808,-9.464279174804688,-0.524330198764801,-0.7195992469787598,0.1209513172507286,0.0403171069920063,-8284,-880,1749,84,-3,547,11
2025-06-27 16:09:05.915,-2.6886885166168213,-9.320627212524414,-0.9169792532920836,-0.0146607663482427,-0.0390953756868839,-0.0403171069920063,-8137,-388,1742,82,-40,149,11
2025-06-27 16:09:06.016,-2.597708940505981,-9.38048267364502,-0.5147533416748047,0.0280998013913631,0.0109955742955207,0.0476474873721599,-8222,-423,2167,-710,-499,225,11
2025-06-27 16:09:06.117,-2.7317841053009038,-9.210494041442873,-0.5722141861915588,0.2675589919090271,-0.0500909499824047,-0.051312681287527,-8212,-390,1953,-824,-604,156,11
2025-06-27 16:09:06.215,-2.4396915435791016,-9.667786598205566,0.0742202550172805,0.4984660446643829,-0.1624901592731475,-0.0916297882795333,-8312,-535,2105,-257,140,-96,11
2025-06-27 16:09:06.315,-2.602497339248657,-8.820239067077637,0.9888052940368652,0.1209513172507286,-0.0366519130766391,0.0305432621389627,-8072,-561,2074,-179,-112,31,11
2025-06-27 16:09:06.515,-2.5091233253479004,-9.255983352661133,1.3886369466781616,0.2895501255989074,0.0048869219608604,-0.0085521135479211,-8266,-419,2106,374,551,-124,11
2025-06-27 16:09:06.931,-2.3295583724975586,-9.174580574035645,1.5538369417190552,0.1038470938801765,-0.0696386396884918,0.0574213340878486,-8263,-521,2241,-115,541,-259,11
2025-06-27 16:09:07.119,-2.2649147510528564,-9.710882186889648,1.5682021379470823,0.0977384373545646,-0.0329867228865623,-0.0244346093386411,-8156,-380,2165,592,503,-81,11
2025-06-27 16:09:07.232,-2.1763293743133545,-9.30386734008789,2.042253971099853,0.0122173046693205,0.0073303831741213,-0.0488692186772823,-8117,-144,2063,248,296,-83,11
2025-06-27 16:09:07.319,-2.1763293743133545,-9.30386734008789,2.042253971099853,0.0122173046693205,0.0073303831741213,-0.0488692186772823,-8300,-368,2094,182,-12,-83,11
2025-06-27 16:09:07.631,-2.3056161403656006,-9.208099365234377,2.10210919380188,-0.0158824957907199,-0.0012217304902151,-0.0048869219608604,-8122,-163,1720,292,306,125,11
2025-06-27 16:09:07.731,-2.217030763626098,-9.220070838928224,2.0901381969451904,-0.0097738439217209,0.0109955742955207,0.0024434609804302,-8291,-170,1754,-99,-98,-126,11
2025-06-27 16:09:07.829,-2.2577321529388428,-9.222464561462402,2.075772762298584,0.0134390350431203,-0.0122173046693205,0.0293215326964855,-8313,-158,1699,83,-39,-96,11
2025-06-27 16:09:08.034,-2.341529369354248,-9.169792175292969,2.140416383743286,-0.0097738439217209,-0.0048869219608604,0.0061086523346602,-8094,-210,1691,17,118,119,11
2025-06-27 16:09:08.121,-2.279279947280884,-9.172186851501465,2.188300371170044,0.0061086523346602,-0.0244346093386411,-0.0012217304902151,-8301,-129,1698,-259,49,-29,11
2025-06-27 16:09:08.216,-2.276885747909546,-9.184157371520996,2.217030763626098,0.0109955742955207,-0.0158824957907199,0.0,-8298,-142,1719,59,-68,-100,11
2025-06-27 16:09:08.323,-2.276885747909546,-9.184157371520996,2.217030763626098,0.0109955742955207,-0.0158824957907199,0.0,-8318,-130,1704,102,-43,-106,11
2025-06-27 16:09:08.646,-2.288856744766236,-9.272743225097656,2.209848165512085,0.0061086523346602,-0.0036651915870606,0.0,-8309,-363,1721,25,-102,-93,11
2025-06-27 16:09:08.715,-2.250549554824829,-9.21288776397705,2.1092917919158936,-0.0012217304902151,-0.0048869219608604,-0.0061086523346602,-8302,-339,1679,58,-51,-124,11
2025-06-27 16:09:08.818,-2.1954829692840576,-9.157821655273438,1.886630892753601,0.0061086523346602,0.0232128798961639,-0.0012217304902151,-8069,-361,1674,80,-52,-98,11
2025-06-27 16:09:09.016,-2.152387380599976,-9.174580574035645,2.054224967956543,-0.0048869219608604,0.0244346093386411,0.0,-8100,-334,1668,-114,-94,-81,11
2025-06-27 16:09:09.117,-2.2601263523101807,-9.282320022583008,2.2601263523101807,0.0048869219608604,0.0048869219608604,-0.0097738439217209,-8304,-286,1907,83,-50,125,11
2025-06-27 16:09:09.230,-2.291250944137573,-9.330204010009766,2.183511972427368,-0.0219911485910415,0.0,0.0195476878434419,-8294,-311,1669,24,-92,-126,11
2025-06-27 16:09:09.315,-2.231395959854126,-9.277531623840332,2.1763293743133545,0.0,-0.0048869219608604,0.0024434609804302,-8074,-316,1892,10,266,-79,11
2025-06-27 16:09:09.535,-2.19308876991272,-9.258378028869627,2.142810583114624,-0.0134390350431203,0.0012217304902151,-0.0024434609804302,-8303,-353,1825,61,-50,55,11
2025-06-27 16:09:09.615,-2.250549554824829,-9.23682975769043,2.0901381969451904,-0.0073303831741213,-0.0024434609804302,0.0109955742955207,-8317,-356,1824,82,-66,100,11
2025-06-27 16:09:09.715,-2.217030763626098,-9.337387084960938,2.1332337856292725,-0.0134390350431203,-0.0048869219608604,0.0109955742955207,-8286,-322,1857,-103,-83,126,11
2025-06-27 16:09:09.915,-2.288856744766236,-9.20091724395752,2.0374655723571777,-0.0073303831741213,0.0073303831741213,-0.0048869219608604,-8079,-296,1841,-109,-99,-87,11
