ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Num
2025-06-27 15:45:45.108,-1.0797849893569946,-7.996633529663086,5.370194435119629,0.7183775305747986,-0.0952949747443199,0.0427605658769607,-7789,-2020,-16,-618,-463,271,1
2025-06-27 15:45:45.211,-1.0797849893569946,-7.996633529663086,5.370194435119629,0.7183775305747986,-0.0952949747443199,0.0427605658769607,-7789,-2020,-16,-618,-463,271,1
2025-06-27 15:45:45.412,-0.9050082564353944,-8.276755332946777,4.81473970413208,-0.5534439086914062,0.0342084541916847,-0.0256563406437635,-7728,-2335,166,-75,317,102,1
2025-06-27 15:45:45.510,-1.5682021379470823,-8.245630264282227,4.721365928649902,-0.7831292152404785,-0.0036651915870606,0.0134390350431203,-7361,-2555,161,-96,-32,-148,1
2025-06-27 15:45:45.903,-2.154781579971313,-7.661445617675781,4.108449935913086,2.420248031616211,0.0818559452891349,0.098960168659687,-7418,-2398,-122,114,600,208,1
2025-06-27 15:45:46.206,-1.4437036514282229,-5.140350818634033,7.762001991271973,0.2333505302667617,-0.117286130785942,0.1563815027475357,-7424,-2420,-281,-215,-14,21,1
2025-06-27 15:45:46.305,-0.4692635238170624,-5.171475887298584,7.117961883544922,-0.0012217304902151,0.0244346093386411,-0.1600466966629028,-7422,-2399,-272,102,-288,-111,1
2025-06-27 15:45:46.905,-1.0773907899856567,-6.842628479003906,6.380547523498535,-0.2919935882091522,0.1563815027475357,-0.0549778714776039,-7687,-1739,-352,92,67,370,1
2025-06-27 15:45:47.006,-1.0247182846069336,-7.041347026824951,6.416460514068604,0.2822197377681732,-0.107512280344963,-0.0500909499824047,-7557,-1701,-311,286,-42,314,1
2025-06-27 15:45:47.203,-0.1699883192777633,-6.888118267059326,7.036558628082275,-0.0146607663482427,-0.0561996027827262,-0.0256563406437635,-7802,-1918,-287,-40,56,-44,1
2025-06-27 15:45:47.303,-0.1699883192777633,-6.888118267059326,7.036558628082275,-0.0146607663482427,-0.0561996027827262,-0.0256563406437635,-7802,-1918,-287,-40,56,-44,1
2025-06-27 15:45:47.504,-0.5195417404174805,-7.433996200561523,6.335057735443115,0.9627236127853394,-0.2797762751579284,-0.0415388382971286,-7781,-2098,-297,81,116,50,1
2025-06-27 15:45:47.705,-0.9481038451194764,-6.627150535583496,6.224924564361572,0.4117231667041778,-0.1612684279680252,-0.0623082555830478,-7806,-1961,-283,-101,314,-48,1
2025-06-27 15:45:47.917,-1.7405846118927002,-7.934384346008301,6.447585105895996,0.0879645943641662,-0.0109955742955207,-0.0952949747443199,-7698,-2312,16,21,4,19,1
2025-06-27 15:45:48.406,-0.5027823448181152,-6.794744491577148,7.134721279144287,0.0195476878434419,-0.0280998013913631,-0.0232128798961639,-7748,-2306,44,-64,20,-292,1
2025-06-27 15:45:49.103,-0.7565677165985107,-6.811503887176514,7.532158374786377,-0.221133217215538,-0.0696386396884918,0.0610865242779254,-7715,-2203,82,-43,242,322,1
2025-06-27 15:45:49.208,-0.7565677165985107,-6.811503887176514,7.532158374786377,-0.221133217215538,-0.0696386396884918,0.0610865242779254,-7715,-2203,82,-43,242,322,1
