ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Num
2025-06-27 12:54:15.061,3.8163576126098633,-8.001421928405762,4.489128112792969,-0.0073303831741213,0.0,0.0085521135479211,-7521,-2814,4594,41,-80,-106,4
2025-06-27 12:54:15.151,3.837905406951904,-7.9631147384643555,4.505887508392334,0.0036651915870606,-0.0085521135479211,-0.0048869219608604,-7542,-3102,4586,10,-102,100,4
2025-06-27 12:54:15.254,3.8163576126098633,-7.857769966125488,4.501099109649658,0.0183259565383195,-0.0061086523346602,0.0012217304902151,-7531,-2789,4594,28,-97,-128,4
2025-06-27 12:54:15.467,3.866635799407959,-7.82185697555542,4.58968448638916,0.0439822971820831,-0.0256563406437635,-0.0329867228865623,-7546,-2805,4561,-140,-4,-128,4
2025-06-27 12:54:15.675,4.007893562316895,-7.829039573669434,4.606443881988525,0.0232128798961639,-0.0232128798961639,-0.0366519130766391,-7324,-2941,4487,-490,182,155,4
2025-06-27 12:54:15.766,4.350264549255371,-7.970297336578369,3.8546648025512695,-0.1502728462219238,0.0855211317539215,0.1062905490398407,-7530,-2315,4152,-3413,949,1062,4
2025-06-27 12:54:15.970,4.424484729766846,-7.836222171783447,4.745307922363281,-0.607200026512146,0.4825835525989532,0.2590068578720093,-7718,-3449,3504,-1426,106,-137,4
2025-06-27 12:54:16.050,2.681505918502808,-8.121131896972656,4.156333923339844,-0.2626720666885376,0.2761110961437225,0.0354301854968071,-7389,-3392,3292,-393,170,-673,4
2025-06-27 12:54:16.162,2.760514497756958,-8.379706382751465,3.897760391235352,0.107512280344963,-0.0342084541916847,0.1099557429552078,-7763,-3231,3244,-154,270,-618,4
2025-06-27 12:54:16.268,2.760514497756958,-8.379706382751465,3.897760391235352,0.107512280344963,-0.0342084541916847,0.1099557429552078,-7828,-3196,3218,343,-16,431,4
2025-06-27 12:54:16.378,3.3494882583618164,-8.413225173950195,4.616020679473877,0.3090978264808655,-0.0965167060494422,0.2406809031963348,-7742,-2797,3325,330,-311,532,4
2025-06-27 12:54:16.678,1.9919757843017576,-7.666234016418457,6.167463779449463,0.2822197377681732,0.3885102868080139,0.0818559452891349,-7473,-3526,3642,1382,549,-1096,4
2025-06-27 12:54:16.850,1.0869675874710083,-8.192957878112793,6.090848922729492,0.3029891550540924,0.4312708675861358,0.4019493460655212,-7249,-3847,4154,970,58,-837,4
2025-06-27 12:54:17.063,0.0023942016996443,-7.295132637023926,7.015010833740234,0.5510004758834839,0.304210901260376,0.6511823534965515,-7060,-3861,4060,-512,106,563,4
2025-06-27 12:54:17.165,-1.4963760375976562,-5.949591159820557,7.965508937835693,0.5693264007568359,0.5070181488990784,0.6914994716644287,-7248,-3919,4391,-1110,-263,756,4
2025-06-27 12:54:17.376,-2.8610711097717285,-5.30076265335083,5.319916248321533,-2.6780333518981934,0.0769690200686454,0.36529740691185,-6838,-3381,4356,201,-75,-90,4
2025-06-27 12:54:17.450,-1.3503297567367554,-9.090784072875977,2.7557260990142822,-1.1447614431381226,-0.616973876953125,-0.0146607663482427,-7298,-2696,3761,205,1178,-613,4
2025-06-27 12:54:17.660,-1.4269442558288574,-9.466673851013184,3.83072280883789,-1.33168625831604,-0.0354301854968071,-0.0048869219608604,-7786,-3010,3324,-1269,966,128,4
2025-06-27 12:54:17.759,-0.7422025203704834,-8.681375503540039,3.0621838569641118,0.3433062732219696,0.2345722615718841,-0.1441642045974731,-7782,-3043,3337,-1175,1042,495,4
2025-06-27 12:54:17.962,-2.2649147510528564,-9.346963882446287,2.762908697128296,0.2981022298336029,0.4007275998592376,0.1930334120988845,-8201,-2775,2758,335,193,396,4
2025-06-27 12:54:18.060,-1.843535304069519,-8.544905662536621,2.85867691040039,0.3689626157283783,-0.0610865242779254,-0.2492330223321914,-7592,-2936,3085,693,284,-353,4
2025-06-27 12:54:18.158,-1.6400281190872192,-7.905653953552246,3.0861260890960693,-0.2357939779758453,0.1637118905782699,-0.2174680233001709,-8064,-2721,2958,1222,170,-39,4
2025-06-27 12:54:18.250,-1.0103530883789062,-10.350133895874023,2.513911724090576,-0.3103195428848266,0.3469714522361755,0.3249803185462951,-7843,-2504,2985,1444,-275,-114,4
2025-06-27 12:54:18.452,-2.2816741466522217,-9.186552047729492,2.7748796939849854,-0.3249803185462951,0.1453859210014343,-0.1050688251852989,-7751,-2915,3631,1120,-1064,-365,4
2025-06-27 12:54:18.655,-2.6575639247894287,-8.954314231872559,2.324769735336304,-0.3457497358322143,0.230907067656517,-0.3262020349502563,-7720,-2541,4054,1089,-827,-803,4
2025-06-27 12:54:18.752,-2.19308876991272,-9.490615844726562,1.5083470344543457,-0.2064724564552307,0.2076941877603531,-0.0818559452891349,-7079,-3416,3495,-1893,1716,-264,4
2025-06-27 12:54:18.859,-2.248155355453491,-9.531316757202148,1.6184803247451782,0.504574716091156,0.0232128798961639,-0.2150245606899261,-7412,-3472,3347,-2162,1718,-204,4
2025-06-27 12:54:18.949,-1.7764976024627686,-8.995016098022461,2.3343467712402344,0.3445279896259308,0.0158824957907199,0.2638937830924988,-8287,-3525,2893,-1111,649,556,4
2025-06-27 12:54:19.049,-2.5282769203186035,-9.258378028869627,2.43011474609375,0.0073303831741213,0.1319468915462494,0.2345722615718841,-7874,-3442,2595,-454,554,1000,4
2025-06-27 12:54:19.257,-3.028665065765381,-9.0859956741333,2.4468741416931152,0.0342084541916847,-0.0012217304902151,0.1197295859456062,-8149,-1884,2965,906,-898,1137,4
2025-06-27 12:54:19.349,-2.875436305999756,-8.980650901794434,2.406172752380371,0.0219911485910415,0.0623082555830478,0.0708603709936142,-7943,-1826,3255,1075,-933,543,4
2025-06-27 12:54:19.450,-3.0550012588500977,-9.006986618041992,2.5091233253479004,0.0439822971820831,0.0733038261532783,-0.0415388382971286,-8016,-1832,3693,904,-453,108,4
2025-06-27 12:54:19.655,-2.729389905929565,-8.966285705566406,2.3271639347076416,-0.1820378452539444,0.0207694191485643,0.0342084541916847,-7880,-1757,3638,341,-262,-1086,4
2025-06-27 12:54:19.749,-3.028665065765381,-9.311050415039062,1.7573440074920654,-0.2199114859104156,0.2773328125476837,0.0012217304902151,-8207,-2358,3417,-31,-531,-1190,4
2025-06-27 12:54:19.856,-3.1483752727508545,-9.093177795410156,2.1787235736846924,0.090408056974411,0.0452040284872055,0.0366519130766391,-7862,-2784,4055,768,-1655,-318,4
2025-06-27 12:54:20.050,-2.7030537128448486,-9.081207275390623,1.984793186187744,-0.0158824957907199,-0.0537561401724815,-0.0818559452891349,-7296,-2438,4883,384,-859,-774,4
2025-06-27 12:54:20.170,-2.894589900970459,-9.148244857788086,2.073378562927246,0.0916297882795333,0.0244346093386411,0.0623082555830478,-7389,-2534,4267,-1344,677,411,4
2025-06-27 12:54:20.251,-2.7557260990142822,-9.011775016784668,2.0925323963165283,0.0537561401724815,0.0012217304902151,0.0012217304902151,-7727,-2898,4658,-803,-99,516,4
2025-06-27 12:54:20.473,-2.63362193107605,-9.153033256530762,2.1763293743133545,-0.0708603709936142,-0.1918116807937622,-0.2186897546052932,-7248,-2314,3501,-2824,2929,-840,4
2025-06-27 12:54:20.550,-2.207453966140747,-9.038111686706545,2.432508945465088,0.1331686228513717,-0.090408056974411,-0.1551597714424133,-8211,-3069,3003,-2233,2029,-66,4
2025-06-27 12:54:20.654,-2.298433542251587,-9.210494041442873,2.5450363159179688,0.2541199326515198,0.0427605658769607,-0.0146607663482427,-8197,-3088,2663,-1384,1595,1030,4
2025-06-27 12:54:20.749,-2.2625205516815186,-8.93037223815918,3.265691041946411,0.2663372457027435,-0.1588249653577804,-0.1319468915462494,-8028,-2463,2209,-196,1362,1154,4
2025-06-27 12:54:20.850,-1.9321208000183103,-8.937555313110352,3.138798475265503,-0.1099557429552078,-0.107512280344963,0.0280998013913631,-8217,-1987,2137,79,885,248,4
2025-06-27 12:54:20.964,-1.9321208000183103,-8.937555313110352,3.138798475265503,-0.1099557429552078,-0.107512280344963,0.0280998013913631,-8217,-1987,2137,79,885,248,4
2025-06-27 12:54:21.371,-2.4157495498657227,-9.327810287475586,2.291250944137573,-0.2223549485206604,0.1014036312699318,0.1502728462219238,-7984,-2696,2623,1337,-1430,120,4
2025-06-27 12:54:21.560,-2.48757553100586,-8.916007041931152,2.43011474609375,0.1991420686244964,0.2443460971117019,0.1747074574232101,-7763,-2463,3125,313,298,326,4
2025-06-27 12:54:21.660,-3.1076738834381104,-8.746018409729004,3.05260705947876,0.294437050819397,0.3872885704040527,0.2052507251501083,-7752,-2918,3042,307,775,742,4
2025-06-27 12:54:21.851,-3.397372245788574,-8.542511940002441,2.875436305999756,-0.0977384373545646,0.1185078546404838,0.0879645943641662,-8065,-2001,3128,941,-568,1871,4
2025-06-27 12:54:21.950,-3.687070608139038,-8.645462036132812,2.616862535476685,-0.1209513172507286,0.0623082555830478,0.0293215326964855,-8478,-1833,3153,1159,-996,1895,4
2025-06-27 12:54:22.060,-3.667917013168335,-8.501810073852539,2.8874073028564453,0.3310889601707458,0.0024434609804302,-0.0879645943641662,-8026,-144,3783,-214,289,698,4
2025-06-27 12:54:22.271,-3.3949780464172363,-8.664615631103516,3.098097085952759,0.0012217304902151,-0.0598647929728031,-0.1050688251852989,-8265,-330,3807,-436,584,453,4
2025-06-27 12:54:22.462,-3.07415509223938,-8.619126319885254,3.043030261993408,-0.0842994004487991,-0.0525344125926494,-0.1209513172507286,-7947,-505,4226,412,-423,-519,4
2025-06-27 12:54:22.649,-3.189076662063598,-8.671798706054688,3.002328872680664,-0.0781907513737678,-0.0109955742955207,-0.107512280344963,-8091,-233,3910,881,-484,-666,4
2025-06-27 12:54:22.950,-2.928108692169189,-8.78432559967041,2.75812029838562,-0.1026253625750541,-0.0891863256692886,-0.0366519130766391,-8193,-1809,4779,556,-1994,-210,4
2025-06-27 12:54:23.053,-2.930502891540528,-8.901641845703125,2.676717519760132,0.0012217304902151,-0.0867428630590438,-0.0415388382971286,-7417,-1334,4755,196,775,-894,4
2025-06-27 12:54:23.164,-2.729389905929565,-8.619126319885254,3.004723072052002,0.0635299831628799,-0.0720821022987365,0.1123992055654525,-7558,-1605,4894,-291,792,-850,4
2025-06-27 12:54:23.750,-2.5043349266052246,-8.882488250732422,2.808398485183716,0.0232128798961639,-0.0109955742955207,-0.0403171069920063,-7837,-1226,4463,1477,286,-415,4
2025-06-27 12:54:23.862,-2.590526342391968,-8.892065048217773,2.9472622871398926,-0.051312681287527,-0.0268780700862407,-0.0280998013913631,-8046,-1148,4695,-60,-220,40,4
2025-06-27 12:54:23.950,-2.365471363067627,-7.407660007476807,2.5929205417633057,-0.1319468915462494,-0.0623082555830478,0.2113593816757202,-7585,-1188,4591,-302,-21,-914,4
2025-06-27 12:54:24.061,-2.851494312286377,-9.093177795410156,2.6671407222747803,0.0122173046693205,0.0623082555830478,-0.2223549485206604,-7327,-2080,4769,-2285,-766,-1381,4
2025-06-27 12:54:24.151,-2.585737943649292,-8.920795440673828,2.693476915359497,-0.0659734457731247,-0.0476474873721599,0.0928515195846557,-7301,-2681,5106,-1360,-204,-77,4
2025-06-27 12:54:24.252,-2.585737943649292,-8.920795440673828,2.693476915359497,-0.0659734457731247,-0.0476474873721599,0.0928515195846557,-7301,-2681,5106,-1360,-204,-77,4
2025-06-27 12:54:24.356,-2.6791117191314697,-9.030928611755373,2.655169725418091,-0.2101376503705978,-0.1148426681756973,0.1392772793769836,-7372,-1450,4315,-95,962,879,4
2025-06-27 12:54:24.655,-2.3582887649536133,-9.035717010498049,2.6791117191314697,0.0623082555830478,-0.0097738439217209,0.0195476878434419,-8165,-1647,3212,-626,1719,-27,4
