ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Num
2025-06-27 13:18:06.496,-11.001357078552246,-7.184999465942383,-4.228160381317139,4.279721736907959,0.8735373020172119,1.1789699792861938,-7712,-2791,3305,130,-1893,550,5
2025-06-27 13:18:06.596,-10.065223693847656,-3.665522813796997,-1.5969325304031372,5.755572319030762,-0.6145304441452026,1.205847978591919,-7513,-3402,4464,-4975,-2353,1746,5
2025-06-27 13:18:06.910,-7.544129371643066,-0.8810662031173706,3.699041604995728,-0.4544837474822998,-0.9346238374710084,0.4263839423656463,-7552,-2898,4372,-1558,-667,1628,5
2025-06-27 13:18:07.213,-8.628703117370605,-2.717418909072876,4.431667327880859,-0.66584312915802,-0.2932153046131134,0.5155702829360962,-7392,-2544,4506,546,568,-811,5
2025-06-27 13:18:07.324,-8.432378768920898,-1.7908629179000854,4.51067590713501,-1.6969836950302124,-0.2883284091949463,0.5216789245605469,-7693,-2880,4520,261,-23,-708,5
2025-06-27 13:18:07.507,-7.754819393157959,-2.231395959854126,4.232948780059815,0.1722639948129654,-0.1429424732923507,0.2040289938449859,-7485,-3126,4699,-49,101,-587,5
2025-06-27 13:18:07.707,-8.178592681884766,-1.8148049116134644,5.298368453979492,0.7831292152404785,-0.4141666293144226,-0.0733038261532783,-7799,-2207,4632,-274,115,812,5
2025-06-27 13:18:08.104,-6.9240312576293945,-0.8451532125473022,6.536170482635498,0.7929030656814575,-0.7305948138237,-0.4862487316131592,-7698,-2226,4513,-120,263,518,5
2025-06-27 13:18:08.395,-4.5609540939331055,0.9648633003234864,8.367734909057617,0.7000515460968018,-0.3359758853912353,0.1099557429552078,-8017,-1856,4435,204,560,371,5
2025-06-27 13:18:08.495,-4.129997730255127,0.8762778043746948,7.417236804962158,1.1288789510726929,-0.3433062732219696,0.1869247704744339,-7580,-2085,4263,150,198,286,5
2025-06-27 13:18:08.604,-3.974374771118164,2.808398485183716,7.223306655883789,1.1056660413742063,-0.1392772793769836,0.2602286040782928,-7939,-2049,4468,345,535,-237,5
2025-06-27 13:18:08.697,-4.220977783203125,4.259284973144531,7.869740962982178,1.253495454788208,-0.1857030391693115,0.3103195428848266,-7847,-2058,4358,311,-169,-2271,5
2025-06-27 13:18:08.906,-3.83072280883789,6.208165168762207,5.183446884155273,1.4489723443984983,-0.0390953756868839,0.3982841372489929,-6661,-4365,4881,-639,-2343,-5857,5
2025-06-27 13:18:08.995,-3.1723172664642334,6.009446144104004,5.995080947875977,1.4013248682022097,-0.2076941877603531,0.2932153046131134,-6092,-5028,5042,-1350,-1505,-5802,5
2025-06-27 13:18:09.097,-2.217030763626098,8.35097599029541,4.335899353027344,0.3213151097297668,-0.0720821022987365,-0.0268780700862407,-4912,-6101,5414,-605,-1119,-2276,5
2025-06-27 13:18:09.196,-2.217030763626098,8.35097599029541,4.335899353027344,0.3213151097297668,-0.0720821022987365,-0.0268780700862407,-4912,-6101,5414,-605,-1119,-2276,5
2025-06-27 13:18:09.396,-3.6511576175689697,7.773972988128662,3.224989652633667,0.475253164768219,0.1905899494886398,-0.6487388610839844,-4082,-6705,5299,-152,-911,-1034,5
2025-06-27 13:18:09.600,-4.156333923339844,7.60637903213501,0.7613561153411865,-0.0916297882795333,0.2736676335334778,-0.9272934198379515,-3751,-6995,5646,-393,-191,-287,5
2025-06-27 13:18:10.096,-6.818686485290527,3.5458126068115234,4.697423934936523,0.1038470938801765,0.1343903541564941,0.4288274049758911,-4736,-6760,5030,-41,391,1820,5
2025-06-27 13:18:10.295,-6.976703643798828,3.0885202884674072,6.509834289550781,0.1563815027475357,-0.0048869219608604,-0.0134390350431203,-5318,-5509,5314,348,585,398,5
2025-06-27 13:18:10.404,-6.842628479003906,3.2297780513763428,5.556941986083984,-0.7183775305747986,-0.0757472887635231,-0.0598647929728031,-5280,-5681,5458,-27,611,-7,5
2025-06-27 13:18:10.920,-6.811503887176514,2.298433542251587,6.054935932159424,-0.130725160241127,0.1356120854616165,-0.0977384373545646,-5818,-5275,5207,-552,-221,753,5
2025-06-27 13:18:11.014,-7.247248649597168,2.094926595687866,5.374982833862305,-0.0818559452891349,0.1734857261180877,-0.1588249653577804,-5812,-5301,5017,321,-118,410,5
2025-06-27 13:18:11.112,-7.319074630737305,1.7980455160140991,5.906495571136475,-0.0696386396884918,0.0610865242779254,-0.2553416788578033,-6190,-5390,5052,1343,-306,-36,5
2025-06-27 13:18:11.296,-7.675810813903809,1.8722656965255735,5.48272180557251,0.1331686228513717,-0.0048869219608604,-0.1637118905782699,-5507,-4782,5927,1471,-523,-677,5
2025-06-27 13:18:11.610,-7.943961143493652,1.829170107841492,4.838681697845459,-0.0268780700862407,0.2284636050462722,0.1001818999648094,-5778,-4735,5870,769,856,691,5
2025-06-27 13:18:11.707,-7.903259754180908,1.965639591217041,5.216965675354004,-0.0085521135479211,0.0952949747443199,0.0708603709936142,-6452,-4269,5828,-21,38,536,5
2025-06-27 13:18:11.812,-7.812280178070068,2.0877439975738525,4.929661273956299,0.2834414839744568,-0.0537561401724815,0.0855211317539215,-6441,-4242,5838,273,-309,527,5
2025-06-27 13:18:12.100,-7.570465564727783,1.9129672050476076,5.173870086669922,0.0965167060494422,-0.0354301854968071,-0.0500909499824047,-5867,-4391,6225,-942,-871,301,5
2025-06-27 13:18:12.297,-7.750030994415283,1.9129672050476076,5.161899089813232,0.0378736443817615,0.0464257597923278,-0.0305432621389627,-6309,-4179,5864,-138,117,527,5
2025-06-27 13:18:12.611,-8.20492935180664,1.8602946996688845,4.795586109161377,0.4056145250797272,0.0048869219608604,0.0415388382971286,-6525,-4145,5813,1134,591,81,5
2025-06-27 13:18:12.896,-7.644686222076416,2.353500366210937,4.551377296447754,-0.117286130785942,-0.0574213340878486,-0.0464257597923278,-6307,-3870,5789,2133,1422,-103,5
2025-06-27 13:18:13.199,-8.078036308288574,2.516305923461914,4.728548526763916,0.1624901592731475,0.1270599663257599,0.0452040284872055,-6388,-3252,6255,-365,-33,320,5
2025-06-27 13:18:13.504,-7.7213006019592285,2.719813108444214,4.474762916564941,-0.2028072625398636,0.1062905490398407,-0.0024434609804302,-6865,-2970,5568,-81,-26,317,5
2025-06-27 13:18:13.716,-5.35822343826294,3.28963303565979,3.77565598487854,0.2382374405860901,0.0219911485910415,-0.5302310585975647,-6984,-3183,5747,39,379,136,5
2025-06-27 13:18:13.898,-4.955997467041016,0.8906430602073669,1.6543933153152466,-0.5558874011039734,-0.5766568183898926,-2.2565362453460693,-6928,-3007,5904,-227,669,-311,5
2025-06-27 13:18:14.095,0.1795651316642761,-1.9704279899597168,4.343081951141357,-2.129476308822632,-2.797762870788574,-4.935791015625,-7092,-3203,4741,-1178,714,-797,5
2025-06-27 13:18:14.202,4.137180328369141,-6.452373504638672,5.686229228973389,-0.9004153609275818,-2.422691583633423,-4.930904388427734,-7394,-3701,4977,-1548,402,1015,5
2025-06-27 13:18:14.412,10.211270332336426,-6.069301128387451,3.469198226928711,-0.1014036312699318,-0.636521577835083,-1.626123309135437,-6950,-3477,5471,-380,-2397,1937,5
2025-06-27 13:18:14.605,9.05487060546875,-4.948814868927002,3.0358476638793945,-0.2932153046131134,-0.0280998013913631,0.0244346093386411,-6624,-3420,5977,-688,-2669,300,5
2025-06-27 13:18:14.907,8.56884765625,-3.0885202884674072,2.1140801906585693,0.5705481171607971,-0.0940732508897781,0.5607742667198181,-6371,-3551,6085,-159,638,897,5
2025-06-27 13:18:15.400,9.160215377807615,-3.758896589279175,2.583343744277954,0.0097738439217209,-0.2199114859104156,-0.6133087277412415,-6418,-3835,6191,-863,17,-1153,5
2025-06-27 13:18:15.501,9.299078941345217,-4.031835556030273,2.5043349266052246,-0.3029891550540924,-0.0561996027827262,-0.342084527015686,-6761,-4044,5554,-1175,354,1058,5
2025-06-27 13:18:15.715,8.9064302444458,-3.507505416870117,2.7748796939849854,0.0427605658769607,0.090408056974411,0.0733038261532783,-6732,-4040,5334,352,794,1156,5
2025-06-27 13:18:15.816,9.191340446472168,-3.397372245788574,2.365471363067627,0.0684169083833694,0.117286130785942,0.1258382350206375,-6752,-4221,5634,184,-155,-411,5
2025-06-27 13:18:15.923,9.229647636413574,-3.1938650608062744,2.3343467712402344,0.2455678284168243,0.0574213340878486,0.1844813078641891,-6388,-4022,5702,1079,347,-688,5
2025-06-27 13:18:16.017,9.07641887664795,-3.3686418533325195,2.2816741466522217,0.0745255574584007,0.0818559452891349,0.1747074574232101,-6666,-4004,5693,1189,582,-822,5
2025-06-27 13:18:16.497,9.301473617553713,-3.811569213867188,2.4444799423217773,-0.0305432621389627,-0.067195177078247,-0.2455678284168243,-6689,-3564,5629,154,826,342,5
2025-06-27 13:18:16.705,9.337387084960938,-3.4979286193847656,2.1787235736846924,0.0048869219608604,0.0977384373545646,0.1160643994808197,-6821,-3672,5733,-152,533,227,5
2025-06-27 13:18:17.012,9.253589630126951,-3.134010076522827,2.250549554824829,0.0329867228865623,-0.0183259565383195,0.0452040284872055,-7009,-3612,5675,-35,24,472,5
2025-06-27 13:18:17.306,9.129091262817385,-3.56017804145813,2.367865562438965,-0.2101376503705978,-0.0464257597923278,-0.0818559452891349,-6628,-3508,5746,45,-137,-1087,5
2025-06-27 13:18:17.406,9.071630477905272,-3.5386300086975098,2.425326347351074,-0.0635299831628799,-0.0598647929728031,-0.1429424732923507,-6625,-3476,5686,-76,490,660,5
2025-06-27 13:18:17.814,9.35893440246582,-3.337517261505127,2.2457611560821533,0.0293215326964855,0.0806342139840126,0.1783726513385772,-7005,-3492,5368,-245,-565,-1302,5
2025-06-27 13:18:17.903,9.244012832641602,-3.260902643203736,2.049436569213867,-0.0244346093386411,0.0891863256692886,0.1832595765590667,-6301,-4104,5581,-22,149,-38,5
2025-06-27 13:18:18.204,9.11233139038086,-3.4332852363586426,2.322375535964966,-0.0500909499824047,-0.0452040284872055,-0.1783726513385772,-6735,-3734,5527,-120,146,258,5
2025-06-27 13:18:18.296,9.27034854888916,-3.469198226928711,2.3032219409942627,-0.0268780700862407,-0.0134390350431203,-0.140499010682106,-6677,-3791,5524,61,157,-54,5
2025-06-27 13:18:18.596,9.220070838928224,-4.034229755401611,1.9752163887023928,0.1185078546404838,-0.0390953756868839,0.1148426681756973,-6567,-4127,5312,101,-85,118,5
2025-06-27 13:18:18.998,9.172186851501465,-2.808398485183716,2.3056161403656006,0.058643065392971,-0.0134390350431203,-0.1356120854616165,-6760,-4137,5292,93,373,12,5
2025-06-27 13:18:19.619,9.287108421325684,-3.294421434402466,2.557007312774658,0.0537561401724815,0.0525344125926494,0.2663372457027435,-6752,-4161,5325,56,127,-40,5
2025-06-27 13:18:19.696,9.287108421325684,-3.294421434402466,2.557007312774658,0.0537561401724815,0.0525344125926494,0.2663372457027435,-6752,-4161,5325,56,127,-40,5
2025-06-27 13:18:19.996,9.29189682006836,-3.5865142345428467,2.166752576828003,-0.1246165111660957,0.0,-0.0928515195846557,-6529,-3817,5308,-1127,-807,247,5
2025-06-27 13:18:20.102,9.090784072875977,-3.450044631958008,2.1164743900299072,-0.1417207419872284,0.0390953756868839,-0.0830776765942573,-6767,-4188,5342,-318,-116,-144,5
2025-06-27 13:18:20.199,9.095572471618652,-3.6320040225982666,1.9584569931030276,-0.0598647929728031,-0.0183259565383195,-0.0842994004487991,-6752,-4092,5354,34,94,-205,5
2025-06-27 13:18:20.518,9.277531623840332,-3.5170822143554688,2.4157495498657227,-0.0733038261532783,-0.0195476878434419,0.0952949747443199,-6678,-4063,5350,360,-257,-684,5
2025-06-27 13:18:20.596,9.41400146484375,-3.620033025741577,2.1045033931732178,0.067195177078247,-0.0268780700862407,0.1111774742603302,-6698,-4015,5361,146,14,-700,5
2025-06-27 13:18:20.819,9.265560150146484,-3.2369606494903564,1.8722656965255735,-0.0403171069920063,0.0293215326964855,-0.058643065392971,-6324,-4387,5368,334,179,-1116,5
2025-06-27 13:18:20.896,9.241618156433104,-3.507505416870117,1.867477297782898,-0.0818559452891349,-0.0012217304902151,-0.0500909499824047,-6217,-4484,5526,848,118,-352,5
2025-06-27 13:18:21.196,9.354146003723145,-3.6822822093963614,2.217030763626098,0.1099557429552078,0.0036651915870606,0.0916297882795333,-6477,-4421,5732,544,934,647,5
2025-06-27 13:18:21.324,9.354146003723145,-3.6822822093963614,2.217030763626098,0.1099557429552078,0.0036651915870606,0.0916297882795333,-6477,-4421,5732,544,934,647,5
2025-06-27 13:18:21.614,9.361329078674316,-3.05260705947876,1.8842366933822632,-0.0036651915870606,0.1588249653577804,0.2565633952617645,-6291,-4446,5307,90,76,-552,5
