ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Num
2025-06-27 13:07:40.479,2.5282769203186035,-8.008605003356934,5.626373767852783,0.0342084541916847,0.1111774742603302,-0.0036651915870606,-7690,-3105,4115,-269,122,121,8
2025-06-27 13:07:40.978,2.5091233253479004,-8.473079681396484,6.382941722869873,-0.1539380401372909,0.5571091175079346,0.5742133259773254,-7963,-2695,4030,-92,75,12,8
2025-06-27 13:07:41.087,-0.3112462162971496,-11.05642318725586,7.424419403076172,0.0329867228865623,0.6194173693656921,0.4996877610683441,-7738,-2880,4060,-28,38,-414,8
2025-06-27 13:07:41.183,-3.3662476539611816,-9.658209800720217,6.787561893463135,-0.1600466966629028,1.8509217500686648,1.8863518238067627,-7804,-3383,4029,976,-83,346,8
2025-06-27 13:07:41.270,-4.651933670043945,-4.651933670043945,2.935291290283203,-0.2076941877603531,1.3634512424468994,2.0476202964782715,-7366,-2949,3739,2233,656,677,8
2025-06-27 13:07:41.366,-4.862623691558838,-2.8874073028564453,1.656787633895874,1.0067058801651,0.0525344125926494,0.3298672437667846,-7583,-2473,3923,2042,1207,384,8
2025-06-27 13:07:41.472,-1.800439715385437,-5.746084213256836,3.574543237686157,-0.0537561401724815,-1.1728612184524536,-0.6145304441452026,-7776,-2674,3796,1618,1121,130,8
2025-06-27 13:07:41.566,-1.800439715385437,-5.746084213256836,3.574543237686157,-0.0537561401724815,-1.1728612184524536,-0.6145304441452026,-7230,-2844,4039,627,404,-489,8
2025-06-27 13:07:41.665,-0.974440097808838,-7.144298076629639,7.601590633392334,0.4337143301963806,-0.4581489264965057,-0.2150245606899261,-7339,-3166,3992,-1123,-610,-956,8
2025-06-27 13:07:41.966,-1.7405846118927002,-5.971138954162598,7.216124057769775,0.1490511149168014,-0.0183259565383195,0.1148426681756973,-7482,-3364,3741,-1826,34,282,8
2025-06-27 13:07:42.066,-1.5155296325683594,-7.27837324142456,7.625532627105713,0.1038470938801765,0.0452040284872055,0.2602286040782928,-7507,-3394,3955,-1500,-5,336,8
2025-06-27 13:07:42.165,-1.9584569931030276,-7.807491779327393,7.876923561096191,-0.1270599663257599,0.3127630054950714,0.5754350423812866,-7583,-3264,3217,-683,249,216,8
2025-06-27 13:07:42.579,-6.291962146759033,-3.450044631958008,5.698200225830078,-0.3237585723400116,0.0879645943641662,0.979827880859375,-7718,-3050,3291,1624,-52,229,8
2025-06-27 13:07:42.790,-6.660669326782227,-2.636016130447388,5.638344764709473,-0.0500909499824047,0.0500909499824047,0.8808676600456238,-7643,-2920,3612,1674,379,1005,8
2025-06-27 13:07:42.889,-6.794744491577148,-2.2625205516815186,5.8657941818237305,-0.0769690200686454,0.0268780700862407,0.6829473376274109,-7791,-2576,3660,1929,520,979,8
2025-06-27 13:07:42.982,-6.904877662658691,-2.2026655673980717,5.978321552276611,0.1319468915462494,0.0464257597923278,0.4471533596515655,-8025,-1942,3593,1764,817,1032,8
2025-06-27 13:07:43.069,-7.177816867828369,-1.98958158493042,5.803544998168945,0.0024434609804302,0.0207694191485643,0.2076941877603531,-8196,-1835,3666,1423,318,507,8
2025-06-27 13:07:43.183,-7.477091789245605,-1.1971008777618408,6.205770969390869,0.9480628371238708,-0.058643065392971,-0.0232128798961639,-7851,-1586,3535,95,-315,459,8
2025-06-27 13:07:43.273,-7.311892032623291,-1.213860273361206,6.071695327758789,0.4251621961593628,-0.0012217304902151,0.0268780700862407,-7942,-1831,3939,-176,61,-68,8
2025-06-27 13:07:43.565,-7.297526836395264,-0.4022258818149566,6.224924564361572,0.2394591718912124,0.0109955742955207,0.0012217304902151,-7848,-1877,3472,282,636,-137,8
2025-06-27 13:07:43.665,-7.2113356590271,-0.4908113479614258,5.820304393768311,0.0952949747443199,0.0109955742955207,0.0232128798961639,-8229,-1897,3312,254,271,-563,8
2025-06-27 13:07:43.765,-6.98628044128418,-0.4572925269603729,5.928043365478516,-0.2076941877603531,-0.0171042270958423,-0.051312681287527,-7878,-1901,3653,-28,-320,22,8
2025-06-27 13:07:43.879,-7.388506412506103,-1.7381904125213623,6.1315507888793945,-0.7941248416900635,0.0390953756868839,-0.1869247704744339,-7895,-1870,3700,-7,-84,169,8
2025-06-27 13:07:44.073,-6.988674640655518,-2.695871114730835,5.868188381195068,-0.6157521605491638,0.0488692186772823,-0.5412266254425049,-7999,-1533,3506,238,-179,515,8
2025-06-27 13:07:44.264,-6.495469093322754,-3.744531393051148,5.825092792510986,-0.2199114859104156,-0.0195476878434419,-0.8063421249389648,-8033,-1545,3854,73,80,419,8
2025-06-27 13:07:44.664,-4.922478675842285,-5.853823184967041,5.829881191253662,-0.0048869219608604,-0.1820378452539444,-1.1520918607711792,-8246,-1384,3324,-485,193,-18,8
2025-06-27 13:07:44.888,-2.851494312286377,-8.145073890686035,6.10521411895752,-0.3274237811565399,-0.1918116807937622,-1.0506882667541504,-7925,-1643,3266,-769,-145,344,8
2025-06-27 13:07:45.064,-2.1715409755706787,-7.922413349151611,6.531382083892822,-0.2064724564552307,-0.0500909499824047,-0.4838052690029144,-7816,-1214,3680,-297,-323,-64,8
2025-06-27 13:07:45.182,-1.9105730056762693,-6.919242858886719,6.574477672576904,0.4569272100925445,-0.0256563406437635,-0.2797762751579284,-7886,-1354,3657,-216,-61,-97,8
2025-06-27 13:07:45.488,-1.5442601442337036,-7.266402244567871,6.921637058258057,0.107512280344963,-0.0733038261532783,-0.1185078546404838,-8253,-1339,3302,-657,143,184,8
2025-06-27 13:07:45.667,-1.4269442558288574,-7.022193431854248,6.88332986831665,0.0134390350431203,-0.0061086523346602,-0.0329867228865623,-8314,-1015,3025,30,537,-111,8
2025-06-27 13:07:45.766,-1.2713210582733154,-6.72531270980835,6.433219909667969,-0.0500909499824047,-0.0830776765942573,-0.067195177078247,-8292,-1327,3192,372,-77,-520,8
2025-06-27 13:07:46.088,-1.4413094520568848,-7.256825447082519,6.370970726013184,0.0818559452891349,0.051312681287527,-0.0012217304902151,-8258,-1362,2968,138,-80,-325,8
2025-06-27 13:07:46.186,-0.4692635238170624,-7.611167430877685,7.357381820678711,0.3115412890911102,0.0769690200686454,0.117286130785942,-8274,-1385,2984,370,-125,-30,8
2025-06-27 13:07:46.270,-0.3567360639572143,-8.401253700256348,6.507440090179443,0.3164281845092773,0.5106833577156067,0.4776966273784637,-8228,-1391,3070,133,-362,120,8
2025-06-27 13:07:46.364,-1.699883222579956,-6.050147533416748,5.7772088050842285,0.5571091175079346,0.8527678847312927,0.7770205736160278,-7856,-1219,3257,239,-416,-261,8
2025-06-27 13:07:46.580,-3.694253206253052,-3.5242648124694824,5.659893035888672,-0.3799581825733185,-1.1374311447143557,-0.50335294008255,-8307,-1011,2806,762,867,-299,8
2025-06-27 13:07:46.766,-0.1101332753896713,-6.3733649253845215,7.915230751037598,1.568701982498169,-0.9138544201850892,-1.510058879852295,-8157,-1287,2754,322,195,-194,8
2025-06-27 13:07:47.065,4.220977783203125,-3.2154128551483154,9.69651699066162,1.8216001987457275,-1.2498302459716797,-1.5442672967910769,-8070,-1561,3437,-532,-1410,-103,8
2025-06-27 13:07:47.573,3.955221176147461,-5.461174011230469,6.600813865661621,0.7843509912490845,-0.0830776765942573,-0.180816113948822,-7852,-1562,3745,-536,-1168,-547,8
2025-06-27 13:07:47.772,4.20421838760376,-5.427655220031738,7.350199222564697,-0.090408056974411,0.130725160241127,0.1319468915462494,-7651,-1421,4178,-1103,-1383,-579,8
2025-06-27 13:07:48.269,-2.650381326675415,-6.9240312576293945,5.25527286529541,0.5925393104553223,1.3561208248138428,1.957212209701538,-7794,-2839,3876,-497,941,-1750,8
2025-06-27 13:07:48.373,-2.473210334777832,-3.813963413238525,4.841075897216797,1.2388347387313845,0.6682865619659424,0.6695083379745483,-8004,-3409,3309,-454,459,-399,8
2025-06-27 13:07:48.465,-1.1971008777618408,-5.731719017028809,5.961562156677246,0.6120869517326355,-0.3811798989772796,-0.0781907513737678,-7390,-3168,3624,1092,547,-1295,8
