ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Num
2025-06-27 13:11:06.030,9.217676162719728,-3.7828385829925537,2.655169725418091,0.2492330223321914,-0.0830776765942573,0.0134390350431203,-7320,-3394,3967,-112,-66,-13,3
2025-06-27 13:11:06.137,9.217676162719728,-3.7828385829925537,2.655169725418091,0.2492330223321914,-0.0830776765942573,0.0134390350431203,-7344,-3375,3965,-270,-71,268,3
2025-06-27 13:11:06.243,9.028534889221191,-5.008669853210449,3.126827478408813,0.2919935882091522,0.0757472887635231,0.4630358517169952,-7335,-2970,3877,-876,-32,180,3
2025-06-27 13:11:06.542,6.36378812789917,-9.464279174804688,2.5546131134033203,2.1282544136047363,-0.3762930035591125,2.0170769691467285,-8096,-2881,3115,-12768,-2440,3625,3
2025-06-27 13:11:06.948,6.071695327758789,-3.8163576126098633,1.900996208190918,1.5332717895507812,-1.7629570960998535,-0.2223549485206604,-7885,-1973,3986,-5054,186,1058,3
2025-06-27 13:11:07.230,8.937555313110352,-2.408566951751709,3.9264907836914062,3.343876361846924,-1.1618657112121582,0.7513642311096191,-6902,39,1361,-1491,1049,1474,3
2025-06-27 13:11:07.429,11.027692794799805,-0.8834604024887085,-0.6320692300796509,2.431243658065796,-0.6035348773002625,0.5998696684837341,-8709,1430,-35,-2210,-13,1591,3
2025-06-27 13:11:07.630,13.24472427368164,0.7565677165985107,3.2178070545196533,-0.5351179838180542,1.1716395616531372,0.4715879559516907,-9099,1020,701,-1526,789,-93,3
2025-06-27 13:11:07.840,11.650185585021973,-1.2641384601593018,5.066130638122559,-3.000570058822632,2.328618288040161,0.513126790523529,-9869,1466,581,-1220,-359,1009,3
2025-06-27 13:11:07.939,5.674258232116699,-6.064512729644775,3.5936968326568604,-3.604104995727539,1.9620991945266724,1.205847978591919,-8815,1721,861,-2318,-1894,-438,3
2025-06-27 13:11:08.130,-0.2992752194404602,-7.436390399932861,2.0446481704711914,2.5143213272094727,1.319468975067139,1.1533136367797852,-7538,-359,2860,-866,-726,-1974,3
2025-06-27 13:11:08.430,-0.5817909836769104,-4.759673118591309,7.094019412994385,2.5253169536590576,-0.2150245606899261,0.7232644557952881,-7167,-579,3149,-1404,-893,-1188,3
2025-06-27 13:11:08.529,-0.730231523513794,-3.584120035171509,7.173028469085693,0.6829473376274109,0.2150245606899261,0.6499606370925903,-7815,-552,3600,-1729,-233,-322,3
2025-06-27 13:11:08.629,-1.4676456451416016,-6.033388137817383,9.50498104095459,-3.0921998023986816,0.598647952079773,0.4080579876899719,-7886,-860,3480,-1480,-469,-779,3
