ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
35:22.1,-4.441244125,-1.745373011,8.049305916,-0.951728046,0.056199603,1.076344609,-7166,-3984,1029,-162,244,707,7
35:22.2,-5.298368454,-0.778115571,9.160215378,-0.612086952,-0.737925231,0.728151381,-7524,-4064,783,-769,-378,280,7
35:22.3,-4.261679173,-2.640804529,7.110779285,-0.585208893,-0.127059966,0.167377084,-7312,-4104,464,-206,-259,512,7
35:22.4,-3.347094059,-1.661576033,9.59835434,0.085521132,-0.558330834,0.376293004,-7745,-3723,459,-69,108,457,7
35:22.5,-4.003105164,-0.095768064,9.555258751,-0.141720742,-0.312763005,0.191811681,-7393,-3581,490,-273,-470,548,7
35:22.6,-4.139574528,-1.233013868,9.595960617,-0.012217305,-0.094073251,0.166155353,-7391,-3861,893,-258,-940,427,7
35:22.7,-3.581725836,0.026336219,9.31823349,0.183259577,-0.057421334,0.133168623,-7785,-3454,1124,53,48,651,7
35:22.9,-2.82276392,-0.308852017,9.107542992,-0.00122173,-0.279776275,-0.014660766,-7654,-2972,961,207,-19,618,7
35:23.0,-2.557007313,-0.658405483,9.679757118,-0.030543262,-0.22357668,-0.081855945,-7640,-3148,902,303,297,195,7
35:23.1,-4.469974518,-3.469198227,8.829815865,-0.680503905,-0.175929189,0.260228604,-8045,-3118,1114,-121,299,-16,7
35:23.2,-4.469974518,-3.469198227,8.829815865,-0.680503905,-0.175929189,0.260228604,-8045,-3118,1114,-121,299,-16,7
35:23.3,-2.420537949,-2.056619167,10.85770512,-0.068416908,-0.043982297,-0.1001819,-8051,-2957,1098,-150,14,10,7
35:23.4,-2.312798738,-1.611297727,8.042123795,-2.522873402,0.169820532,0.030543262,-7650,-2733,1095,332,-69,322,7
35:23.7,-1.498770237,-7.946355343,4.556165695,-0.531452775,0.167377084,0.12339478,-7844,-2533,894,-467,609,869,7
35:24.0,-0.079008654,3.205836058,12.44984913,1.248608589,-0.202807263,0.013439035,-8255,-2225,213,-342,197,379,7
35:24.1,-0.210689753,-0.885854602,9.52173996,-1.104444385,0.015882496,0.263893783,-8245,-2194,234,-113,122,89,7
35:24.2,-1.742978811,-0.864306808,8.43956089,-0.602313161,0.158824965,0.704938471,-8216,-2362,235,-40,77,81,7
35:24.3,-0.758961916,0.191536129,10.30703831,-2.263866663,-0.056199603,0.439822972,-7926,-2393,246,322,-108,-288,7
35:24.4,-1.980004787,-3.744531393,7.465120792,-0.50335294,0.725707889,-0.052534413,-8229,-2380,253,182,-94,-342,7
35:24.5,-2.279279947,-1.44849205,9.576807022,4.577824116,-0.613308728,-0.803898692,-8195,-2220,243,82,58,-174,7
35:24.6,-0.172382519,-0.648828685,10.23042393,-2.45690012,-0.566882968,0.640186787,-8221,-2583,541,-349,74,-521,7
35:24.7,-1.403002143,0.761356115,8.961497307,-0.38728857,0.199142069,0.164933622,-7872,-2601,580,69,-365,-381,7
35:24.8,-0.660799682,-0.66798228,10.14902115,0.135612085,0.150272846,0.019547688,-7885,-2652,601,98,50,-201,7
35:24.9,-0.883460402,0.064643443,9.076418877,-0.191811681,-0.056199603,0.182037845,-7922,-2670,406,-76,-351,-548,7
35:25.0,-1.510741234,-0.198718742,9.627084732,0.346971452,0.270002425,0.120951317,-8057,-2444,426,-83,-360,-230,7
35:25.1,-1.608903527,-0.395043284,9.763554573,0.322536856,0.171042264,0.034208454,-7873,-2487,478,-66,-304,-201,7
35:25.3,-1.982398987,0.272938997,9.181763649,0.149051115,-0.118507855,-0.221133217,-8056,-2937,771,127,48,-139,7
35:25.4,-1.70946002,1.687912226,8.621520042,-1.424537778,0.06963864,-0.151494578,-8046,-2944,506,-258,39,-329,7
35:25.7,-0.33518824,2.106897593,9.449913979,-0.759916365,-0.792903066,0.108734012,-8020,-2766,651,-80,-260,99,7
35:25.8,-0.454898328,-1.142034173,9.117119789,-1.171639562,0.160046697,0.141720742,-8000,-2934,668,-54,32,125,7
35:25.9,-0.560243189,-0.653617084,10.3501339,0.141720742,0.45692721,0.268780708,-8004,-2910,672,-66,69,-111,7
35:26.0,-1.546654344,0.299275219,10.0269165,-0.201585531,0.63896507,-0.002443461,-7980,-2926,892,46,266,-123,7
35:26.1,-1.371877551,2.425326347,8.391676903,-0.740368664,1.284038782,-0.692721188,-7819,-2689,831,-72,-40,-84,7
35:26.4,-5.437232018,-5.54018259,4.137180328,-1.317025423,1.437976837,-1.61268425,-7652,-3129,592,3,-67,-842,7
35:26.6,-4.390965939,-8.118738174,7.362170219,0.059864793,0.109955743,-1.815491557,-7938,-3200,630,69,-52,-714,7
35:26.7,-3.292027235,-8.846575737,6.926425457,0.152716309,0.178372651,-1.066570759,-7574,-3230,638,-138,-107,-840,7
35:26.8,-1.666364431,-8.674192429,5.935225964,0.408057988,0.312763005,-0.783129215,-7559,-3307,393,-293,115,-518,7
35:27.0,-0.438138902,-8.693346024,4.900930882,0.938289046,-0.194255143,-0.780685782,-7589,-3259,789,-13,-337,325,7
35:27.1,-0.92895025,-6.91684866,6.852205276,-0.02321288,-0.18692477,-0.15393804,-7587,-3351,816,-86,-1,329,7
35:27.2,-0.390254885,-7.620744228,6.912060261,0.272445887,0.039095376,0.034208454,-7671,-3017,389,-68,136,289,7
35:27.3,2.533065319,-8.741230011,7.393294811,1.554041147,0.648738861,1.170417786,-7608,-3037,634,-315,-36,-309,7
35:27.4,0.397437483,-7.134721279,4.345476151,-2.61572504,0.360410482,2.546086311,-7584,-3412,469,-224,-2,-196,7
35:27.5,-3.957615376,-4.05338335,4.292803764,-2.453234911,-0.813672483,1.558928132,-7562,-3405,591,-627,505,-522,7
35:27.6,-7.924807549,-8.889671326,4.989516258,-3.167947054,-0.932180345,0.497244298,-7313,-3341,343,-620,875,-305,7
35:27.7,-6.631938934,-8.010998726,3.442862034,0.560774267,-0.518013716,0.438601255,-7568,-3218,1,-820,1120,-514,7
35:27.8,-4.833893299,-6.936002254,3.833117008,1.042136073,-0.442266434,0.313984722,-8042,-3442,-297,-195,868,295,7
35:27.9,-5.137956619,-7.469909191,3.481169224,0.222354949,0.114842668,0.074525557,-7571,-3033,-346,-94,619,-42,7
35:28.0,-5.137956619,-7.469909191,3.481169224,0.222354949,0.114842668,0.074525557,-7727,-3447,-134,-320,361,-867,7
35:28.1,-5.748478413,-8.204929352,4.220977783,0.179594383,-0.256563395,0.436157793,-7721,-3654,-208,-453,361,-1057,7
35:28.2,-5.303156853,-7.704541206,6.397306919,-0.422718763,-0.235793978,0.425162196,-7539,-3581,-231,-338,-307,-640,7
35:28.3,-5.966350555,-7.053318024,4.572925091,0.120951317,0.168598801,0.059864793,-7348,-3928,-523,-190,-38,-327,7
35:28.4,-5.604825974,-6.586448669,3.545812607,0.15393804,0.404392779,-0.32131511,-7473,-3558,-553,315,-273,-81,7
35:28.5,-4.936843872,-6.979097843,3.378218651,0.612086952,0.471587956,-0.392175496,-7551,-3687,-574,277,114,-15,7
35:28.6,-5.686229229,-5.530605793,3.993528366,0.579100251,0.313984722,-0.657290995,-7383,-3483,-244,-322,-147,1,7
35:28.7,-3.512293816,-6.449979305,3.675099611,0.030543262,0.098960169,-0.719599247,-7358,-3514,-238,-320,-153,-384,7
35:28.9,-2.952050686,-8.195352554,4.642356873,-0.102625363,-0.028099801,-0.437379509,-7464,-4105,-582,106,143,-425,7
35:29.1,-3.454833031,-8.006210327,4.692635536,0.021991149,-0.034208454,-0.078190751,-7125,-4167,-373,398,-236,-370,7
35:29.2,-3.361459255,-7.845798969,4.599261284,-0.075747289,0.052534413,-0.043982297,-7435,-4099,29,416,-370,-84,7
35:29.3,-4.115632534,-7.76679039,4.94642067,-0.047647487,-0.043982297,-0.157603234,-7436,-3803,100,435,28,361,7
35:29.4,-3.153163671,-7.053318024,4.604049683,0.136833817,-0.117286131,-0.129503429,-7495,-3804,-46,704,-368,-24,7
35:29.6,-2.770091295,-10.08916569,4.891354084,-0.091629788,-0.194255143,0.017104227,-7335,-3487,176,185,-338,373,7
35:29.8,-3.502717018,-7.175422668,5.252878666,0.228463605,0.105068825,0.239459172,-7319,-3473,378,58,3,81,7
35:30.0,-2.997540474,-7.864952564,5.961562157,0.414166629,0.302989155,1.015258074,-7518,-3771,500,-343,-176,-821,7
35:30.1,-5.801150799,-6.004657745,6.50983429,0.612086952,0.817337692,1.196074128,-7096,-4079,799,-209,-578,-1032,7
35:30.2,-6.514622688,-4.352658749,5.705382824,0.312763005,0.806342125,1.183856845,-7273,-4428,787,-168,-367,-636,7
35:30.3,-7.024587631,-2.609679937,5.109226227,0.152716309,0.427605659,1.022588372,-7102,-4370,496,41,-37,298,7
35:30.4,-7.601590633,-2.375048161,5.556941986,-0.052534413,0.271224171,0.632856369,-7107,-4353,497,64,306,130,7
35:30.6,-8.528146744,-1.936909199,5.188235283,0.116064399,0.113620937,0.386066824,-7364,-3942,548,288,166,540,7
35:30.7,-8.585607529,-1.333570361,5.212177277,0.255341679,0.07696902,0.476474881,-7347,-3947,586,256,294,151,7
35:31.1,-8.738836288,-1.029506683,4.977545261,0.455705464,0.028099801,0.464257598,-7399,-3881,586,1130,441,316,7
