ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
52:25.0,4.398148537,-8.28633213,3.181894064,-0.362853944,0.102625363,-0.390953749,-7904,-2004,-179,242,-783,818,10
52:25.1,3.993528366,-9.095572472,3.174711466,-0.158824965,-0.072082102,0.031764992,-7900,-2172,-270,402,-436,449,10
52:25.3,4.182670593,-8.216899872,2.559401512,-0.227241874,0.152716309,0.042760566,-8116,-1582,-300,221,337,1486,10
52:25.4,3.948038578,-9.064447403,2.597708941,0.279776275,-0.087964594,0.05009095,-8492,-1179,-284,536,186,1246,10
52:25.5,3.912125587,-8.623914719,2.894589901,0.161268428,0.012217305,0.087964594,-8534,-1137,-148,-48,44,580,10
52:25.6,4.572925091,-9.220070839,2.997540474,0.12339478,-0.025656341,0.230907068,-8464,-1298,79,-95,-197,340,10
52:25.8,3.632004023,-9.765948296,3.066972494,-0.063529983,-0.44715336,0.807563841,-8179,-1067,-49,148,-28,-345,10
52:25.9,3.42131424,-10.42195988,2.087743998,0.293215305,-0.48014009,0.977384388,-8465,-1114,-111,148,373,-190,10
52:26.2,-1.276109457,-9.751583099,3.057395458,0.235793978,-0.285884947,1.297477722,-8302,-1548,-179,309,342,-867,10
52:26.3,-1.905784607,-9.030928612,2.990357876,0.058643065,-0.598647952,1.308473349,-8119,-1596,-254,264,222,-828,10
52:26.4,-2.794033289,-8.341399193,3.253720045,-0.059864793,-0.57299161,0.968832254,-8174,-1853,-272,548,81,-890,10
52:26.5,-3.450044632,-8.4012537,4.144362926,0.075747289,-0.412944913,0.941954195,-8129,-1679,46,636,66,-891,10
52:26.8,-4.589684486,-6.31829834,4.750096321,0.04642576,-0.558330834,0.496022582,-7267,-4458,854,1193,-94,-644,10
52:27.0,-4.376600742,-6.335057735,5.516240597,0.414166629,-0.441044718,0.103847094,-7302,-3715,434,1214,239,-91,10
52:27.1,-4.249708176,-6.136339188,5.35104084,0.467922777,-0.381179899,0.122173049,-7315,-3888,608,642,108,-382,10
52:27.2,-4.158728123,-6.20337677,6.042964935,0.401949346,-0.265115529,0.229685336,-7524,-3890,496,567,-195,-246,10
52:27.6,-3.830722809,-4.323928356,7.671022415,0.519235432,-0.075747289,-0.031764992,-7093,-4369,961,99,-265,-868,10
52:27.8,-4.003105164,-4.853046894,7.788338184,0.566882968,-0.10751228,0.019547688,-7083,-4411,923,-139,-126,145,10
52:27.9,-3.928884983,-4.381389141,7.934384346,0.438601255,-0.083077677,-0.039095376,-7153,-4051,1150,-290,311,162,10
52:28.0,-4.024652958,-4.237737179,8.037335396,0.250454754,-0.024434609,-0.06963864,-7448,-4222,1101,-284,318,213,10
52:28.1,-4.084507942,-3.79241538,8.341399193,0.313984722,0.05009095,-0.024434609,-7466,-4193,1072,-356,-23,300,10
