ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
48:12.0,8.860940933,-4.185064793,-0.258573771,1.091005325,0.05009095,0.861320019,-8605,1297,882,-1973,293,-402,3
48:12.1,7.443572998,-5.075707436,1.563413739,0.985936522,-0.278554559,0.36774087,-8508,1137,1040,-1074,-552,-192,3
48:12.4,8.662221909,-4.077325344,2.63601613,-0.151494578,-0.002443461,-0.455705464,-8004,578,369,-79,737,17,3
48:12.6,9.342175484,-5.147533417,3.478775024,-0.054977871,-0.315206468,-0.816115975,-8095,2064,-197,572,-38,694,3
48:12.7,9.995792389,-3.97676897,3.062183857,0.398284137,0.048869219,-0.487470478,-8191,1927,-224,580,292,682,3
48:12.9,9.691728592,-4.994304657,3.787626982,-0.487470478,0.397062421,0.444709897,-8502,2456,-402,307,550,690,3
48:13.5,6.129156113,-1.261744261,3.002328873,-0.38728857,0.342084527,0.131946892,-8486,1205,-627,-78,-130,664,3
48:13.6,7.357381821,-6.976703644,4.965574265,-0.502131224,-0.040317107,-0.902858853,-7999,2080,-319,-136,84,604,3
48:13.9,8.599972725,-4.841075897,3.423708439,0.836885393,0.163711891,-0.145385921,-8024,2133,-163,-243,-13,603,3
48:14.1,8.693346024,-5.111620426,3.232172251,-0.432492584,0.118507855,0.752586007,-8260,2682,-1624,-56,358,-135,3
48:14.3,6.43321991,-7.261613846,2.090138197,-1.248608589,-0.373849541,1.297477722,-8467,3008,-2404,-146,-522,-2114,3
48:14.4,5.293580055,-9.452308655,0.521935999,-0.555887401,-0.697608113,1.237612963,-8578,2573,-2078,-3008,-2365,-4030,3
48:14.6,1.805228114,-8.995016098,0.770932972,0.139277279,-0.558330834,1.246165156,-7118,-527,900,-3159,-3736,-5188,3
48:14.7,1.37666595,-10.21127033,-0.423773706,-0.101403631,-0.63896507,1.122770309,-7160,-1771,1681,-3398,-3560,-6068,3
48:15.1,-1.958456993,-10.14902115,-0.548272192,0.482583553,-0.419053555,0.519235432,-6718,-4248,3481,243,386,-1918,3
48:15.3,-2.138022184,-9.430760384,-0.316034615,0.560774267,-0.222354949,0.707381964,-6765,-4479,1734,-586,3110,-1097,3
48:15.4,-5.559336185,-11.61666679,2.410961151,1.160643935,-0.150272846,0.679282129,-6574,-4290,1875,-868,2801,-1090,3
48:15.5,-4.328716755,-11.51132202,2.748543501,2.612059832,0.128281698,1.326799273,-6814,-5176,692,-1324,1148,-1580,3
48:15.6,-2.810792685,-3.260902643,4.118026733,4.640132427,0.43371433,0.064751714,-6593,-5248,801,-264,798,-831,3
48:16.2,-5.114014626,-1.309628367,7.074865818,1.075122833,-0.442266434,0.725707889,-6748,-5464,771,232,-150,113,3
48:16.4,-5.805939198,4.886565685,10.35971069,0.560774267,-0.172263995,0.395840675,-6302,-5470,765,438,-404,58,3
48:16.5,-5.468356609,-1.491587639,7.06768322,-2.539977789,0.701273322,-1.270599723,-6350,-5113,1024,181,-247,-20,3
48:16.6,-4.71657753,0.579396784,7.663839817,0.315206468,-0.455705464,0.378736466,-6357,-5461,1291,-73,-371,-9,3
