ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
03:34.6,6.313509941,-3.691859007,7.184999466,-1.254717231,-0.003665192,-0.541226625,-7587,-3013,346,-587,466,1146,5
03:34.7,6.581660271,-2.746149302,7.635109425,0.703716755,-0.60597831,-0.151494578,-7977,-3075,-90,-330,493,903,5
03:34.8,7.647080421,-2.315192938,6.983886242,0.823446333,-0.419053555,-0.4007276,-8059,-2900,-75,-37,397,1462,5
03:35.2,7.87931776,-2.626439333,5.667075634,0.34452799,-0.259006858,-0.17715092,-8291,483,-1001,-133,-306,1435,5
03:35.3,8.317456245,-2.442085743,4.745307922,-0.003665192,-0.384845108,-0.140499011,-8228,689,-993,97,323,923,5
03:35.4,8.408436775,-2.456450939,5.125985622,-0.172263995,-0.259006858,-0.06963864,-8280,716,-1315,230,259,924,5
03:35.5,8.348581314,-2.63841033,4.340687752,-0.41050145,-0.197920337,-0.06963864,-8470,699,-1327,458,275,891,5
03:35.6,8.688557625,-2.602497339,4.024652958,-0.2003638,-0.211359382,-0.037873644,-8152,817,-693,776,-771,554,5
03:35.7,8.741230011,-2.614468336,4.084507942,0.063529983,-0.0842994,-0.021991149,-8103,858,-824,653,-534,358,5
03:36.2,8.968679428,-2.882618904,3.296815634,-0.128281698,0.030543262,0.025656341,-8183,80,-587,84,-238,-1025,5
03:36.3,8.839392662,-2.67432332,3.878606796,0.002443461,0.152716309,-0.00122173,-8113,-74,-202,221,-499,-771,5
03:36.4,8.767566681,-2.762908697,4.213795185,-0.037873644,0.194255143,-0.012217305,-8148,285,-208,330,-637,-832,5
03:36.5,8.571242332,-2.932897091,4.414907932,0.036651913,0.118507855,-0.089186326,-8124,115,-193,-290,-591,-949,5
03:36.6,8.621520042,-2.679111719,4.34787035,0.109955743,0.056199603,-0.183259577,-9087,-235,61,-666,-805,-1449,5
03:36.9,8.688557625,-2.370259762,4.520252705,-0.136833817,0.10751228,0.018325957,-8473,-1400,581,-732,-131,-1569,5
03:37.0,8.470685959,-2.801215887,4.675876141,-0.184481308,0.122173049,0.073303826,-8157,-1449,241,-1276,-446,-1619,5
03:37.2,8.82263279,-2.257732153,4.096478939,0.072082102,-0.128281698,-0.056199603,-8094,-1693,554,-443,363,137,5
03:37.3,8.741230011,-2.545036316,4.223371983,-0.045204028,-0.035430185,0.039095376,-8268,-2086,253,-428,608,889,5
03:37.6,9.076418877,-2.152387381,3.591302633,-0.169820532,0.103847094,-0.068416908,-8154,-1149,-9,390,313,644,5
03:37.7,8.506598473,-2.097320795,4.855441093,0.081855945,0.078190751,-0.333532423,-8155,-1096,122,-58,313,348,5
03:37.8,8.954314232,-2.26970315,3.871424198,0.057421334,-0.109955743,0.061086524,-8465,-974,-63,-352,-146,-9,5
03:37.9,8.829815865,-2.013523579,4.139574528,0.188146502,-0.142942473,0.010995574,-8167,-932,374,-71,-326,-62,5
03:38.0,9.052476883,-2.353500366,3.971980572,0.048869219,-0.094073251,0.012217305,-8191,-1118,162,286,-296,-73,5
03:38.1,9.081207275,-2.080561161,3.773261786,0.003665192,-0.015882496,-0.02321288,-8468,-1139,183,-102,-88,-287,5
03:38.2,8.990227699,-2.202665567,3.97916317,-0.057421334,0.034208454,0.031764992,-8100,-948,204,54,-93,-343,5
03:38.3,8.916007042,-2.351106167,4.151545525,-0.058643065,0.003665192,0.037873644,-8499,-1142,320,-186,145,106,5
03:38.8,8.911218643,-2.26970315,3.943250179,-0.017104227,-0.002443461,-0.007330383,-8188,-969,-48,8,-73,-344,5
03:39.0,8.956708908,-2.317587137,3.885789394,0.009773844,-0.014660766,0.004886922,-8167,-958,-65,-300,-204,348,5
03:39.1,8.887276649,-2.276885748,3.97676897,0.018325957,-0.018325957,0.032986723,-8185,-1102,336,193,298,-304,5
03:39.2,8.968679428,-2.518700123,3.871424198,-0.003665192,-0.012217305,0.041538838,-8325,-897,273,-163,-516,-893,5
03:39.3,8.925583839,-2.432508945,3.885789394,-0.00122173,0.018325957,-0.003665192,-8474,-1212,220,-675,-802,-1352,5
03:39.5,8.951920509,-2.442085743,3.744531393,-0.089186326,0.057421334,0.048869219,-8151,-1737,397,-984,-186,-1129,5
03:39.6,8.856152534,-2.681505919,4.09169054,-0.030543262,0.004886922,-0.015882496,-8263,-1986,477,-436,-343,-911,5
03:39.7,8.846575737,-2.446874142,4.089296341,0.00122173,0.019547688,0.059864793,-8205,-2368,499,-573,-340,-1131,5
03:39.9,8.757989883,-2.7509377,4.228160381,-0.05375614,0.057421334,0.175929189,-7901,-2641,636,-144,66,-857,5
03:40.0,8.796297073,-2.628833532,4.225766182,0.117286131,-0.013439035,0.030543262,-7830,-2515,400,-129,100,-622,5
03:40.1,8.650250435,-2.578555346,4.165910721,0.078190751,-0.018325957,0.025656341,-7829,-2536,391,-314,101,-630,5
03:40.2,8.827422142,-2.657563925,4.211400986,-0.05375614,0.057421334,-0.02321288,-7817,-2886,627,-87,98,-145,5
03:40.4,8.880094528,-2.336740971,3.952826977,-0.081855945,0.096516706,-0.052534413,-8015,-2725,446,94,96,-358,5
03:40.5,8.70771122,-2.602497339,4.381389141,-0.061086524,0.122173049,-0.140499011,-7991,-2719,445,-65,114,-318,5
03:40.7,8.710105896,-2.346317768,4.283226967,0.042760566,-0.013439035,0.043982297,-7989,-3088,467,182,106,-327,5
03:40.9,8.719682693,-2.631227732,4.367023945,-0.041538838,0.063529983,0.020769419,-7670,-3124,783,258,82,-257,5
03:41.3,8.540117264,-2.698265314,4.46039772,-0.031764992,0.029321533,0.040317107,-8004,-3083,685,-635,-569,-377,5
03:41.4,8.568847656,-2.583343744,4.465186119,0.040317107,0.010995574,0.036651913,-7950,-3168,767,-661,-398,-528,5
03:41.5,8.564059258,-2.504334927,4.548983097,0.010995574,0.025656341,0.003665192,-7951,-3177,760,-664,-436,-557,5
03:41.6,8.489839554,-2.631227732,4.548983097,0.006108652,0.010995574,-0.010995574,-7560,-3417,912,-1345,-1367,-1086,5
03:41.7,8.55448246,-2.547430515,4.594472885,0.056199603,-0.007330383,0.034208454,-7727,-3707,1340,-958,-1360,-1351,5
03:41.8,8.396465302,-2.738966703,4.692635536,-0.05375614,0.029321533,0.014660766,-7684,-3584,1176,-640,-830,-945,5
03:42.0,8.482656479,-2.813186884,4.604049683,-0.040317107,0.008552114,0.020769419,-7334,-3848,1348,-49,-107,-711,5
03:42.2,8.530540466,-2.679111719,4.596867085,0.009773844,-0.008552114,0.004886922,-7397,-4146,1383,62,-54,-885,5
03:42.4,8.468291283,-2.631227732,4.469974518,0.036651913,-0.028099801,0.006108652,-7191,-4558,1258,-1,-189,-535,5
03:42.5,8.46589756,-2.624045134,4.565742493,-0.007330383,-0.031764992,0.02687807,-6878,-4654,1253,609,-396,-183,5
03:42.6,8.535328865,-2.801215887,4.458003521,-0.017104227,-0.040317107,0.047647487,-6789,-4620,1679,115,-681,47,5
03:42.8,8.576030731,-2.856282711,4.30956316,-0.039095376,0.031764992,0.083077677,-6628,-4717,1993,-131,-882,-366,5
03:43.0,8.38928318,-2.863465309,4.580107689,-0.086742863,0.163711891,0.141720742,-6975,-4267,2202,-315,112,203,5
03:43.1,8.310274124,-3.430891037,4.484339714,-0.461814135,0.222354949,0.238237441,-6825,-4313,2269,-136,305,529,5
03:43.2,8.360552788,-5.307945251,5.116408825,-0.564439476,0.179594383,0.474031419,-6970,-4429,2193,-626,437,333,5
03:43.4,8.032546997,-4.50109911,4.412513733,-0.003665192,0.045204028,0.24678956,-6969,-4495,2156,342,388,-1142,5
03:43.5,7.898471355,-4.568136692,3.713406801,0.505796432,-0.09285152,0.491135657,-6901,-5171,2109,204,203,-962,5
03:43.6,6.904877663,-3.890577793,3.981557369,1.275486588,-0.205250725,0.656069279,-6645,-4758,1763,69,51,-821,5
03:43.7,6.895300865,-3.349488258,6.919242859,2.296853304,-0.593761027,0.117286131,-6777,-4894,1686,-354,-79,-463,5
03:43.8,7.869740963,-3.098097086,7.821856976,1.76173532,-1.180191636,-0.167377084,-6776,-4879,1914,-536,346,-552,5
03:44.0,8.437167168,-2.276885748,5.109226227,0.348193198,-0.057421334,0.24678956,-6339,-4484,1252,-565,1332,145,5
03:44.1,7.869740963,-1.642422318,4.802768707,-0.488692194,0.024434609,0.166155353,-6634,-4877,877,-168,1607,821,5
03:44.2,8.0229702,-1.826775908,5.240907669,-0.267558992,-0.054977871,0.017104227,-7196,-4675,234,-55,1451,690,5
03:44.3,8.283937454,-2.640804529,4.987122059,-0.157603234,-0.118507855,-0.215024561,-7477,-4237,-109,101,981,1113,5
03:44.4,8.916007042,-3.102885485,5.250484467,0.075747289,-0.090408057,-0.276111096,-7509,-4118,-135,331,315,152,5
03:44.5,8.063671112,-1.78128612,4.697423935,-0.195476875,-0.090408057,-0.062308256,-8027,-3964,38,-380,-153,231,5
03:44.6,8.628703117,-2.619256735,4.649539471,0.048869219,-0.252898216,-0.333532423,-7567,-3752,625,367,-669,609,5
03:44.9,8.552088737,-1.355118155,4.513070107,-0.26145032,-0.010995574,-0.215024561,-7273,-4347,1232,823,-173,-227,5
03:45.0,9.026140213,-2.475604534,4.582501888,-0.145385921,0.059864793,-0.239459172,-7067,-4442,1569,397,-626,634,5
03:45.1,9.555258751,-1.831564307,4.553771496,0.146607652,0.029321533,-0.304210901,-6965,-3917,1521,799,-669,467,5
03:45.2,8.238448143,-1.295263171,4.42448473,0.056199603,-0.102625363,0,-6551,-3313,1887,138,-703,502,5
03:45.3,8.310274124,-1.762132406,4.211400986,0.365297407,-0.138055548,0.167377084,-8389,-4723,2516,187,-1128,524,5
03:45.4,9.153033257,-1.941697598,5.382165432,0.111177474,0.250454754,0.348193198,-7643,-3729,2889,479,-1088,229,5
03:45.5,8.731653214,-2.006340981,5.856217384,0.283441484,0.607200027,0.497244298,-6703,-3641,2213,-17,479,-211,5
03:45.6,7.989450932,-1.642422318,4.891354084,0.335975885,0.711047173,0.575435042,-6621,-3672,2022,306,1284,-132,5
03:45.8,7.113173485,-2.41574955,5.243301868,0.894306719,0.222354949,0.577878535,-8113,-2877,1890,785,845,1862,5
03:45.9,7.438784599,-1.790862918,5.209783077,0.812450767,-0.164933622,0.459370673,-8027,-2648,1436,-786,-500,515,5
03:46.1,8.595184326,-1.826775908,4.939238071,0.105068825,0.624304295,0.368962616,-7746,-3652,2374,3929,1890,-844,5
03:46.2,6.746860504,-4.204218388,7.465120792,-0.373849541,0.249233022,0.221133217,-7967,-3135,2099,3607,1486,-218,5
