ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
45:20.0,9.940725327,-2.78924489,0.064643443,0.047647487,-0.042760566,-0.150272846,-7768,-3309,781,-722,-301,843,9
45:20.1,9.390059471,-2.971204281,-0.48123455,-0.394618958,0.085521132,-0.031764992,-7977,-3399,691,-220,-434,1321,9
45:20.3,13.5272398,-10.83136845,0.617704034,1.970651269,0.653625786,2.342057467,-7851,-2432,1001,563,-630,429,9
45:20.4,8.968679428,-8.942343712,3.682282209,2.684141874,2.883283854,3.85455966,-7967,-2819,1159,218,-301,601,9
45:20.5,-1.395819545,-4.697423935,2.106897593,3.117856264,3.529579401,3.277902842,-7927,-2044,1591,1051,801,2336,9
45:20.7,-0.70628953,-3.629609823,5.418078423,2.171015024,-0.515570283,0.883311152,-8127,-1242,885,255,1300,273,9
45:20.8,0.351947635,0.04309563,8.767566681,1.660331726,-0.453262001,0.045204028,-8497,-1766,722,115,614,-803,9
45:20.9,-0.687135875,-0.715866327,9.821015358,0.394618958,-0.334754169,0.604756594,-8074,-2066,753,271,363,-250,9
45:21.0,-2.106897593,0.555454791,12.45463753,-0.301767439,-0.040317107,0.199142069,-8236,-1693,869,-371,187,-329,9
45:21.1,-1.8602947,-1.091755986,8.791508675,-0.957836688,-0.461814135,0.27488935,-8509,-1262,377,-270,405,596,9
45:21.2,-0.773327172,-3.248931646,8.724471092,-0.643851995,-0.475253165,0.552222192,-8187,-1168,320,-320,174,604,9
45:21.3,-0.395043284,-1.103726983,10.25197124,-0.388510287,-0.345749736,0.09285152,-8127,-1185,340,14,293,135,9
45:21.4,-1.474828243,-4.412513733,7.477091789,-1.104444385,0.908967495,0.075747289,-8123,-1245,166,113,-51,-92,9
45:21.5,-1.438915253,-3.356670856,8.508993149,4.290717602,-0.031764992,-0.350636661,-8166,-1261,537,-97,43,101,9
45:21.6,0.751779318,1.568202138,9.909601212,0.60597831,-1.000597239,-0.208915919,-8069,-1406,307,-331,361,41,9
45:21.7,0.052672438,1.055842996,11.54962921,-0.748920798,-0.195476875,0.078190751,-8179,-1562,217,-310,35,71,9
45:21.9,0.9648633,-2.236184359,8.805873871,-2.706133127,0.173485726,-0.09285152,-8076,-1097,382,371,326,270,9
45:22.2,4.244919777,-0.081402861,12.37802315,-0.761138082,-0.899193645,0.522900641,-8533,-1573,-69,342,268,191,9
45:22.3,0.37349546,0.505176544,9.172186852,-0.505796432,0.406836241,0.238237441,-8145,-1189,154,134,-262,-14,9
45:22.4,1.587355733,-2.513911724,8.604761124,-1.279151797,0.406836241,0.142942473,-8127,-1341,-10,19,181,185,9
45:22.5,0.397437483,0.656011283,7.65426302,-2.015855312,0.827111542,-1.066570759,-8452,-983,-51,-97,142,401,9
45:22.9,3.670311213,-8.480262756,5.956773758,-0.733038306,-0.538783133,-1.55281949,-8452,-659,-181,-10,-47,201,9
45:23.0,6.409277916,-7.410054207,4.759673119,-0.252898216,-0.063529983,-1.307251573,-8514,-605,-383,-23,54,548,9
45:23.2,5.272032261,-7.278373241,5.073313236,-0.09285152,-0.003665192,-0.386066824,-8177,47,259,68,-609,457,9
45:23.3,5.997475147,-6.794744492,4.01747036,0.102625363,-0.128281698,-0.415388376,-8177,105,304,102,37,538,9
45:23.4,6.236895561,-8.719682693,5.133168221,0.164933622,0.183259577,-0.037873644,-8495,117,-15,-101,-67,259,9
45:23.5,7.577648163,-8.635885239,4.632780075,-0.173485726,0.174707457,1.088561893,-8529,69,-99,-134,263,-324,9
45:23.6,-0.29688102,-8.161833763,1.223437071,-1.787391663,0.15393804,2.057394028,-8488,-583,-85,-597,-380,-494,9
45:23.8,-2.23139596,-7.17063427,2.806004286,1.284038782,-0.564439476,0.8344419,-8180,-206,122,5,10,-529,9
45:23.9,0.119710088,-7.575253963,4.19464159,0.790459633,-0.879645944,-0.02687807,-8529,-179,132,-13,-249,-252,9
45:24.0,0.766144514,-8.937555313,4.975151062,0.291993588,0.054977871,-0.289550126,-8521,-421,401,246,-437,-461,9
45:24.1,0.74459672,-7.718906403,4.769249916,0.768468499,-0.094073251,-0.285884947,-8507,-388,618,293,-586,-430,9
45:24.2,-0.105344877,-7.620744228,5.554547787,0.713490605,-0.122173049,-0.306654364,-8154,-789,605,5,56,-593,9
45:24.3,1.515529633,-7.989450932,5.693411827,0.267558992,-0.250454754,0.230907068,-8191,-660,539,-79,-102,-428,9
45:24.5,-0.548272192,-9.361329079,8.219294548,0.235793978,0.860098243,1.205847979,-8516,-1086,576,209,-205,-789,9
45:25.0,-5.549759388,-4.46039772,6.232107162,0.676838696,-0.482583553,0.802676916,-8106,-1514,822,985,-114,-804,9
45:25.8,-5.365406036,-3.555389643,6.160281181,1.042136073,-0.349414915,0.704938471,-8137,-1716,1139,-30,-614,-612,9
45:25.9,-5.61919117,-2.592920542,6.488286495,1.094670534,-0.080634214,0.439822972,-8308,-1666,1000,109,-406,-243,9
45:26.0,-5.973533154,-1.812410712,6.967126846,0.901637077,-0.024434609,0.294437051,-8271,-1709,1331,-392,-554,-437,9
45:26.3,-5.858611584,2.612074137,7.046135426,0.399505883,-0.056199603,0.003665192,-8270,-1986,1358,-801,-518,-1089,9
45:26.5,-6.200982571,3.016694069,6.766014099,0.191811681,0.0842994,-0.018325957,-7656,-2807,1917,309,-277,-621,9
45:26.7,-6.193799973,3.600879431,6.629544735,0.2846632,0.029321533,0.040317107,-7943,-3103,1915,68,-301,-283,9
45:26.8,-6.196194172,3.778050184,6.512228489,0.290771842,0.030543262,0.025656341,-7622,-3101,1728,-327,-318,-260,9
45:26.9,-6.210559368,3.950432777,6.246472359,0.108734012,0.035430185,0.006108652,-7599,-3184,1752,4,27,-246,9
45:27.0,-6.148310184,4.096478939,6.131550789,0.131946892,-0.014660766,0.006108652,-7579,-2964,1752,-122,15,-397,9
45:27.3,-6.308721542,4.326322556,6.090848923,0.122173049,0.024434609,0.004886922,-7738,-3213,2172,-1,-324,-544,9
45:27.5,-6.246472359,4.369418144,6.019022942,0.041538838,0.047647487,-0.002443461,-7710,-3287,2161,27,-296,-532,9
45:27.9,-6.196194172,4.800374508,6.028599739,0.048869219,-0.009773844,0.031764992,-7481,-3929,2036,-264,115,-542,9
45:28.0,-6.191405773,4.833893299,5.940014362,0.045204028,-0.010995574,0.006108652,-7513,-3924,1996,-301,99,-161,9
45:28.1,-6.107608318,4.797980309,5.746084213,0.086742863,0.006108652,0.014660766,-7434,-3748,2040,-267,-81,-315,9
45:28.2,-6.02381134,4.991910458,5.853823185,-0.013439035,-0.010995574,0.006108652,-7428,-3772,2014,81,122,-381,9
45:28.7,-6.157886982,4.759673119,5.829881191,-0.205250725,-0.043982297,-0.041538838,-7076,-4172,2308,38,-258,-281,9
45:28.8,-6.217741966,4.848258495,6.066906929,-0.263893783,-0.047647487,-0.05375614,-7061,-4179,2334,42,-96,134,9
45:28.9,-6.02381134,4.304774761,6.074089527,-0.282219738,-0.035430185,-0.068416908,-7066,-4175,2348,37,-53,177,9
45:29.0,-6.160281181,3.995922565,6.205770969,-0.265115529,-0.064751714,-0.079412483,-7164,-3766,2325,74,277,222,9
45:29.1,-6.088454723,3.938461781,6.335057735,-0.32131511,-0.075747289,-0.097738437,-7440,-3956,2019,22,279,221,9
45:29.5,-5.525817394,1.867477298,6.835445881,-1.10933125,-0.09285152,-0.76480329,-7591,-2504,1802,-123,2001,2508,9
45:29.6,-5.42765522,1.180341482,7.220912457,-1.368338108,-0.151494578,-1.092227101,-7938,-1977,1359,-1455,2447,3509,9
45:29.7,-4.903325081,-1.972822189,5.954379559,-1.770287514,0.04642576,-1.598023534,-8499,-1382,419,-2293,2429,3436,9
45:29.8,-4.668693542,-4.474762917,5.992686749,-1.505172014,0.052534413,-1.76173532,-8541,-1027,169,-2615,1784,2657,9
45:29.9,-4.558559895,-6.72531271,5.770026207,-1.532050014,-0.045204028,-2.040289879,-8494,-329,-598,-3083,2138,1441,9
45:30.1,-3.086126089,-8.851364136,6.112396717,-0.101403631,-1.020144939,-0.853989601,-8471,546,-1387,-1715,764,649,9
45:30.3,-0.93134445,-8.803479195,5.018246651,0.052534413,-0.497244298,-0.080634214,-8106,674,-1097,25,-222,99,9
45:30.4,0.861912608,-8.686163902,4.934449673,-0.250454754,-0.50335294,-0.09285152,-8274,842,-746,-86,-542,84,9
45:30.5,1.142034173,-8.801085472,5.178658485,-0.173485726,-0.33108896,-0.195476875,-8115,816,-641,-18,-230,-207,9
45:30.6,1.130063176,-8.635885239,5.154716492,-0.106290549,-0.167377084,-0.083077677,-8179,395,-885,-269,-305,-568,9
45:30.8,1.592144132,-9.210494041,7.199364662,-0.037873644,-0.095294975,-0.12339478,-8450,567,-864,74,-134,-217,9
45:31.2,1.900996208,-5.178658485,5.073313236,0.185703039,0.508239865,-0.785572708,-8137,515,-485,449,-271,-18,9
45:31.3,1.786074519,-8.046912193,5.516240597,2.594955444,-1.095892191,-0.946841121,-8090,-16,-733,557,245,38,9
45:31.5,6.160281181,-3.215412855,8.164227486,1.390329242,-1.606575608,-0.322536856,-8464,141,-1077,638,292,308,9
45:31.6,7.196970463,-1.122880578,7.852981567,0.248011291,-0.448375076,-0.02321288,-8133,209,-1106,376,-301,59,9
45:31.7,8.463502884,-0.48123455,8.50420475,-2.360383272,-0.028099801,0.142942473,-8183,136,-496,26,-555,-370,9
45:32.2,-2.540247917,-6.91445446,4.515464306,0.613308728,-0.345749736,0.151494578,-8157,-544,-634,-70,-340,-685,9
45:32.4,-1.644816518,-7.280767441,5.073313236,0.194255143,-0.268780708,-0.326202035,-8185,-523,-532,-614,-362,-599,9
45:32.5,-1.606509328,-8.176198959,5.240907669,1.003040791,-0.113620937,-0.29810223,-8109,-435,-184,-658,-272,-546,9
45:32.6,-1.764526606,-8.676587105,5.532999992,1.28159523,-0.245567828,-0.067195177,-8308,-775,-540,-436,321,-175,9
45:32.7,-2.291250944,-7.223306656,5.973533154,1.825265408,-0.287106663,0.201585531,-8167,-892,-409,-300,157,-336,9
45:33.0,-4.565742493,-6.31590414,5.822698593,1.44042027,-0.010995574,0.427605659,-8312,-481,-799,-270,-26,25,9
45:33.2,2.631227732,-0.830788016,11.53765774,-0.613308728,-0.561996043,0.77824235,-8176,-406,-833,-272,48,299,9
45:33.3,0.866701007,-3.071760893,9.081207275,-0.90408057,-0.514348507,0.395840675,-8091,-624,-439,-290,13,57,9
45:33.4,0.48123455,-3.205836058,8.310274124,0.15393804,-0.045204028,-0.09285152,-8075,-616,-492,-361,19,40,9
45:33.5,1.15400517,-1.120486379,7.972691536,1.324355841,-0.266337246,-0.431270868,-8175,-574,-846,90,-105,274,9
45:33.6,-0.038307227,-0.979228497,9.157821655,0.156381503,0.119729586,-0.02321288,-8117,-225,-878,-72,-31,-49,9
45:33.7,2.035071373,-0.239420176,9.469067574,0.557109118,-0.193033412,0.161268428,-8460,-217,-862,-16,-63,-66,9
45:33.9,2.41574955,1.010353088,9.105149269,-0.317649931,-0.075747289,0.425162196,-8120,-204,-452,-109,-86,70,9
45:34.0,1.584961534,-0.912190855,8.736441612,-0.537561417,-0.263893783,-0.294437051,-8149,-252,-836,333,317,-102,9
45:34.2,2.161964178,-0.93134445,11.09473038,0.074525557,-0.21013765,-0.028099801,-8109,-382,-893,261,-10,-116,9
45:34.3,2.470816135,-3.761290789,9.29189682,0.91385442,-0.394618958,-0.707381964,-8152,-609,-894,-202,66,-325,9
45:34.4,2.470816135,-3.761290789,9.29189682,0.91385442,-0.394618958,-0.707381964,-8152,-609,-894,-202,66,-325,9
45:34.8,3.552995205,2.123656988,11.61906052,-0.235793978,-0.774577141,-0.460592389,-8067,-240,-820,-279,33,-306,9
45:35.0,3.871424198,4.879383087,12.62701988,2.932153225,-0.111177474,-0.299323976,-8134,-221,-709,-345,-69,19,9
45:35.1,1.110909581,1.199495077,9.801861763,-1.937664509,1.187522054,0.252898216,-8130,-586,-848,105,50,31,9
45:35.2,-0.979228497,-3.785232782,5.305551052,-4.451985836,-0.769690216,0.717155814,-8086,-226,-661,-382,-80,0,9
45:35.3,3.227383852,-4.331110954,15.16008472,0.8344419,0.067195177,0.340862811,-8092,-532,-1071,-523,288,108,9
45:35.4,2.200271368,-3.138798475,10.08437729,2.56319046,-0.728151381,0.265115529,-8127,-187,-751,285,-83,319,9
45:35.5,2.331952572,6.447585106,12.64617348,0.803898692,0.794124842,-0.372627795,-8087,-343,-1028,101,-23,114,9
45:35.8,-0.232237563,-6.349422932,6.667851925,1.624901533,1.028697014,0.312763005,-8452,-173,-733,-18,116,-19,9
45:35.9,2.966415882,2.928108692,10.01494598,-0.558330834,0.656069279,-0.12339478,-8159,-566,-807,29,-272,-267,9
45:36.1,1.098938584,0.074220255,5.887341976,2.426356792,-0.872315586,-0.65240407,-8129,-521,-663,-251,-9,-109,9
45:36.3,0.193930343,-0.493205547,8.817844391,0.977384388,0.262672067,-0.541226625,-8147,-165,-723,-40,295,344,9
45:36.8,2.099714994,1.59932673,9.344569206,0.282219738,-0.151494578,-0.346971452,-8133,-299,-732,-25,113,-102,9
45:36.9,1.30005157,-0.48123455,9.43315506,-1.158200502,0.334754169,-0.649960637,-8155,-272,-657,275,-311,94,9
45:37.1,-1.503558636,0.478840351,11.14500904,0.464257598,0.327423781,-0.304210901,-8279,-360,-452,-20,-139,-273,9
45:37.3,-0.430956304,-0.244208574,9.588777542,0.309097826,0.064751714,-0.010995574,-8277,-350,-420,-70,-305,-329,9
45:37.4,-0.114921682,1.297657371,8.532935143,0.193033412,-0.482583553,0.10751228,-8081,-227,-797,-27,324,210,9
45:37.6,1.015141487,0.378283858,10.54885292,-0.124616511,-0.262672067,0.147829384,-8138,12,-687,-604,-7,-52,9
45:37.8,1.616086125,0.442927301,10.45547867,-0.8014552,-0.338419348,0.37751472,-8190,-355,-492,-304,-296,115,9
45:37.9,2.121262789,-1.022324085,10.10592556,-1.688431501,-0.299323976,-0.272445887,-8182,-356,-475,35,-323,80,9
45:38.0,-0.567425787,-4.558559895,7.467514992,4.447099209,-0.173485726,-0.496022582,-8142,-181,-400,371,-156,-550,9
45:38.3,2.085349798,0.658405483,8.700529099,-1.126435518,-0.24678956,0.212581098,-8455,-214,-611,274,-346,-25,9
45:38.5,-0.529118598,-1.788468719,8.990227699,6.538701534,0.156381503,-0.625526011,-8172,-296,-357,557,-640,-35,9
45:38.7,4.668693542,2.169146776,9.619902611,-0.69882983,-1.627344966,0.691499472,-8449,-175,-311,135,-157,285,9
45:38.8,1.118092179,-0.55784899,8.846575737,-1.117883444,0.26145032,0.626747727,-8552,-349,-121,544,-155,590,9
45:38.9,3.327940464,0.979228497,9.56004715,-1.744631171,-0.015882496,0.081855945,-8467,-258,-113,595,-607,638,9
45:39.1,0.735019922,-0.873883605,7.678205013,5.650503635,-0.737925231,-0.805120409,-8555,-47,174,333,-143,328,9
45:39.3,4.776432514,2.683900118,16.51041412,-0.036651913,0.362853944,0.383623362,-8512,382,213,326,-258,-71,9
45:39.5,0.227449164,-0.263362199,4.912901878,-1.23516953,1.153313637,-0.885754585,-8540,346,625,262,-296,113,9
45:39.6,0.227449164,-0.263362199,4.912901878,-1.23516953,1.153313637,-0.885754585,-8354,154,548,-296,271,348,9
45:39.7,0.505176544,-10.76672459,5.226542473,-2.690250635,-0.23335053,-2.498438835,-8155,523,516,-126,-29,-123,9
45:39.8,0.505176544,-10.76672459,5.226542473,-2.690250635,-0.23335053,-2.498438835,-8101,129,145,3,349,-142,9
45:39.9,2.679111719,-12.38281155,5.992686749,-2.546086311,-0.544891775,-1.683544636,-8431,289,6,-329,-48,-136,9
45:40.0,4.841075897,-10.18253994,5.073313236,-0.855211318,-0.037873644,-1.445307136,-8724,-116,305,-628,-959,-864,9
45:40.2,5.925649166,-8.360552788,4.398148537,0.455705464,0.229685336,-0.089186326,-8158,-264,1181,21,-713,-805,9
45:40.3,7.620744228,-9.56004715,3.629609823,-1.011592865,0.874759018,1.870469332,-8191,-206,1539,-269,-400,-708,9
45:40.4,-0.926556051,-7.984662533,2.109291792,1.357342601,-0.91385442,1.199739337,-8164,-1145,1544,308,-248,-1116,9
45:40.5,-0.926556051,-7.984662533,2.109291792,1.357342601,-0.91385442,1.199739337,-8457,-791,1212,389,90,-575,9
45:40.7,1.223437071,-6.758831501,3.507505417,2.179567099,-0.93706727,0.10751228,-8325,-466,1594,328,-350,-337,9
45:41.0,-2.367865562,-8.128314972,5.837063789,0.466701061,1.119105101,2.02318573,-8317,-1444,1805,-21,258,-1071,9
45:41.1,-3.897760391,-6.651092529,5.212177277,0.486248732,0.647517145,2.206445217,-8092,-1488,1448,1064,548,-770,9
45:41.2,-5.595249176,-3.236960649,5.521028996,1.180191636,-0.155159771,1.375668526,-8288,-1726,1485,1357,556,-795,9
45:41.3,-5.978321552,-1.817199111,5.497087002,1.270599723,-0.150272846,0.885754585,-8265,-1787,1512,1328,207,-451,9
45:41.4,-6.191405773,-0.162805721,6.059724331,1.237612963,0.045204028,0.580321968,-8263,-2094,1792,693,-38,-578,9
