ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
40:41.1,9.670180321,-4.453215122,0.356736064,-1.309695125,0.348193198,0.706160247,-7573,3302,-251,533,813,-1354,2
40:41.2,6.926425457,-5.446808815,0.648828685,0.173485726,-0.136833817,0.250454754,-7382,2284,-997,-950,1660,-46,2
40:41.3,7.153874874,-5.037400246,0.076614454,0.235793978,-0.167377084,0.444709897,-7082,2452,-984,-1332,1843,269,2
40:41.4,7.153874874,-5.037400246,0.076614454,0.235793978,-0.167377084,0.444709897,-7082,2452,-984,-1332,1843,269,2
40:41.5,7.989450932,-5.868188381,-0.497993946,0.44715336,-0.510683358,0.569326401,-7112,3854,-1169,-1198,1448,884,2
40:41.8,6.746860504,-7.232883453,-0.201112941,1.470963478,-1.089783549,1.254717231,-7145,4279,-1865,-1624,1323,294,2
40:41.9,5.214571476,-8.109161377,0.416591108,0.563217759,-0.197920337,0.55955255,-7270,3215,-1241,-1452,-185,-1382,2
40:42.0,13.25908947,0.421379507,0.586579442,-0.007330383,-0.359188765,-1.081231475,-7529,3006,-927,-816,-382,-549,2
40:42.1,1.216254473,-11.8680582,1.642422318,-0.265115529,0.962723613,-1.739744186,-7755,2989,-1077,-771,-320,-560,2
40:42.2,3.143586874,-8.556877136,0.129286885,-0.23335053,0.766025007,0.342084527,-7739,2951,-222,-594,-605,-210,2
40:42.3,7.019799232,-7.328651428,-0.031124622,0.1001819,0.106290549,0.02687807,-7472,3348,-351,622,-1125,-85,2
40:42.5,6.052541733,-8.55448246,1.158793569,-0.474031419,0.043982297,-0.799011767,-7701,3237,-1283,-43,60,437,2
40:43.0,5.54018259,-7.486668587,-0.847547412,-1.297477722,0.221133217,0.518013716,-7515,3745,-1906,355,410,565,2
40:43.3,5.458779812,-6.619967937,-5.123591423,-1.484402537,0.295658767,0.921184778,-7376,4422,-2166,611,262,431,2
40:43.5,2.422932148,-6.481103897,-7.35977602,-0.465479314,-0.689055979,0.507018149,-7615,5661,-2797,-122,-331,-601,2
40:43.7,0.9672575,-5.647922039,-8.042123795,0.315206468,-1.233947754,0.412944913,-7498,5266,-2752,-1190,-1646,-2194,2
40:44.2,-0.019153614,-7.117961884,-6.20337677,0.469144523,-1.171639562,0.349414915,-7873,-1511,2350,-572,-1120,-2309,2
40:44.3,-2.987963676,-9.018958092,-4.469974518,0.189368233,-0.245567828,-0.041538838,-7811,-1240,2294,629,-618,-1322,2
40:44.4,-5.346252441,-10.47463226,-5.087678432,0.339641064,-0.147829384,0.689055979,-8209,-1548,2302,480,364,-1069,2
40:44.5,-2.734178305,-9.15063858,-3.773261786,0.335975885,0.193033412,1.599245191,-8187,-1821,2210,821,403,-661,2
40:44.7,-3.849876404,-6.612784863,-4.469974518,-0.147829384,0.912632704,0.464257598,-7912,-1981,641,1960,-44,-1398,2
40:44.8,-5.920860767,-6.605602264,-6.210559368,0.555887401,0.659734488,-0.091629788,-8268,-2047,219,1648,461,-1222,2
40:44.9,-4.532223701,-7.496245384,-7.438784599,0.529009283,-0.113620937,0.254119933,-7583,-2093,513,1328,528,-220,2
40:45.1,-2.011129379,-8.353369713,-5.137956619,0.426383942,-0.324980319,0.41050145,-8964,-2243,765,-1630,1103,216,2
40:45.2,-5.633556366,-7.967903137,-2.978386879,0.173485726,-0.232128799,0.059864793,-8279,-1234,1507,-1861,-5,496,2
40:45.4,-3.057395458,-5.820304394,-3.596091032,-0.719599247,0.13072516,0.188146502,-8160,-1601,1525,-1491,-108,139,2
40:45.5,-3.057395458,-5.820304394,-3.596091032,-0.719599247,0.13072516,0.188146502,-8160,-1601,1525,-1491,-108,139,2
40:45.7,-7.012616634,-10.58955383,-5.202600479,1.948660135,-2.723237276,-2.691472292,-8113,-893,1475,-694,-253,773,2
40:45.8,-4.299986362,-12.43787766,3.926490784,3.280346394,-2.075720072,0.045204028,-8477,-1860,1017,-4344,728,-112,2
40:45.9,-2.26730895,-7.345410824,4.984727859,4.701219082,0.58276546,0.5363397,-8547,-1261,752,-2171,613,1048,2
40:46.2,-4.637568474,-6.177040577,4.807557106,-0.063529983,0.025656341,0.012217305,-8137,-188,60,-274,834,1066,2
40:46.3,-7.144298077,-8.611943245,4.872200489,0.383623362,0.294437051,-0.079412483,-8724,115,-198,296,747,618,2
40:46.6,-5.808333397,-7.10359621,4.757278919,-0.728151381,0.656069279,0.056199603,-8168,-359,524,1285,-730,40,2
40:46.7,-5.808333397,-7.10359621,4.757278919,-0.728151381,0.656069279,0.056199603,-8449,-538,220,491,-304,-377,2
40:46.9,-5.38934803,-6.296750546,5.461174011,-0.794124842,0.175929189,-0.009773844,-8570,-155,570,-56,91,-218,2
40:47.0,-4.618414879,-6.270414352,4.168305397,-0.013439035,-0.096516706,0.073303826,-8343,-194,798,-73,-158,440,2
40:47.2,-4.580107689,-6.708553314,2.576161146,0.750142515,-0.07696902,-0.172263995,-8189,-292,723,416,-755,84,2
