ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
12:18.2,-2.691082716,-7.69017601,4.855441093,0.149051115,0.02687807,0.063529983,-8517,-717,856,29,-57,48,0
12:18.6,-4.587290287,-4.034229755,6.959944248,0.752586007,-1.088561893,2.062281132,-8503,-485,1062,-1045,-773,1005,0
12:18.8,-1.292868972,-2.628833532,10.47223854,0.823446333,-0.678060412,0.560774267,-8498,-290,911,6,-629,467,0
12:18.9,-2.070984364,-2.279279947,9.516951561,0.056199603,0.138055548,-0.149051115,-8545,-46,1101,-475,-104,592,0
12:19.0,-2.212242365,-2.274491549,9.466673851,0.1001819,-0.149051115,-0.167377084,-8541,539,746,-1571,-374,800,0
12:19.1,-2.245761156,-2.621650934,10.07240677,0.138055548,0.185703039,-0.006108652,-8187,326,923,-1321,-361,552,0
12:19.2,-2.245761156,-2.621650934,10.07240677,0.138055548,0.185703039,-0.006108652,-8187,326,923,-1321,-361,552,0
12:19.3,-3.136404276,-3.904942989,8.59278965,-0.427605659,0.414166629,0.412944913,-8541,400,1116,50,-9,110,0
12:19.4,-3.624821424,-2.023100376,8.781931877,-0.138055548,-0.306654364,0.924849987,-8369,579,1026,151,117,-590,0
12:19.7,-0.852335811,-1.206677675,9.076418877,0.576656818,-0.239459172,-0.012217305,-8411,598,1046,202,24,-532,0
12:19.7,-1.616086125,-0.361524463,7.931990147,0.008552114,0.079412483,0.041538838,-8459,143,1162,-331,-191,-347,0
12:20.1,-2.97359848,-2.621650934,9.193734169,0.280998021,0.010995574,0.106290549,-8094,93,980,1825,918,-446,0
12:20.2,-2.334346771,-1.889025092,8.018181801,0.218689755,-0.133168623,0.103847094,-8541,180,412,-104,-21,319,0
12:20.4,-1.776497602,0.093373865,8.647856712,-1.580919266,0.05375614,0.18692477,-8504,181,425,-339,-75,-68,0
12:20.5,-2.892195702,-2.111685991,9.179368973,-0.356745303,0.761138082,-1.075122833,-8502,156,831,-134,124,356,0
12:20.7,-2.772485495,-4.75488472,7.570465565,0.329867244,-0.273667634,-0.059864793,-8508,188,828,-364,112,361,0
12:20.8,-1.620874524,-1.948880196,8.576030731,-0.062308256,-0.021991149,0.263893783,-8484,552,774,-146,96,180,0
12:20.9,-1.323993564,-2.322375536,8.975862503,-0.010995574,0.173485726,-0.295658767,-8349,392,468,-665,-875,29,0
12:21.0,-3.754108191,-3.45722723,9.17697525,-0.02687807,0.150272846,-0.327423781,-8136,330,744,-190,-237,-227,0
12:21.1,-2.959233284,-3.466804028,9.042900085,0.217468023,-0.048869219,0.180816114,-8161,170,744,613,288,50,0
12:21.3,-4.089296341,-3.035847664,8.511386871,-0.087964594,-0.504574716,0.310319543,-8449,603,1136,-775,-550,150,0
12:21.5,-4.204218388,-4.381389141,9.358934402,-0.831998467,0.720820963,0.196698606,-8483,770,1034,-450,-325,232,0
12:21.7,-2.372653961,-2.801215887,9.081207275,-0.2846632,-0.149051115,0.040317107,-8393,468,923,-236,21,-147,0
12:21.7,-2.504334927,-2.798821688,8.724471092,-1.3377949,0.017104227,0.04642576,-8472,235,1017,-298,26,-628,0
12:21.8,-3.263296843,-5.267243862,8.710105896,-0.81122905,-0.175929189,0.103847094,-8450,136,1283,-130,54,-587,0
12:21.9,-1.563413739,-5.784391403,8.0229702,-0.318871647,-0.306654364,0.097738437,-8503,238,1016,69,-85,-372,0
12:22.2,-3.01190567,-3.895366192,8.872911453,0.454483747,-0.051312681,-0.097738437,-8086,-37,1373,-406,-104,11,0
12:22.3,-2.391807556,-3.12203908,8.769960403,0.580321968,-0.052534413,0.037873644,-8566,575,1070,351,-14,101,0
12:22.4,-2.521094322,-2.466027737,8.664615631,1.045801282,-0.313984722,-0.265115529,-8513,210,1117,-117,267,-282,0
12:22.5,-1.223437071,-1.438915253,7.39808321,-0.293215305,0.921184778,0.006108652,-8574,225,974,-289,53,-88,0
12:22.6,-4.963180065,-0.052672438,7.383718014,0.602313161,-0.152716309,-0.500909507,-8547,149,1379,-275,-319,109,0
12:22.8,-2.250549555,-1.551442742,7.599195957,-0.434936047,0.190589949,0.080634214,-8509,130,1388,11,-362,67,0
12:23.3,-1.386242747,-2.15478158,9.279925346,-0.2003638,0.268780708,-0.712268889,-8572,562,896,106,3,-10,0
12:23.4,-3.38061285,-4.663905144,9.251194954,0.194255143,0.240680903,-1.038470864,-8518,139,975,782,141,-195,0
12:23.5,-2.360682964,-4.872200489,8.827422142,0.350636661,0.029321533,0.215024561,-8495,196,1102,593,-44,-535,0
12:23.6,-1.726219416,-3.16034627,8.494627953,-0.004886922,-0.009773844,0.097738437,-8522,210,1123,194,259,-294,0
12:23.8,-2.130839586,-2.995146275,8.757989883,-0.007330383,0.065973446,-0.004886922,-8515,221,1095,11,270,-66,0
12:23.8,-2.233790159,-3.08133769,8.927978516,0.105068825,-0.139277279,0.010995574,-8547,475,1058,-191,-294,201,0
12:24.1,-3.531447411,-2.770091295,7.038952827,0.362853944,0.737925231,0.189368233,-8504,560,899,-172,-91,-288,0
12:24.2,-0.914585054,-2.573766708,9.861717224,0.614530444,-0.959058464,0.013439035,-8477,582,1000,-212,-271,-73,0
12:24.3,-3.97676897,-1.522712231,7.845798969,0.205250725,0.164933622,0.265115529,-8495,599,1018,-180,28,-62,0
12:24.4,-1.999158382,-0.881066203,7.819462776,0.243124366,-0.641408503,0.437379509,-8566,364,938,39,-96,3,0
12:24.5,1.8602947,-1.594538331,9.605537415,-0.821002901,0.646295428,0.386066824,-8311,-112,1246,1073,-100,64,0
12:24.9,-3.308786631,-2.920926094,10.07001209,0.432492584,-0.024434609,-0.009773844,-8154,193,172,303,202,-253,0
12:25.0,-1.685518026,-2.011129379,10.3166151,0.315206468,0.057421334,0.356745303,-8478,-124,230,-130,423,-641,0
12:25.1,-1.630451322,-1.498770237,9.191340446,0.057421334,0.012217305,0.142942473,-8511,94,355,-182,489,-1037,0
12:25.3,-1.611297727,-2.147598982,9.102754593,-0.035430185,-0.12339478,0.028099801,-8355,4,319,-420,622,-460,0
12:25.3,-2.329558372,0.359130263,9.684545517,-0.301767439,0.535117984,-0.086742863,-8553,-97,224,-433,-152,217,0
12:25.7,-2.401384354,-3.670311213,9.169792175,-0.114842668,-0.035430185,-0.081855945,-8284,350,1076,-2392,-1371,1033,0
12:25.8,-2.688688517,-2.916137695,9.392453194,0.1001819,-0.037873644,0.174707457,-8225,300,1281,-334,-346,47,0
12:26.0,0.560243189,-2.760514498,11.9757967,0.889419794,-0.250454754,0.05375614,-8510,812,899,-885,-604,-123,0
12:26.1,-0.739808321,-3.174711466,8.070854187,-0.614530444,0.00122173,0.235793978,-8519,793,1283,-504,-591,84,0
12:26.2,-3.284844637,-1.63523972,8.899248123,-0.103847094,-0.166155353,0.042760566,-8491,392,1316,-111,83,-203,0
12:26.7,-2.147598982,-2.983175278,9.428366661,-0.041538838,-0.073303826,-0.158824965,-8540,499,937,-554,-255,-136,0
12:26.8,-2.097320795,-2.997540474,8.968679428,-0.059864793,0.105068825,-0.293215305,-8481,512,1203,268,104,121,0
12:27.1,-2.372653961,-3.366247654,9.124302864,0.218689755,0.035430185,-0.02321288,-8138,520,1330,326,395,-105,0
12:27.1,-1.304839969,-3.045424461,12.06677628,0.929736912,0.056199603,0.012217305,-8391,779,1111,544,136,-38,0
12:27.4,-2.798821688,-1.000776291,7.532158375,-0.244346097,0.524122357,-0.145385921,-8149,526,982,85,21,-354,0
12:27.6,-3.016694069,-2.554613113,9.085995674,-0.406836241,-0.202807263,0.290771842,-8507,601,911,988,397,50,0
12:27.7,-2.700659513,-2.226607561,9.370905876,-0.201585531,-0.257785141,0.175929189,-8553,455,712,409,187,374,0
12:27.8,-2.341529369,-2.561795712,10.14902115,0.184481308,-0.162490159,0.065973446,-8322,449,695,804,342,344,0
12:27.9,-2.068590164,-2.868253708,9.576807022,0.021991149,0.10751228,0.111177474,-8556,670,705,857,-114,292,0
12:28.1,-2.152387381,-2.78924489,9.167398453,0.029321533,-0.061086524,0.021991149,-8482,730,743,559,126,311,0
12:28.5,-3.598485231,-4.520252705,9.392453194,0.090408057,0.103847094,-0.277332813,-8180,645,1147,-1561,-136,327,0
12:28.6,-2.324769735,-2.159569979,8.43956089,0.533896208,-0.117286131,-0.065973446,-8496,820,1106,-1304,-319,-343,0
12:28.7,-3.869029999,-2.23139596,7.903259754,-1.210734963,0.664621413,0.054977871,-8499,790,1060,-1146,-372,-519,0
12:29.1,-2.126051188,-3.165134668,9.765948296,-0.193033412,0.124616511,0.195476875,-8451,473,1399,-360,67,-150,0
12:29.2,-3.351882458,-2.559401512,9.488221169,-0.145385921,-0.156381503,0.390953749,-8494,591,1400,-370,-98,-289,0
12:29.4,-2.916137695,-3.497928619,10.73799419,-0.907745779,0.416610092,0.411723167,-8485,561,1377,-336,-86,-291,0
12:29.5,-3.801992416,-2.037465572,7.891288757,0.141720742,0.117286131,0.294437051,-8323,620,1006,-316,48,-230,0
12:29.6,0.948103845,-4.074931145,9.229647636,0.714712322,-1.167974353,-0.142942473,-8521,637,1292,-321,-335,-358,0
12:29.7,-2.691082716,-0.912190855,7.441178799,-0.463035852,1.363451242,0.021991149,-8474,616,1182,-242,-350,-288,0
12:29.8,-5.09725523,-0.895431459,9.363722801,0.087964594,-0.493579119,-0.751364231,-8569,209,1208,-229,373,-293,0
12:30.2,-3.162740469,-1.276109457,8.190564156,0.752586007,-0.718377531,-0.371406078,-8524,349,1362,51,347,-341,0
12:30.4,-1.223437071,-3.806780815,13.06755257,-0.449596822,-0.593761027,-0.031764992,-8421,398,989,39,298,563,0
12:30.5,-0.847547412,-4.189853191,8.856152534,-1.499063253,0.332310706,-0.070860371,-8421,387,1305,17,-54,596,0
12:30.6,-3.67988801,-4.09408474,9.282320023,0.312763005,0.527787566,-1.031140566,-8461,613,1544,59,-353,-320,0
12:30.7,-3.244143248,-4.259284973,8.693346024,0.513126791,0.182037845,0.024434609,-8466,606,1565,51,-304,-284,0
12:30.7,-3.05021286,-3.330334663,8.829815865,0.449596822,-0.260228604,-0.101403631,-8178,-29,1217,204,299,-877,0
12:30.8,-4.697423935,-2.138022184,7.060500622,-0.152716309,1.340238333,-0.173485726,-8509,-92,1190,175,316,-677,0
12:30.9,-5.91128397,-2.885013103,9.011775017,-0.427605659,-0.219911486,0.505796432,-8562,316,1366,-563,101,-43,0
12:31.0,-2.978386879,-3.366247654,7.778761387,-1.397659659,-1.03969264,0.713490605,-8461,239,1470,-607,-159,-113,0
12:31.2,-0.646434486,-4.582501888,7.905653954,-0.097738437,0.230907068,-0.259006858,-8123,-152,1600,148,333,-584,0
12:31.3,-1.165976286,-6.742072105,7.046135426,0.22357668,0.035430185,-0.079412483,-8179,-170,1090,1113,1045,12,0
12:31.4,0.687135875,-5.978321552,9.311050415,8.163602829,0.057421334,-0.643851995,-8357,-70,785,1677,1123,-112,0
12:31.5,4.072536945,0.940921247,8.250418663,0.235793978,0.064751714,0.780685782,-8385,157,590,1028,454,-16,0
12:31.6,-2.243366957,-1.230619669,6.50744009,-1.220508814,0.449596822,0.097738437,-8515,-71,749,375,-260,75,0
12:31.8,-4.836287498,0.354341865,8.559270859,-0.684169054,-0.453262001,-0.553443909,-8148,70,425,-126,326,-213,0
12:32.0,-1.584961534,-1.043871999,11.34851646,-0.409279704,-0.091629788,0.04642576,-8339,168,553,-1823,-364,864,0
12:32.1,-2.67671752,-5.379771233,8.667010307,0.379958183,0.224798411,-0.76480329,-8154,313,834,-782,-398,-312,0
12:32.3,-1.477222443,-3.280056238,7.922413349,0.812450767,-0.579100251,-0.310319543,-8571,-60,1065,-1141,-505,290,0
12:32.4,-2.48996973,-0.9648633,7.10599041,-0.229685336,0.406836241,0.059864793,-8110,-61,1335,-541,-468,-87,0
12:32.5,-1.479616642,-4.022258759,8.705317497,-0.381179899,-0.245567828,0.591317534,-8081,-98,934,616,398,-137,0
12:32.6,-3.007117271,-0.81642276,9.672574997,0.096516706,-0.520457208,0.42394048,-8383,147,731,659,913,72,0
12:32.7,-0.895431459,-1.721431017,10.48181534,0.398284137,-0.304210901,-0.166155353,-8555,559,413,543,522,197,0
12:32.9,-1.256955862,0.541089594,9.045293808,-0.378736466,0.256563395,0.028099801,-8534,433,769,-163,59,512,0
12:33.1,-3.045424461,-6.011840343,8.113949776,0.477696627,-0.238237441,-0.405614525,-8533,430,810,-180,5,209,0
12:33.3,-2.372653961,-3.026270866,9.533711433,0.93706727,0.018325957,-0.339641064,-8178,579,508,-210,-271,-517,0
12:33.6,-1.958456993,-2.097320795,10.34295177,0.219911486,-0.202807263,-0.018325957,-8534,553,831,-141,92,-170,0
12:33.7,-1.958456993,-2.097320795,10.34295177,0.219911486,-0.202807263,-0.018325957,-8534,553,831,-141,92,-170,0
12:33.9,-2.446874142,-2.090138197,8.978256226,-0.056199603,-0.234572262,0.547335267,-8335,577,895,56,-283,11,0
12:34.2,-2.798821688,-1.723825216,8.54251194,0.086742863,-0.338419348,-0.00122173,-8515,428,690,-290,-302,120,0
12:34.3,2.940079689,-2.398990154,12.9430542,0.441044718,-0.590095818,-0.037873644,-8500,415,722,-346,-300,116,0
12:34.4,0.136469498,-3.023876667,7.716512203,-0.612086952,0.109955743,0.323758572,-8483,808,1287,-247,-161,6,0
12:34.5,0.136469498,-3.023876667,7.716512203,-0.612086952,0.109955743,0.323758572,-8483,808,1287,-247,-161,6,0
12:35.2,-2.815581083,-3.634398222,8.59278965,0.507018149,-0.017104227,0.235793978,-8512,172,1023,2051,982,-157,0
12:35.5,-2.432508945,-3.550601006,8.406042099,-0.217468023,-0.175929189,0.767246723,-8527,781,747,-470,-350,259,0
12:35.7,-6.596025467,-4.50109911,8.43956089,-0.84788096,1.060462117,0.268780708,-8541,848,1139,-122,41,-359,0
12:35.8,-2.954444885,-2.226607561,7.082048416,0.234572262,-0.189368233,0.122173049,-8571,584,1083,-552,-160,-462,0
12:36.0,-3.263296843,-3.359065056,7.970297337,-0.205250725,-0.833220184,0.141720742,-8536,250,1348,-149,-521,-376,0
12:36.1,-0.974440098,-1.235408068,8.422801971,-0.087964594,-1.144761443,-0.078190751,-8531,552,1394,-133,-538,-346,0
12:36.2,-0.974440098,-1.235408068,8.422801971,-0.087964594,-1.144761443,-0.078190751,-8531,552,1394,-133,-538,-346,0
12:36.4,-4.580107689,-0.447715729,8.190564156,0.306654364,-0.587652385,-0.07696902,-8320,301,1449,-701,-411,-187,0
12:36.6,0.282515794,-5.959167957,13.2183876,0.190589949,-0.808785558,0.324980319,-8535,211,1130,49,61,121,0
12:36.9,-2.844311714,-2.889801502,9.143456459,-0.425162196,0.273667634,-0.095294975,-8451,271,1406,228,-342,-573,0
12:37.0,-2.8969841,-2.037465572,8.51617527,0.096516706,0.014660766,0.117286131,-8172,307,1384,569,-317,-564,0
12:37.2,-2.240972757,-2.724601507,8.63109684,0.028099801,0.02321288,-0.036651913,-8482,567,1357,91,24,-23,0
12:37.4,-2.240972757,-2.724601507,8.63109684,0.028099801,0.02321288,-0.036651913,-8482,567,1357,91,24,-23,0
12:38.0,-1.74776721,-4.043806553,8.626308441,-0.791681349,0.171042264,0.241902635,-8525,251,1285,-247,61,87,0
12:38.2,-2.226607561,-2.511517525,8.28633213,0.291993588,-0.169820532,0.118507855,-8514,167,1337,276,-116,-168,0
12:38.5,-4.297592163,-1.424550056,8.013393402,0.2003638,-0.437379509,-0.772133648,-8138,-24,1167,-127,-95,62,0
12:38.7,-1.757344007,-3.49553442,8.980650902,-0.714712322,0.101403631,-0.131946892,-8453,358,1341,-333,-27,-81,0
12:39.0,-3.490746021,-2.487575531,9.076418877,0.234572262,0.087964594,0.12339478,-8524,210,913,213,338,344,0
12:39.1,-0.93134445,-3.42131424,12.91432381,0.810007334,-0.393397212,0.108734012,-8572,518,954,69,-282,-109,0
12:39.4,-0.562637389,-1.654393315,8.106766701,0.141720742,2.002416372,0.383623362,-8560,132,1283,-239,-309,-272,0
12:39.7,-4.13239193,-2.073378563,9.117119789,-0.129503429,-0.150272846,-0.058643065,-8177,-110,1365,-2,417,103,0
12:40.0,-1.661576033,-2.724601507,8.997409821,0.061086524,-0.021991149,-0.149051115,-8374,422,743,-152,325,321,0
