ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
19:16.0,-0.509964943,-4.757278919,3.763684988,0.444709897,0.263893783,0.035430185,-7732,-2485,-1242,-1492,841,-1561,1
19:16.1,0.225054964,-9.3685112,3.270479441,-0.028099801,-0.041538838,-0.008552114,-7702,-2854,-1449,-1240,568,-1019,1
19:16.3,-0.701501071,-9.612719536,3.969586372,0.054977871,0.144164205,-0.018325957,-7745,-2708,-1802,-756,150,-833,1
19:16.5,0.119710088,-9.404424667,4.27125597,0.381179899,0.102625363,-0.434936047,-7710,-2559,-1733,1,350,-355,1
19:17.3,0.897825658,-9.258378029,3.440467834,0.607200027,0.002443461,0.184481308,-7683,-2605,-1698,309,264,1038,1
19:17.4,-0.275333196,-9.428366661,3.938461781,-0.678060412,0.151494578,-0.103847094,-7660,-2367,-1867,-4,96,537,1
19:17.9,0.325611442,-9.390059471,3.749319792,0.599869668,-0.064751714,-0.623082578,-7716,-2188,-1694,286,45,-15,1
19:18.0,1.48679924,-8.341399193,4.766855717,0.10751228,-0.045204028,0.163711891,-7991,-2417,-1448,126,-40,-265,1
19:18.1,-0.861912608,-9.842563629,2.810792685,-1.023810148,0.164933622,0.145385921,-7750,-2258,-1526,380,-63,-308,1
19:18.2,2.614468336,-8.640673637,5.372588634,0.715934038,0.019547688,1.516167521,-7999,-2403,-1654,288,271,-319,1
19:18.9,0.076614454,-6.373364925,1.192312479,0.70860368,-0.342084527,-0.443488181,-7383,-2603,-1251,-622,-43,-1042,1
19:19.3,0.260968,-9.313444138,2.940079689,0.89064151,-0.025656341,-0.098960169,-7790,-2907,-1513,-462,288,-529,1
19:19.4,-0.129286885,-7.869740963,3.833117008,-0.18692477,0.151494578,-0.105068825,-7358,-2540,-1867,-196,319,-275,1
19:19.7,0.763750315,-9.047688484,3.888183594,0.373849541,-0.042760566,-0.162490159,-7418,-2538,-1860,-209,290,-274,1
19:19.9,0.232237563,-8.327033043,4.223371983,-0.02687807,-0.112399206,0.067195177,-7707,-2677,-1852,292,78,-305,1
19:20.2,-0.155623108,-8.70771122,3.667917013,-0.259006858,0.18692477,0.00122173,-7795,-2455,-1527,514,-36,474,1
19:20.7,0.363918662,-9.181763649,2.652775526,0.52656585,-0.042760566,-0.585208893,-7672,-2359,-1465,534,-111,259,1
19:20.9,0.337582439,-7.314286232,4.608838081,-0.408057988,0.036651913,0.241902635,-7650,-2112,-1399,533,-132,316,1
19:21.0,0.328005642,-9.823410034,3.706224203,0.860098243,-0.039095376,-0.280998021,-7786,-2306,-1364,-117,-167,112,1
19:21.1,0.045489833,-9.21528244,3.722983599,-0.346971452,0.152716309,0.469144523,-7845,-2010,-930,-261,33,327,1
19:21.3,1.649604917,-10.41717148,4.474762917,-0.372627795,0.174707457,0.299323976,-7997,-2028,-994,-116,57,275,1
19:21.5,2.765302896,-9.030928612,2.839523315,-0.411723167,-0.302989155,0.169820532,-8062,-1956,-963,-60,113,286,1
19:21.6,-0.411802679,-9.890447617,2.686294317,-0.007330383,0.006108652,0.029321533,-7989,-1816,-1089,458,-533,767,1
19:21.7,0.615309834,-9.066842079,3.524264812,0.663399637,0.064751714,0.058643065,-8076,-1538,-810,952,-295,1300,1
19:21.9,-0.814028561,-8.829815865,4.34787035,0.95050633,0.47036624,0.003665192,-8284,-1225,-795,988,-301,1167,1
19:22.5,-0.751779318,-10.81700325,1.474828243,-0.014660766,0.124616511,-0.183259577,-8299,-1389,93,165,-639,98,1
19:22.7,0.02873042,-9.287108421,2.564189911,0.040317107,0.039095376,-0.04642576,-8484,-1394,236,-24,-292,127,1
19:22.8,0.071826048,-9.940725327,3.15795207,0.185703039,-0.147829384,0.134390354,-8525,-1393,198,51,-127,-257,1
