ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
14:11.0,-3.138798475,-0.217872351,8.827422142,0.204028994,-0.070860371,0.002443461,-8059,-2880,2421,1127,650,682,0
14:11.1,-3.138798475,-0.217872351,8.827422142,0.204028994,-0.070860371,0.002443461,-8059,-2880,2421,1127,650,682,0
14:11.3,-3.141192675,0.509964943,9.021351814,0.406836241,-0.406836241,-0.102625363,-8030,-2834,2322,9,-117,-23,0
14:12.1,-2.662352324,-0.383072257,9.040505409,-0.607200027,0.476474881,-0.169820532,-7583,-2693,1912,-326,115,-354,0
14:12.2,-3.56736064,-1.513135433,7.304709435,0.180816114,-0.37751472,0.312763005,-7579,-2712,2060,-51,63,310,0
14:12.5,-4.280832767,-2.291250944,7.87931776,-1.123992085,0.591317534,-0.707381964,-7562,-2727,2078,-67,66,286,0
14:12.6,-4.786009312,-2.281674147,8.712499619,0.665843129,-0.508239865,-0.288328409,-7594,-2924,2050,-257,112,-33,0
14:12.7,-3.823540211,-2.41335535,8.901641846,-0.923628271,0.43371433,0.461814135,-7976,-2567,2124,-366,-221,-46,0
14:13.1,-4.182670593,-3.797203779,7.848193169,-0.502131224,-0.196698606,0.68539083,-7793,-2719,2144,-332,49,-276,0
14:13.5,-4.853046894,-2.331952572,8.573636055,0.844215751,-0.472809702,0.686612546,-7611,-2900,1273,127,798,-74,0
14:13.7,-2.506729126,0.363918662,8.588001251,0.971275747,-0.395840675,0.719599247,-7969,-2860,1265,226,589,154,0
14:13.8,-2.123656988,1.589749932,9.21528244,-0.182037845,-0.142942473,-0.035430185,-8024,-2481,1425,186,47,76,0
14:14.3,-4.98233366,-0.229843363,10.56321812,0.160046697,-0.351858377,0.237015709,-7940,-2512,1597,-157,-221,102,0
14:14.4,-2.894589901,-1.74776721,10.83136845,-0.334754169,-0.2003638,-0.015882496,-7758,-2717,1420,-539,-332,-176,0
14:14.5,-2.779668093,-1.197100878,9.497797966,-0.202807263,0.206472456,0.166155353,-7713,-2791,1636,-562,-77,-366,0
14:14.6,-3.055001259,-1.910573006,9.59835434,0.131946892,-0.036651913,0.44715336,-7567,-3150,1622,-316,-111,18,0
