ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
17:02.7,0.095768064,-6.27999115,7.673416615,0.070860371,-0.160046697,-0.1001819,-7134,-2983,389,-180,-109,404,1
17:02.9,0.301669419,-6.624756336,6.933608055,-0.643851995,-0.002443461,-0.079412483,-7471,-3032,552,-347,527,620,1
17:03.0,0.474051923,-3.670311213,7.984662533,0.509461641,-0.02687807,0.015882496,-7448,-2760,341,-168,619,235,1
17:03.3,0.454898328,-5.20020628,7.714118004,0.277332813,0.098960169,-0.007330383,-7527,-2522,-285,-348,399,173,1
17:03.5,0.081402861,-6.651092529,7.022193432,-0.182037845,0.095294975,0.182037845,-7347,-2632,-130,121,259,178,1
17:03.6,0.363918662,-7.953537941,7.4363904,0.158824965,-0.091629788,-0.147829384,-7383,-2665,7,-71,88,331,1
17:03.7,0.031124622,-4.695029736,8.250418663,0.329867244,0.161268428,0.05009095,-7470,-2679,98,-51,-307,45,1
17:03.8,-2.992752075,-9.028534889,6.224924564,1.458746195,0.085521132,-1.221730471,-7448,-2556,33,-343,359,67,1
17:03.9,0.665588081,-6.490680695,6.715735912,-0.368962616,-0.020769419,-0.086742863,-7487,-2547,-334,3,325,-118,1
17:04.1,0.215478152,-8.789113998,8.59278965,-0.054977871,-0.078190751,-0.089186326,-7522,-2477,-168,-84,302,297,1
17:04.3,0.924161851,-7.24724865,7.252037048,0.010995574,-0.135612085,-0.157603234,-7400,-2292,54,168,-52,33,1
17:04.5,0.48123455,-6.550535679,7.362170219,0.073303826,0.042760566,0.010995574,-7274,-2834,110,69,11,-830,1
17:04.6,0.414196908,-6.335057735,7.383718014,-0.047647487,0.070860371,0.025656341,-7153,-3137,35,-391,327,-266,1
17:04.7,0.509964943,-5.772420406,7.568071365,-0.034208454,-0.037873644,-0.042760566,-7304,-2817,-318,53,139,541,1
17:04.8,0.462080926,-7.146692276,7.000645638,0.179594383,-0.090408057,-0.081855945,-7519,-2682,-311,-30,347,37,1
17:05.0,0.466869324,-6.845022678,7.275979042,0.585208893,-0.17715092,-0.334754169,-7500,-2686,-521,-208,3,318,1
17:05.2,1.604115129,-4.675876141,7.87931776,0.217468023,0.004886922,-0.021991149,-7485,-2660,-300,-489,80,-47,1
17:05.3,0.418985307,-7.153874874,7.237671852,0.22357668,-0.142942473,-0.283441484,-7440,-2458,-151,-527,130,83,1
17:05.5,0.316034615,-5.849034786,7.536946774,-0.332310706,0.357967019,0.370184332,-7459,-2479,-183,-150,233,62,1
17:05.6,1.383848548,-4.101267338,8.295908928,0.946841121,-0.322536856,-0.304210901,-7483,-2518,-592,-52,-22,-118,1
17:05.7,0.026336219,-7.841010571,6.746860504,0.726929665,0.219911486,0.147829384,-7158,-2440,-595,262,-61,-11,1
17:05.9,0.217872351,-6.43082571,7.733271599,-0.397062421,-0.063529983,-0.179594383,-7152,-2627,-155,146,55,264,1
17:06.2,0.567425787,-6.864176273,7.491456985,-1.103222609,0.24678956,0.295658767,-7447,-2588,-182,-362,5,-90,1
17:06.4,1.37427175,-4.604049683,7.982268333,0.860098243,-0.117286131,-0.695164621,-7469,-2630,-328,284,-112,-112,1
17:06.5,0.790086567,-5.877765179,7.35977602,-0.010995574,-0.103847094,0.019547688,-7138,-2639,-192,-52,311,14,1
17:06.6,0.873883605,-5.877765179,7.788338184,0.877202511,-0.098960169,-0.26145032,-7358,-2631,-345,370,-103,-80,1
17:06.9,1.534683347,-2.762908697,8.738836288,0.530231059,-0.059864793,-0.213802829,-7092,-2497,-303,188,76,19,1
17:07.1,0.694318473,-5.932831764,7.699752808,-0.450818539,0.138055548,0.277332813,-7338,-2615,-153,99,115,343,1
17:07.2,-0.237025961,-7.24485445,7.20654726,-0.234572262,0.091629788,0.079412483,-7493,-2433,30,72,27,-74,1
17:07.3,0.9672575,-4.268861771,8.042123795,-0.051312681,0.070860371,0.05375614,-7451,-2487,-286,119,-272,-258,1
