ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
46:35.0,-7.618350029,-1.503558636,5.904101372,-0.128281698,0.00122173,0.262672067,-7822,-1962,2134,56,-22,532,8
46:35.5,-7.762001991,-1.130063176,5.999869347,0.224798411,-0.00122173,0.070860371,-7910,-1898,2076,-276,327,231,8
46:35.6,-7.711723804,-1.00317049,5.928043365,0.328645498,-0.05009095,0.095294975,-8193,-1893,2075,-304,337,192,8
46:35.9,-7.675810814,-0.541089594,6.260837555,0.117286131,0.040317107,0.059864793,-8206,-1506,1765,31,43,345,8
46:36.3,-7.635109425,-0.414196908,6.172252178,0.035430185,-0.020769419,0,-8228,-1416,1785,-316,-107,300,8
46:36.7,-7.433996201,-0.524330199,5.940014362,-0.086742863,0.003665192,-0.064751714,-8206,-1569,1689,-274,-59,89,8
46:37.4,-7.539340973,-3.124433279,5.480327606,0.244346097,-0.010995574,-0.021991149,-7879,-1929,2164,-226,-135,-1082,8
46:38.0,-7.58961916,-3.473986626,5.305551052,-0.13072516,-0.068416908,-0.262672067,-7910,-2164,2352,54,200,246,8
46:38.1,-7.395689011,-3.813963413,5.530605793,-0.364075691,-0.014660766,-0.272445887,-8198,-2128,1925,-186,529,122,8
46:38.2,-7.323863029,-4.211400986,5.556941986,-0.168598801,0.079412483,-0.302989155,-8004,-2247,2125,86,-36,-637,8
46:38.3,-7.460332394,-4.458003521,5.38934803,0.125838235,0.075747289,-0.064751714,-8041,-2195,2175,87,-253,211,8
46:38.4,-7.086836815,-4.180276394,4.948814869,0.171042264,0.081855945,-0.028099801,-7873,-2323,1982,-380,-292,290,8
46:38.6,-7.254431248,-4.134786129,5.075707436,0.018325957,0.127059966,-0.002443461,-7839,-2184,1996,101,-116,-302,8
46:39.1,-7.520187378,-4.05577755,5.152322292,0.025656341,-0.018325957,0.081855945,-8052,-2424,2331,207,276,0,8
46:39.3,-7.776367188,-3.689464808,5.573701382,0.138055548,0.063529983,0.270002425,-7814,-2193,2329,237,341,-275,8
46:39.4,-7.584830761,-3.220201254,5.281609058,0.189368233,0.087964594,0.305432618,-8007,-2596,2308,411,277,-9,8
46:39.6,-7.608773232,-3.002328873,5.054159641,0.020769419,0.0842994,0.288328409,-8015,-2567,2314,813,-125,599,8
46:39.8,-7.802703381,-2.358288765,5.188235283,0.142942473,-0.059864793,0.241902635,-7860,-2016,2132,-47,347,155,8
46:40.2,-7.848193169,-1.604115129,5.188235283,0.012217305,0.007330383,0.10751228,-7841,-1957,2149,24,102,144,8
46:40.5,-8.042123795,-1.462857246,5.506663799,-0.02687807,0.007330383,0.024434609,-8056,-1936,2173,108,-22,611,8
46:41.6,-7.915230751,-1.532289028,5.415684223,0.103847094,-0.003665192,0.07696902,-7928,-1687,2121,15,-96,332,8
46:41.7,-7.991845131,-1.216254473,5.365406036,0.095294975,0.017104227,0.028099801,-7905,-1899,2069,-297,95,-59,8
46:41.8,-8.164227486,-1.055842996,5.398924828,0.064751714,0.003665192,0.051312681,-7924,-1851,2085,24,-118,-109,8
46:41.9,-8.068459511,-0.895431459,5.595249176,0.149051115,0.045204028,0.041538838,-7904,-1835,2103,81,110,71,8
46:42.1,-8.070854187,-0.529118598,5.564124584,0.025656341,-0.006108652,-0.004886922,-7916,-1885,2113,100,80,114,8
46:42.2,-8.070854187,-0.529118598,5.564124584,0.025656341,-0.006108652,-0.004886922,-7916,-1885,2113,100,80,114,8
46:42.3,-8.070854187,-0.529118598,5.564124584,0.025656341,-0.006108652,-0.004886922,-7916,-1885,2113,100,80,114,8
46:42.6,-7.163451672,-4.165910721,5.58088398,-0.078190751,0.106290549,-0.537561417,-7783,-2736,2064,280,344,-126,8
46:42.9,-7.505822182,-5.195417881,4.596867085,0.101403631,0.043982297,-0.169820532,-7962,-2744,2061,-626,81,369,8
46:43.1,-6.979097843,-5.408501625,4.364629745,-0.048869219,0.095294975,-0.064751714,-7630,-2914,2091,170,164,-139,8
46:43.2,-7.175422668,-5.564124584,4.407725334,-0.024434609,0.102625363,-0.103847094,-7768,-2782,2131,177,-36,-609,8
46:43.5,-7.10599041,-5.291185856,4.505887508,0.112399206,0.097738437,0.007330383,-7554,-3100,1922,560,123,-62,8
46:43.6,-7.35977602,-5.310339451,4.450820923,0.174707457,0.090408057,-0.00122173,-7943,-2932,1783,545,320,478,8
46:43.7,-7.910442352,-5.497087002,4.388571739,-0.197920337,-0.059864793,0.464257598,-8018,-2646,2101,217,260,642,8
46:44.1,-7.632715225,-2.559401512,4.654327869,0.227241874,0.008552114,0.403171062,-8039,-2310,2085,27,-86,138,8
46:44.4,-8.327033043,-1.903390408,5.061342239,-0.031764992,-0.025656341,0.032986723,-7822,-1960,2054,-305,-23,471,8
46:44.5,-8.116343498,-1.78128612,5.295974255,0.279776275,-0.002443461,0.072082102,-7879,-1785,2096,-306,84,-99,8
46:44.6,-8.252813339,-1.381454349,5.145139217,0.145385921,0.013439035,0.037873644,-7909,-1742,2098,-377,127,273,8
46:44.7,-8.154650688,-1.426944256,5.19781208,0.067195177,0.019547688,0.04642576,-7896,-1698,2106,-279,31,306,8
46:44.9,-8.192957878,-1.426944256,5.080495834,0.040317107,0.007330383,0.021991149,-7869,-1670,2111,-111,-106,-38,8
46:45.2,-8.224082947,-1.122880578,5.20020628,0.091629788,0.04642576,0.035430185,-7909,-1919,2123,86,120,-122,8
46:45.3,-8.219294548,-1.072602391,5.056553841,0.052534413,-0.009773844,0.020769419,-7924,-1887,2136,-119,-125,124,8
46:45.4,-8.216899872,-1.084573388,5.226542473,0.012217305,-0.02321288,-0.008552114,-8215,-1920,2160,109,8,-125,8
46:45.5,-8.221688271,-1.060631394,5.207388878,-0.02321288,0.003665192,-0.013439035,-7915,-1866,2163,72,-60,125,8
46:45.6,-8.214506149,-1.156399369,5.31512785,-0.030543262,-0.009773844,-0.020769419,-7921,-1907,2141,76,-105,120,8
46:45.7,-8.283937454,-1.194706678,5.207388878,-0.006108652,0.007330383,-0.004886922,-7914,-1910,2139,87,-125,125,8
46:45.8,-8.228871346,-1.091755986,5.164293289,-0.052534413,-0.003665192,-0.02321288,-7931,-1907,2138,84,-110,-108,8
46:45.9,-8.228871346,-1.091755986,5.164293289,-0.052534413,-0.003665192,-0.02321288,-7931,-1907,2138,84,-110,-108,8
46:46.4,-8.164227486,-1.204283476,5.183446884,0,-0.010995574,-0.035430185,-7936,-1826,1922,-90,64,273,8
46:46.5,-8.250418663,-1.316810966,5.185841084,0.029321533,0.021991149,-0.004886922,-7922,-1826,1948,-77,54,-39,8
46:46.6,-7.939172745,-1.491587639,4.970362663,-0.054977871,0.006108652,-0.054977871,-8199,-1802,1960,-97,64,-92,8
46:46.8,-8.334216118,-1.769315004,5.20020628,-0.302989155,0.012217305,-0.1001819,-8229,-1808,2022,-174,16,76,8
46:47.1,-8.010998726,-1.891419291,5.128379822,-0.124616511,0.079412483,-0.195476875,-8297,-1821,1972,-317,-350,-505,8
46:48.5,-7.51300478,-3.988739967,4.601655483,0,-0.010995574,0.039095376,-8051,-1984,2344,-607,-585,-1238,8
46:48.7,-7.618350029,-4.084507942,4.675876141,-0.036651913,0.019547688,-0.024434609,-8045,-2657,2206,31,-273,-628,8
46:48.8,-7.580042362,-4.108449936,4.795586109,-0.006108652,0.003665192,-0.014660766,-8056,-2681,2217,37,-306,-398,8
46:49.6,-7.65186882,-3.995922565,4.94402647,-0.020769419,0.062308256,-0.062308256,-7677,-2545,2244,-352,122,-840,8
46:49.8,-7.7284832,-4.153939724,4.584896088,0.007330383,0.051312681,-0.083077677,-7964,-2732,2017,-147,336,448,8
