ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
43:40.1,-2.442085743,-9.670180321,-0.035913024,-0.003665192,0.035430185,0.002443461,-7949,-2119,689,-151,-141,291,11
43:41.0,-2.480392933,-9.519346237,0.220266551,0.063529983,-0.048869219,0.009773844,-8037,-1788,753,31,121,70,11
43:41.1,-2.480392933,-9.519346237,0.220266551,0.063529983,-0.048869219,0.009773844,-8037,-1788,753,31,121,70,11
43:41.3,-2.384624958,-9.540893555,0.160411507,-0.025656341,0.017104227,-0.029321533,-7990,-1778,1054,113,126,116,11
43:41.5,-2.367865562,-9.564835548,0.277727395,0.018325957,0.007330383,0.003665192,-8051,-1741,1088,-25,127,-5,11
43:41.6,-2.406172752,-9.689333916,0.215478152,0.00122173,0,0.006108652,-8035,-1785,1100,-123,111,-12,11
43:41.8,-2.286462545,-9.665391922,0.387860686,-0.013439035,-0.04642576,-0.029321533,-7846,-1889,1085,-52,-263,376,11
43:41.9,-2.351106167,-9.18894577,0.354341865,-0.008552114,-0.025656341,-0.014660766,-7826,-1825,1302,102,-143,262,11
43:42.2,-2.410961151,-9.473855972,0.18674773,0.007330383,0.004886922,-0.045204028,-7846,-1841,1345,54,-144,-42,11
43:42.4,-2.442085743,-9.856928825,-0.411802679,-0.190589949,-0.184481308,0.106290549,-7852,-1525,1161,-322,-300,319,11
43:42.5,-2.662352324,-9.938331604,0.37349546,0.218689755,-0.041538838,-0.039095376,-7924,-1438,1245,98,-362,260,11
43:42.6,-2.358288765,-9.47146225,0.308852017,-0.189368233,0.048869219,0.013439035,-7921,-1621,1620,-303,-377,268,11
43:42.7,-2.504334927,-9.346963882,-0.299275219,-0.075747289,0.025656341,-0.04642576,-7892,-1411,1417,43,-324,-19,11
43:43.0,-2.298433542,-9.787496567,-0.019153614,-0.021991149,0.019547688,-0.004886922,-8207,-1181,1460,-26,-126,332,11
43:43.2,-2.389413357,-10.00536919,-0.208295554,-0.05009095,-0.024434609,0.048869219,-8221,-1190,1467,-94,-123,308,11
43:43.5,-2.360682964,-9.524134636,-0.04070143,0.041538838,0.014660766,0.010995574,-7829,-536,1849,-427,-126,738,11
43:43.5,-2.406172752,-9.574412346,0.086191259,-0.02321288,0.008552114,0.013439035,-8272,-294,1574,-243,501,-50,11
