ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
49:15.0,-4.022258759,-4.833893299,7.036558628,0.626747727,0.151494578,-0.301767439,-7645,-3084,3009,-604,585,-146,4
49:15.1,-3.830722809,-5.461174011,7.218518257,-0.4007276,-0.040317107,-0.277332813,-7623,-2733,3131,-628,250,72,4
49:15.2,-3.478775024,-5.906495571,7.062894821,-1.02991879,-0.028099801,-0.185703039,-7773,-3166,2737,-704,152,-199,4
49:15.4,-3.557783842,-7.053318024,6.174646378,0.2003638,0.235793978,-0.070860371,-7389,-3219,2924,-225,19,-783,4
49:15.5,-3.557783842,-7.053318024,6.174646378,0.2003638,0.235793978,-0.070860371,-7389,-3219,2924,-225,19,-783,4
49:15.6,-3.742137194,-7.465120792,4.970362663,-0.335975885,0.112399206,-0.030543262,-7510,-3470,2792,-185,-365,-1123,4
49:15.7,-3.773261786,-7.273584843,5.341464043,-0.073303826,-0.206472456,0.131946892,-7401,-3485,2737,-553,-160,-659,4
49:15.9,-3.790021181,-6.64869833,6.191405773,0.083077677,0.119729586,0.035430185,-7420,-3253,2545,-903,82,939,4
49:16.1,-4.036623955,-6.639121532,5.956773758,-0.031764992,-0.035430185,0.04642576,-7644,-2803,2832,-845,-215,589,4
49:16.4,-3.885789394,-6.868964672,6.014234543,-0.043982297,-0.078190751,-0.028099801,-7667,-3078,2920,-520,-304,-303,4
49:16.5,-3.921702385,-6.821080685,5.961562157,-0.05009095,0.024434609,0.118507855,-7608,-3107,2941,-366,-285,-260,4
49:16.6,-4.206612587,-7.010222435,5.793968201,-0.146607652,-0.239459172,0.149051115,-7805,-3142,2695,-333,50,-202,4
49:16.7,-3.552995205,-5.798756599,7.189787865,0.565661192,-0.263893783,0.095294975,-7797,-3172,2940,-337,75,-211,4
49:16.9,-3.670311213,-5.98789835,6.567295074,-0.128281698,0.173485726,-0.204028994,-7741,-3399,2713,317,-8,-775,4
49:17.4,-3.406949043,-6.464344501,6.251260757,-0.087964594,0.004886922,0.150272846,-7261,-4178,3100,31,328,-313,4
49:17.7,-3.284844637,-6.347028732,6.806715488,-0.494800836,-0.037873644,0.096516706,-7117,-4163,2718,-349,172,209,4
49:18.2,-3.476380825,-6.382941723,6.694188118,0.004886922,-0.02321288,-0.029321533,-7771,-3259,2474,-531,-27,303,4
