ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
00:43.0,-1.096544385,-5.925649166,9.203310966,1.51983273,0.63896507,1.941329718,-7993,-2749,2086,1503,-648,-512,8
00:43.1,-2.511517525,-4.220977783,7.608773232,1.230282545,1.004262447,1.892460585,-7597,-2501,2573,716,-149,-135,8
00:43.3,-4.508281708,-0.723048925,6.670246124,0.316428185,1.323134065,1.339016676,-7604,-2786,2843,455,-226,-595,8
00:43.4,-5.98789835,0.502782345,5.963956356,0.434936047,1.171639562,1.127657294,-7802,-3104,2772,1288,143,-251,8
00:43.5,-6.43082571,1.312022567,5.652710438,0.458148926,0.601091385,1.028697014,-7616,-2902,2726,1116,387,-296,8
00:43.6,-6.663063526,2.382230759,5.221754074,0.428827405,0.398284137,0.821002901,-7659,-2917,2738,554,-1,354,8
00:43.7,-6.83784008,3.703830004,5.185841084,0.553443909,0.128281698,0.486248732,-7617,-2904,2695,138,-88,622,8
00:43.8,-7.141903877,4.319139957,5.267243862,0.483805269,-0.008552114,0.243124366,-8009,-2837,2932,75,-12,499,8
00:44.0,-7.314286232,3.936067581,5.420472622,0.351858377,0.064751714,0.079412483,-7985,-2498,2833,-323,-348,-379,8
00:44.1,-7.007828236,5.145139217,4.659116745,0.259006858,-0.024434609,0.108734012,-8043,-2498,2885,0,-379,-515,8
00:44.2,-6.873753071,4.781220913,4.410119534,0.229685336,-0.041538838,0.041538838,-7938,-2912,2912,-142,-344,-589,8
00:44.4,-6.924031258,4.960785866,4.527435303,0.087964594,0.105068825,0.149051115,-7605,-2792,2930,-379,5,-213,8
00:44.4,-7.108384609,5.123591423,4.618414879,-0.009773844,0.134390354,0.034208454,-7746,-3177,2934,302,-327,-816,8
00:44.5,-7.010222435,5.142745018,4.584896088,0.194255143,0.052534413,0.106290549,-7724,-3065,2712,120,-102,-844,8
00:44.9,-6.835445881,5.334281445,4.230554581,-0.006108652,-0.07696902,-0.094073251,-7742,-3158,2951,23,-101,159,8
00:45.0,-6.983886242,5.23851347,4.199429989,-0.091629788,-0.025656341,-0.079412483,-7563,-3146,3038,-330,-8,616,8
00:45.2,-6.833051682,4.874594688,3.938461781,-0.252898216,-0.054977871,-0.182037845,-7766,-2891,2806,-593,623,1637,8
00:45.4,-7.165845871,4.295197964,4.326322556,-0.647517145,0.006108652,-0.272445887,-7653,-2831,2734,-93,480,2402,8
00:45.4,-7.259219646,3.722983599,4.888959885,-0.519235432,0.164933622,-0.361632228,-7609,-2334,2271,1449,513,2604,8
00:45.8,-6.548141479,-0.541089594,6.10042572,-0.602313161,-0.310319543,-1.521054506,-7858,-1846,931,-2292,1057,-1487,8
00:45.9,-7.369352818,-2.128445387,7.156269073,-0.935845554,-0.127059966,-1.849699974,-7890,-2085,1084,-1910,744,-1543,8
00:46.0,-7.290344238,-3.253720045,6.524199486,-1.229060888,0.065973446,-1.46363318,-8250,-2165,1619,-650,-239,-834,8
00:46.1,-8.051700592,-5.5042696,6.418854713,-1.435533285,0.362853944,-0.855211318,-8059,-1665,1788,29,-1544,-581,8
00:46.3,-6.782773495,-4.627991676,4.189853191,0.039095376,0.212581098,0.514348507,-7312,-2175,2633,-1087,-495,-457,8
00:46.6,-7.410054207,-4.874594688,3.222595453,-0.356745303,-0.217468023,0.010995574,-8480,-2717,2916,413,-837,-1179,8
00:46.7,-7.908048153,-6.311115742,3.19625926,-0.327423781,-0.171042264,0.086742863,-7162,-2526,2636,1099,-488,-1520,8
00:46.8,-7.553706169,-5.137956619,3.703830004,-0.2003638,0.094073251,0.128281698,-7300,-3162,2636,119,332,-1862,8
00:46.9,-7.821856976,-5.307945251,3.514688015,0.02687807,0.179594383,-0.057421334,-7473,-3960,2649,305,97,-1469,8
00:47.0,-7.527369976,-4.922478676,3.473986626,-0.542448342,0.205250725,-0.037873644,-7247,-4252,2523,1348,-1042,-3601,8
00:47.1,-7.565677166,-5.279214859,3.581725836,-0.091629788,-0.116064399,0.12339478,-7051,-4066,2720,206,-438,-2487,8
00:47.6,-7.101202011,-5.825092793,3.15795207,-0.108734012,-0.180816114,-0.189368233,-6333,-4013,1597,-2152,1155,255,8
00:47.8,-6.160281181,-6.20337677,3.689464808,-0.404392779,-0.254119933,-0.051312681,-8294,-3255,1508,-2863,542,3252,8
00:47.9,-6.289567947,-6.682217121,3.327940464,-0.50335294,-0.397062421,0.087964594,-7871,-1304,2373,-1098,-1998,2435,8
00:48.0,-6.72291851,-7.036558628,2.683900118,-0.228463605,-0.399505883,0.204028994,-8321,-2394,2540,-1354,-1163,102,8
00:48.2,-6.742072105,-7.304709435,2.114080191,0.182037845,-0.2846632,0.127059966,-8432,-2194,2911,-1102,-1200,-397,8
00:48.2,-7.031770229,-6.502651691,2.322375536,-0.359188765,0.122173049,0.364075691,-8155,-2347,2970,-119,-1725,-1399,8
00:48.5,-7.443572998,-6.141127586,3.303998232,0.031764992,-0.108734012,-0.051312681,-8263,-3493,1453,218,2529,1290,8
00:48.6,-6.397306919,-5.815515995,4.589684486,-0.349414915,0.018325957,-0.020769419,-7880,-3635,1648,1026,1967,1711,8
00:48.8,-7.323863029,-5.633556366,4.388571739,0.417831838,0.156381503,0.094073251,-7782,-3188,1177,706,1368,1051,8
00:49.4,-8.190564156,-0.665588081,3.53384161,0.591317534,0.058643065,0.603534877,-8056,-2645,2446,-632,253,-237,8
00:49.5,-8.925583839,0.500388145,3.749319792,0.368962616,0.109955743,0.390953749,-7914,-2695,2463,-541,87,-189,8
00:49.6,-8.966285706,1.211466074,3.684676409,0.351858377,0.042760566,0.382401645,-8042,-2447,2531,210,-1583,388,8
00:49.7,-9.193734169,1.127668977,3.521870613,0.116064399,-0.013439035,0.164933622,-7776,-2387,2827,-27,-1073,583,8
00:49.8,-9.313444138,1.328781962,3.241749048,0.131946892,0.094073251,0.117286131,-7627,-2371,3088,-249,524,49,8
00:50.0,-8.966285706,1.364694953,3.873818398,0.299323976,0.021991149,0.155159771,-7844,-2433,2525,-588,505,257,8
00:50.1,-8.966285706,1.364694953,3.873818398,0.299323976,0.021991149,0.155159771,-7844,-2433,2525,-588,505,257,8
00:50.4,-8.817844391,1.82198751,3.500322819,-0.034208454,0.019547688,0.061086524,-8001,-2599,2552,41,-326,-293,8
00:50.5,-8.77235508,2.078166962,3.667917013,-0.012217305,0.040317107,0.025656341,-7652,-2441,2896,-283,-92,-301,8
00:50.6,-8.731653214,2.00873518,3.411737442,-0.037873644,0.029321533,-0.034208454,-7637,-2522,2837,-471,341,-61,8
00:50.7,-8.281543732,1.843535304,3.208230257,-0.290771842,-0.047647487,-0.216246292,-7667,-2565,2260,-1149,468,1078,8
00:51.0,-9.014169693,1.163581967,3.581725836,-0.647517145,0,-0.454483747,-8120,-1201,1421,-2181,181,634,8
00:51.1,-7.424419403,-2.56658411,2.827552319,-2.475225925,0.175929189,-1.0995574,-8086,-1541,1652,-2849,96,828,8
00:51.2,-6.871358871,-4.493916512,2.236184359,-2.128254414,0.21013765,-1.549154282,-7868,-1414,1575,-3165,-295,571,8
00:51.3,-7.58961916,-7.414842606,1.771709204,-0.864985168,0.189368233,-1.938886285,-8218,-2105,1755,-2413,304,-89,8
00:51.4,-7.584830761,-8.178592682,1.249773264,-0.842994034,0.113620937,-1.604132175,-8149,-1843,1987,-1277,-315,817,8
00:51.5,-6.72531271,-8.664615631,0.739808321,-0.388510287,-0.025656341,-0.966388822,-8462,44,2737,2310,-932,1267,8
00:51.6,-6.009446144,-8.916007042,0.18435353,-0.037873644,-0.112399206,-0.348193198,-8454,73,3145,2201,-809,282,8
00:51.7,-5.532999992,-8.66940403,-0.533906996,0.289550126,-0.002443461,-0.182037845,-8265,46,2518,1266,288,-534,8
00:51.8,-5.532999992,-8.66940403,-0.533906996,0.289550126,-0.002443461,-0.182037845,-8265,46,2518,1266,288,-534,8
00:51.9,-4.776432514,-8.760383606,-0.438138902,-0.030543262,0.465479314,-0.021991149,-8105,-924,2141,1309,365,-1807,8
