ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
58:05.1,10.20408726,-3.766079187,-1.04147768,-0.280998021,0.403171062,0.166155353,-7836,-970,3125,-4051,412,-1349,3
58:05.3,8.825027466,-3.462015629,-0.634463429,-0.612086952,-0.365297407,0.756251156,-8315,-1231,2541,-2014,-25,312,3
58:05.4,9.447520256,-5.384559631,0.359130263,1.89734745,-1.425759435,0.454483747,-8431,-565,2615,-1334,498,804,3
58:05.5,10.15141487,-3.205836058,-0.272938997,3.011565685,-0.684169054,0.610865235,-7860,678,1711,-2269,1187,1001,3
58:05.7,9.916783333,-3.098097086,-0.521935999,1.02991879,-0.250454754,0.613308728,-8264,256,1371,-3077,385,-267,3
58:05.9,9.39484787,-4.316745758,-0.490811348,0.954171538,-0.792903066,0.635299861,-7348,-162,1834,-2154,-594,1180,3
58:06.0,7.769184589,-5.544970989,1.273715258,0.719599247,-0.67561698,0.270002425,-7154,428,2068,-2462,-432,2542,3
58:06.1,6.758831501,-4.932055473,1.230619669,1.189965487,-0.382401645,0.190589949,-7694,1571,1736,-2181,-625,2421,3
58:06.3,8.128314972,-5.252878666,0.390254885,0.933402121,0.080634214,0.029321533,-8045,3601,2620,-111,-512,1287,3
58:06.5,10.68292809,-2.604891539,0.849941611,-1.263269305,0.222354949,-0.659734488,-8521,4362,2633,680,43,177,3
58:06.7,11.39400578,-4.244919777,1.45088625,1.254717231,-0.505796432,0.150272846,-8138,4258,2181,549,631,56,3
58:06.9,10.94868469,-5.779603004,-2.669534922,-5.683490276,-0.318871647,1.534493446,-7537,1892,1483,128,717,-1501,3
58:07.0,9.090784073,-5.892130375,-5.207388878,-0.621860802,-0.853989601,1.985312104,-7468,1010,1506,644,863,-1387,3
58:07.2,1.237802267,-4.546588898,-5.762843609,-1.666440368,-0.989601672,1.596801758,-7574,197,1796,950,170,-2005,3
58:07.3,3.213018656,-6.069301128,-6.138733387,-1.34756875,-0.460592389,1.091005325,-8032,-916,741,3225,232,-2264,3
58:07.4,2.233790159,-5.422866821,-6.43082571,-0.174707457,-0.302989155,0.723264456,-8354,-486,352,1857,566,-2381,3
58:07.5,2.497152328,-5.398924828,-6.428431511,0.386066824,0.309097826,0.215024561,-8184,-2183,1146,-57,-1177,-2097,3
58:07.6,2.027888775,-7.862558365,-6.691793919,0.686612546,0.884532869,-0.365297407,-7751,-3697,1644,160,-2242,-2582,3
58:07.7,2.255337954,-10.45547867,-4.776432514,0.081855945,1.067792416,-0.42394048,-7179,-3962,1619,792,-2376,-2876,3
58:07.9,1.831564307,-15.26303577,-6.162675381,2.751337051,-0.074525557,1.952325344,-6993,-3720,1585,645,-1694,-2534,3
58:08.0,-0.253785372,-6.011840343,3.481169224,7.413460732,1.844812989,2.327396631,-6889,-3886,1547,836,-726,-1950,3
58:08.2,-1.283292055,-2.93768549,3.770867586,2.008524895,0.899193645,0.930958629,-7623,-2921,2879,89,190,107,3
58:08.3,-2.379836559,-0.70628953,5.233725071,2.421469927,-0.191811681,1.133765936,-7892,-2257,2835,640,574,-270,3
58:08.5,-4.472368717,0.378283858,3.957615376,-0.211359382,0.096516706,0.557109118,-7750,-1466,2677,1532,92,531,3
58:08.6,-0.799663365,3.031059265,6.428431511,1.172861218,-2.236988544,2.078163624,-7559,-3435,1854,138,762,-1241,3
58:08.8,1.367089152,16.84560394,14.43464184,1.263269305,-0.575435042,0.329867244,-7506,-2979,1884,21,1028,562,3
58:08.9,1.012747288,7.702147007,9.11233139,-0.641408503,2.257757902,-3.426954031,-7725,-2443,995,25,901,-313,3
58:09.3,8.236053467,25.40966225,20.64759636,1.936442852,-0.824668109,1.014036298,-7987,-1978,1408,-67,-217,1130,3
58:09.4,3.49553442,10.04846478,8.951920509,-1.058018565,3.992615223,-4.503298759,-7642,-1750,1232,49,-251,1065,3
58:09.5,0.553060591,-10.51054573,-7.7284832,-1.259604096,2.298074961,-1.933999419,-7802,-1743,1356,-246,-176,860,3
58:09.6,1.15400517,-3.136404276,3.483563423,-1.942551494,-1.26815629,2.293188095,-7389,-4340,461,-672,-786,-683,3
58:09.7,6.442796707,11.95185471,9.715670586,2.04639864,-4.560719967,4.801400661,-6831,-3514,986,406,-402,285,3
58:09.8,5.633556366,5.973533154,6.02620554,-2.971248627,5.51000452,-6.3774333,-6873,-2836,1812,-326,-464,-548,3
58:09.9,5.633556366,5.973533154,6.02620554,-2.971248627,5.51000452,-6.3774333,-6873,-2836,1812,-326,-464,-548,3
58:10.1,1.007958889,2.00873518,4.268861771,3.12274313,-4.408003807,3.833790302,-7117,-3684,1650,-251,204,444,3
58:10.2,9.411606789,21.36824989,19.93891144,2.010968447,-2.500882387,2.907718658,-7407,-3370,1499,-372,622,828,3
58:10.3,2.700659513,16.29493713,12.92629528,0.767246723,2.753780603,-2.884505749,-7944,-2679,1831,218,286,788,3
58:10.5,4.273650169,-6.950367451,3.330334663,-0.073303826,-2.795319319,3.307224512,-6992,-4403,1360,355,-293,-13,3
58:10.6,12.98375607,20.3770504,8.688557625,3.595552921,-4.908913136,5.58330822,-7343,-3070,709,-170,1246,1258,3
58:10.7,8.547300339,18.92137527,16.2135334,-0.742812157,1.601688623,-3.081204414,-7656,-2240,1050,439,807,817,3
58:10.8,4.647145271,-4.173093796,-9.169792175,-3.842342377,3.981619596,-5.492900372,-7095,-4520,777,378,-355,-503,3
58:10.9,4.647145271,-4.173093796,-9.169792175,-3.842342377,3.981619596,-5.492900372,-7095,-4520,777,378,-355,-503,3
58:11.0,7.28316164,15.68202114,12.83052731,1.772730947,-3.55645752,4.531398296,-8219,-2002,1078,756,624,738,3
58:11.1,7.350199223,19.9053936,11.9805851,-1.634675384,1.127657294,-2.160019398,-7414,-1969,793,-269,292,-382,3
58:11.2,5.145139217,-1.383848548,-3.663128614,-3.338989496,3.20215559,-4.686558247,-7112,-3009,-36,-952,807,-297,3
58:11.3,-2.020706177,1.570596337,3.172317266,2.076941729,-0.505796432,-0.329867244,-7268,-3797,595,2,-375,205,3
58:12.1,3.34230566,3.79480958,2.197877169,2.103819847,-3.126408339,2.813645363,-6811,-3592,643,119,-224,-471,3
58:12.2,5.635950565,25.00743675,11.54962921,3.756821156,-2.541199446,3.660304546,-7958,-3134,738,416,72,341,3
58:12.3,0.905008256,9.552865028,7.328651428,-3.401297569,2.421469927,-4.101349354,-7415,-2723,658,580,-302,87,3
58:12.4,1.649604917,6.172252178,6.402095318,3.200933933,-2.868623257,3.671300173,-7266,-3306,701,-100,-258,-823,3
58:12.5,0.730231524,11.15937424,6.414066315,-2.800206184,1.331686258,-2.45690012,-7676,-3486,1061,-878,392,-111,3
58:12.9,-4.371812344,5.992686749,11.20486355,-1.699427128,1.993864179,-2.127032757,-7296,-3662,809,-836,25,-511,3
58:13.1,1.458068848,24.10242844,13.21120453,3.888768196,-0.761138082,0.041538838,-6629,-3984,852,-642,-1008,-1331,3
58:13.2,2.583343744,-3.514688015,-1.754949808,-5.844758511,2.318844557,-3.271794319,-6582,-4071,686,-889,-1117,-1342,3
58:13.3,1.800439715,7.242460251,6.627150536,-3.811799049,2.101376534,-3.555235624,-6893,-3488,644,-225,268,-50,3
58:13.4,2.794033289,16.39070511,7.460332394,5.272988796,-3.26812911,1.045801282,-7290,-3566,577,-324,193,512,3
58:13.6,0.960074902,6.718130112,6.823474884,-1.75196147,0.658512712,-0.957836688,-7205,-4164,746,-546,-883,-441,3
58:13.8,0.44532153,-14.5878706,-2.662352324,-2.944370508,0.552222192,0.954171538,-7117,-3536,805,-273,-369,281,3
58:13.9,-1.482010841,20.2980423,11.03487587,3.55645752,-0.747699082,-0.179594383,-7002,-4419,199,-831,-295,-399,3
58:14.0,-1.482010841,20.2980423,11.03487587,3.55645752,-0.747699082,-0.179594383,-7002,-4419,199,-831,-295,-399,3
58:14.6,-0.74459672,19.87666321,11.69328117,2.197893143,-0.425162196,-0.436157793,-7136,-3230,1567,-827,-293,-105,3
58:14.8,2.401384354,-0.876277804,1.513135433,-2.030516148,0.334754169,0.003665192,-6821,-4260,-44,-1148,373,-244,3
58:14.9,3.361459255,8.422801971,4.757278919,1.525941372,-1.23516953,1.263269305,-6809,-3988,263,-291,335,549,3
58:15.7,2.262520552,-3.045424461,-1.230619669,-0.250454754,0.035430185,-0.329867244,-7964,-2663,821,206,424,949,3
58:15.8,3.634398222,-0.150834709,3.519476414,-1.628566742,-0.508239865,2.289522886,-7498,-2744,448,-620,-81,105,3
58:15.9,3.667917013,3.675099611,2.894589901,0.852767885,-1.804495931,2.511877775,-6999,-4159,-284,-220,763,281,3
58:16.1,9.423578262,18.05467415,6.792350292,0.373849541,0.949284613,-0.902858853,-7450,-2842,448,985,518,618,3
58:16.3,1.242590666,-7.297526836,-1.52510643,-1.104444385,1.159422278,-0.981049597,-8539,-1653,142,-92,339,1326,3
58:16.5,-0.763750315,7.381323814,5.030217648,0.915076137,0.355523586,0.173485726,-8342,-670,535,461,-797,1252,3
58:16.7,2.561795712,11.8824234,9.967061996,-0.5497787,2.014633656,-2.299296856,-7284,-3132,134,11,-23,863,3
58:16.9,2.767697096,4.38617754,6.792350292,0.491135657,-2.355496407,2.086715698,-7863,-2262,-160,-517,125,-269,3
58:17.0,7.764396191,9.971850395,8.190564156,0.432492584,-1.496619821,1.783726573,-7992,-2394,-284,469,-660,246,3
58:17.2,6.572083473,5.679046631,9.179368973,0.228463605,-1.980425119,1.467298269,-7406,-2236,-1322,283,1605,-1560,3
58:17.4,9.610325813,7.908048153,8.243236542,-0.766025007,0.679282129,-1.001819015,-7451,-2549,521,3823,-43,273,3
58:17.5,7.699752808,9.983820915,6.483498096,-1.073901057,2.835636377,-3.180164576,-7519,-2359,398,4378,784,-88,3
58:17.6,5.635950565,6.607996464,1.601720929,-2.151467323,2.827084303,-3.512475252,-7545,-2256,543,2279,549,53,3
58:17.7,0.581790984,-0.117315881,3.871424198,-0.990823448,1.213178396,-2.030516148,-7559,-2213,340,1544,582,-313,3
58:17.8,-3.069366693,-1.060631394,5.659893036,-1.222952247,0.789237916,-1.73852253,-7329,-2792,389,771,-1186,-216,3
58:17.9,-3.330334663,1.192312479,7.745242596,-0.014660766,-0.932180345,-0.150272846,-7407,-2691,606,381,69,177,3
58:18.1,-1.831564307,2.310404539,15.48569679,0.773355424,-1.544267297,0.520457208,-7166,-2972,941,114,-294,481,3
58:18.2,-1.831564307,2.310404539,15.48569679,0.773355424,-1.544267297,0.520457208,-7533,-2750,1069,103,-36,367,3
58:18.3,-3.744531393,7.28316164,15.04755783,2.624277115,0.131946892,0.403171062,-7648,-2240,191,105,876,363,3
58:18.5,6.27999115,-4.747702122,-1.841141105,-1.434311628,0.974940956,-0.151494578,-7553,-3144,881,817,-586,-635,3
58:18.7,-12.16733265,-10.9199543,10.65180302,-2.836858273,2.571742773,-1.816713214,-7650,-2641,1204,1366,-782,614,3
