ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,combined_action_num
52:45.2,9.737217903,-1.400607944,0.545877993,-0.116064399,-0.109955743,0.353080124,-7059,-3872,2048,10840,2470,2679,2
52:45.3,9.430760384,-2.952050686,1.944091797,-0.667064846,-0.0842994,0.597426236,-6570,-1885,665,16200,3344,4303,2
52:45.4,9.516951561,-1.371877551,2.018311977,-0.430049121,0.058643065,0.252898216,-6214,921,555,14930,3108,5716,2
52:45.5,8.621520042,-3.165134668,3.404554844,-0.987158239,0.604756594,-0.496022582,-6161,4134,321,4982,855,2811,2
52:45.6,8.152256966,-2.327163935,2.470816135,-0.156381503,1.161865711,-0.585208893,-7727,5048,-587,1217,805,2285,2
52:45.7,7.486668587,-3.833117008,3.076549292,1.031140566,1.494176388,-0.454483747,-8468,4875,-586,867,461,1963,2
52:45.8,9.435548782,-2.686294317,4.448426723,2.49355197,0.649960637,0.085521132,-7820,5155,-405,1078,-10,2706,2
52:46.1,11.92551899,1.422155857,4.230554581,1.500285029,-0.426383942,0.09285152,-6739,4868,-150,-257,-265,354,2
52:46.2,9.744400978,-1.015141487,2.449268341,-0.260228604,-0.616973877,0.4007276,-6318,4290,45,-81,-396,-150,2
52:46.3,8.796297073,-0.696712673,1.252167463,0.113620937,-0.442266434,0.087964594,-6503,4001,-6,-126,-593,31,2
52:46.4,9.208099365,0.474051923,2.49236393,-0.508239865,-0.120951317,-0.090408057,-7024,4273,243,30,-854,-204,2
52:46.5,9.639056206,0.756567717,2.410961151,0.607200027,-0.070860371,0.019547688,-7536,4771,131,-365,-621,-538,2
52:46.6,9.789890289,-0.919373453,1.666364431,0.899193645,0.094073251,0.111177474,-7663,5453,-125,-182,-793,-1854,2
52:46.8,9.923966408,-4.513070107,7.702147007,-3.535687923,4.036597729,-0.635299861,-7107,4310,867,-1406,-778,-2455,2
52:47.2,0.210689753,-6.06211853,0.421379507,0.017104227,0.199142069,1.229060888,-6544,491,1526,1217,-234,-4577,2
52:48.1,0.395043284,-3.581725836,10.09395409,1.43064642,-0.125838235,-0.35430184,-7938,-2555,1832,-671,616,-1335,2
52:48.2,-1.9321208,-3.497928619,8.35097599,0.260228604,0.150272846,-0.511905074,-7876,-3339,2380,-178,155,862,2
52:48.3,-0.916979253,-5.38934803,8.463502884,-0.378736466,0.285884947,-0.003665192,-7948,-3217,2629,359,-93,207,2
52:48.4,-0.916979253,-5.38934803,8.463502884,-0.378736466,0.285884947,-0.003665192,-7948,-3217,2629,359,-93,207,2
52:48.5,-1.800439715,-5.19781208,9.92636013,1.153313637,-0.631634653,0.337197602,-7671,-3243,2476,876,115,277,2
52:48.9,-2.518700123,-5.846640587,6.995857239,-1.106887817,0.98349303,-1.287703991,-8382,-2962,-397,713,725,561,2
52:49.1,-0.114921682,-2.41335535,11.901577,0.441044718,0.106290549,0.003665192,-7118,-3651,760,3733,1274,-322,2
52:49.2,0.732625723,-2.238578558,10.29027843,-0.642630219,1.050688267,-0.766025007,-7103,-3265,696,3168,1154,-569,2
52:49.3,0.93134445,-5.849034786,9.715670586,0.406836241,2.05983758,-0.558330834,-7769,-3476,984,2509,546,-262,2
52:49.4,-1.244984865,-7.570465565,8.233659744,-1.569923639,2.906496763,0.010995574,-7115,-2591,1175,1677,52,877,2
52:49.5,-6.366182327,-9.425971985,1.814804912,-6.783047676,3.909537554,1.797165513,-7165,-3127,1469,464,-28,105,2
52:49.7,-4.556165695,-3.993528366,-4.673481941,12.34803009,-0.129503429,2.88084054,-9066,-3483,2466,1052,-604,-729,2
52:49.8,-5.767632008,2.894589901,0.644040287,0.18692477,1.159422278,0.44715336,-6649,-3189,3587,1879,-40,-792,2
52:49.9,-8.846575737,-2.901772499,3.263296843,-2.932153225,1.060462117,-0.386066824,-6609,-3533,3509,1831,-25,-1205,2
52:50.0,-7.967903137,-3.778050184,2.628833532,-3.112969398,0.239459172,-1.359786034,-6932,-4110,3922,2120,107,-1475,2
52:50.1,-7.465120792,-2.971204281,-3.031059265,0.508239865,2.098932981,0.845437527,-6605,-3964,4102,2198,1298,-261,2
52:50.3,-8.863334656,0.026336219,-1.984793186,7.992560863,-1.844812989,1.736078978,-8300,-3011,1586,1984,1454,743,2
52:50.8,-8.892065048,-9.244012833,2.334346771,-0.260228604,0.311541289,0.056199603,-7560,-2989,3671,-24,-1149,479,2
52:51.0,-7.249642849,-3.174711466,1.644816518,-0.061086524,-0.163711891,0.162490159,-7725,-3128,3651,276,-1135,448,2
52:51.2,-6.672640324,-2.23139596,1.798045516,-0.504574716,0.476474881,-0.180816114,-7308,-2814,3646,22,-457,-126,2
52:51.5,-10.25197124,-1.711854219,0.198718742,1.180191636,1.441641927,-0.756251156,-7603,-2971,3256,353,291,355,2
52:51.8,-9.042900085,-5.779603004,-4.082113743,0.521678925,0.313984722,0.309097826,-7688,-3266,3000,-169,-14,-273,2
52:51.9,-7.544129372,-2.209848166,4.862623692,0.323758572,-0.758694649,0.439822972,-7725,-3016,3071,15,-298,-65,2
52:52.0,-8.743624687,-4.364629745,0.342370838,-0.488692194,0.24678956,-0.090408057,-7949,-3115,3410,-11,283,354,2
52:52.1,-9.418789864,-2.7509377,3.19625926,0.459370673,-0.020769419,0.075747289,-7790,-2765,3351,-325,-257,-37,2
52:52.2,-8.429984093,-4.13239193,2.142810583,0.814894259,-0.2003638,-0.007330383,-7776,-3008,3367,5,10,-287,2
52:52.4,-8.959102631,-1.419761658,1.359906554,0.043982297,0.05009095,0.160046697,-7770,-3174,3381,122,82,116,2
52:52.6,-8.827422142,-3.694253206,2.542642117,0.02321288,-0.05009095,-0.025656341,-7398,-2800,3016,-141,-97,-140,2
52:52.7,-4.680664539,-3.399766445,0.411802679,0.474031419,-0.465479314,0.064751714,-7789,-3047,3588,415,-602,-107,2
52:52.8,-11.70525169,-4.5370121,2.968810081,-0.465479314,-0.002443461,-0.296880513,-7775,-2982,3633,426,-618,-31,2
52:52.9,-10.65419769,-4.977545261,3.220201254,-0.504574716,0.237015709,0.13072516,-7720,-3138,3595,-284,164,-34,2
52:53.3,-9.399636269,-2.585737944,2.039859772,-0.257785141,1.050688267,-0.712268889,-7568,-2904,3849,-85,-325,-264,2
52:53.5,-8.995016098,-5.614402771,2.817975283,-1.356120825,0.397062421,0.116064399,-7715,-2850,3615,-270,41,-102,2
52:53.6,-6.7636199,-2.7533319,1.63763392,0.516791999,0.316428185,0.166155353,-7669,-2748,3321,-59,165,-107,2
52:53.7,-9.255983353,-3.82593441,1.285686255,1.46363318,-0.466701061,0.437379509,-7808,-2711,3641,321,-16,97,2
52:53.8,-9.071630478,-4.469974518,1.290474772,-0.657290995,0.025656341,-0.338419348,-7673,-2885,3647,247,128,273,2
52:53.9,-8.978256226,-4.295197964,1.939303398,0.291993588,-0.133168623,0.194255143,-8006,-2533,3574,179,-17,-56,2
52:54.0,-8.767566681,-3.509899616,1.793257117,0.271224171,-0.119729586,-0.021991149,-7721,-2536,3544,357,-151,-303,2
52:54.3,-7.659051418,-1.546654344,2.499546528,0.064751714,1.431868076,-0.593761027,-7623,-2925,3641,324,277,-123,2
52:54.4,-8.32463932,-4.668693542,-0.253785372,0.872315586,-0.370184332,0.103847094,-7597,-2497,3473,411,-68,361,2
52:54.5,-9.761159897,-6.397306919,1.462857246,-1.007927656,0.430049121,0.237015709,-8003,-2240,3956,-49,-258,267,2
52:54.6,-8.271966934,-4.268861771,1.685518026,1.310916781,-0.607200027,0.309097826,-7744,-2842,3849,-367,32,-202,2
52:54.7,-9.011775017,-4.587290287,1.654393315,-1.348790407,0.836885393,-0.831998467,-7788,-2709,3542,285,-37,101,2
52:54.8,-9.026140213,-5.214571476,1.975216389,-0.052534413,0.111177474,0.602313161,-8036,-2270,3906,573,-75,558,2
52:55.1,-7.687781811,-4.09408474,1.221042871,0.245567828,-0.079412483,-0.052534413,-7622,-2660,3897,-46,-268,-107,2
52:55.2,-10.11789608,-4.23294878,1.441309452,-0.759916365,0.228463605,-0.061086524,-7941,-2620,3960,108,-286,288,2
52:55.3,-8.870517731,-5.738901615,0.723048925,-0.119729586,0.06963864,-0.463035852,-7585,-2630,3734,-357,43,-378,2
52:55.4,-9.720458984,-4.90811348,0.842759013,-0.36774087,-0.101403631,0.2003638,-7783,-2542,3853,122,71,116,2
52:55.5,-8.74601841,-4.627991676,0.78050977,0.138055548,0.004886922,-0.256563395,-8008,-2033,4207,153,-129,309,2
52:55.6,-8.444349289,-5.267243862,1.051054597,1.012814522,-0.345749736,0.289550126,-7787,-2818,3577,-594,13,-161,2
52:55.7,-8.250418663,-1.632845521,3.67988801,-0.427605659,-0.324980319,0.131946892,-7953,-2510,4108,310,3,320,2
52:56.0,-6.806715488,-3.560178041,1.850717902,0.763581574,-0.879645944,0.779464066,-7676,-2423,4027,304,-335,373,2
52:56.1,-10.15141487,-6.050147533,0.543483794,0.24678956,-0.399505883,-0.505796432,-7805,-2222,3992,-111,-122,-91,2
52:56.2,-8.911218643,-4.838681698,1.319205165,0.417831838,-0.248011291,-0.357967019,-7678,-2325,4088,-30,89,310,2
52:56.3,-8.844181061,-3.912125587,2.226607561,0.059864793,-0.052534413,-0.1001819,-7770,-2209,4220,-359,-269,41,2
52:56.4,-8.599972725,-6.4691329,-0.380678058,-0.507018149,0.312763005,-0.487470478,-7582,-2257,4199,-261,-22,-41,2
52:56.6,-8.688557625,-5.377377033,0.962469101,0.131946892,-0.350636661,-0.521678925,-8009,-2026,3767,-669,308,-140,2
52:56.9,-10.72602367,-5.669469833,2.126051188,-0.365297407,0.057421334,0.05009095,-7585,-2554,4046,-1924,-1132,-347,2
52:57.0,-8.025363922,-8.221688271,-1.371877551,-0.790459633,0.043982297,0.109955743,-7390,-2490,4691,-453,-585,53,2
52:57.1,-8.327033043,-0.086191259,4.218583584,1.078788042,-0.345749736,0.47036624,-7372,-2520,4092,-542,336,8,2
52:57.2,-7.541735172,-10.38604736,4.496310711,-0.594982743,0.338419348,-0.206472456,-7644,-2636,3992,117,133,251,2
52:57.3,-9.279925346,-3.579331636,2.851494312,0.310319543,0.035430185,0.043982297,-7602,-2592,3977,-63,277,260,2
52:57.4,-8.339004517,-3.986345768,2.731784105,0.194255143,-0.059864793,-0.00122173,-7594,-2626,4216,-35,286,-28,2
52:58.1,-8.544905663,-4.27125597,2.166752577,0.045204028,-0.010995574,0.075747289,-7631,-2611,4219,125,265,112,2
52:58.2,-8.4012537,-3.397372246,2.499546528,-0.142942473,0.029321533,-0.017104227,-7974,-2204,3977,295,341,197,2
52:58.3,-8.585607529,-4.058171749,2.841917515,-0.012217305,-0.127059966,-0.141720742,-7745,-2304,3793,2,276,-223,2
52:58.4,-5.61919117,-2.7533319,1.963245392,-0.379958183,-0.378736466,-0.452040285,-7949,-2238,3980,640,-86,235,2
52:58.5,-10.71165848,-4.38378334,3.184288263,-0.33108896,-0.017104227,-0.349414915,-7636,-2339,4077,788,76,68,2
52:58.8,-8.202534676,-4.625597477,2.906560898,0.618195653,-0.21013765,0.141720742,-7586,-1927,4467,234,-374,-529,2
52:58.9,-8.24802494,-4.187458992,3.730166197,0.075747289,-0.106290549,-0.008552114,-7608,-2261,4092,569,-88,-16,2
52:59.0,-7.529764175,-8.226476669,-1.814804912,0.013439035,0.395840675,-0.188146502,-8059,-1940,4380,-75,-110,301,2
52:59.1,-8.044517517,-7.299921036,0.782903969,-0.185703039,-0.103847094,0.238237441,-8035,-2129,4387,105,2,180,2
52:59.2,-8.008605003,-5.664681435,0.502782345,-0.031764992,0.094073251,-0.065973446,-7583,-2416,4427,-317,-309,-814,2
52:59.4,-8.667010307,-6.244078159,2.243366957,-2.078163624,0.172263995,-0.217468023,-7623,-2588,4256,-62,14,-116,2
52:59.7,-7.448361397,-4.185064793,-1.302445769,1.672549009,-0.850324392,0.244346097,-8012,-2479,3795,-67,627,-59,2
52:59.8,-11.9662199,-7.151480675,2.171540976,1.20218277,-0.569326401,-0.32131511,-7586,-1719,4541,400,-303,225,2
52:59.9,-9.038111687,-3.086126089,5.128379822,-0.222354949,-0.432492584,0.365297407,-7627,-2091,4661,377,-74,38,2
53:00.0,-6.483498096,-2.834734917,2.748543501,-0.822224617,0.299323976,-0.265115529,-7806,-2420,4005,-263,-61,-304,2
53:00.1,-9.56004715,-8.678980827,-0.002394202,-2.108706713,1.105666041,-0.956614971,-7638,-2189,4002,6,361,94,2
53:00.2,-7.721300602,-5.705382824,2.327163935,1.935221076,-0.901637077,0.885754585,-7674,-1941,4366,-10,-47,286,2
53:00.5,-8.664615631,-3.268085241,1.726219416,-0.507018149,0.205250725,-0.288328409,-7971,-2182,4078,-115,54,35,2
53:00.6,-7.908048153,-4.709394932,2.351106167,0.5363397,-0.168598801,0.096516706,-7778,-2042,4419,115,-312,105,2
53:00.8,-8.702922821,-5.023035049,2.200271368,0.157603234,-0.041538838,0.056199603,-7616,-1990,4415,-16,-25,-24,2
53:00.9,-8.288725853,-4.290409565,2.334346771,-0.213802829,-0.018325957,-0.124616511,-7666,-1935,4371,-261,43,-81,2
53:01.0,-8.386888504,-5.851428986,1.742978811,0.042760566,0.02687807,-0.178372651,-7639,-2427,4010,84,261,-95,2
53:01.1,-8.604761124,-4.156333923,2.159569979,-0.087964594,0.070860371,0.195476875,-8017,-2149,4087,-67,127,362,2
53:01.5,-8.358158112,-4.534617901,2.322375536,-0.037873644,-0.034208454,-0.05375614,-7757,-2281,4059,294,52,-134,2
53:01.6,-8.880094528,-6.852205276,0.383072257,-2.177123785,0.737925231,-0.55955255,-7630,-2311,4383,443,291,314,2
53:01.7,-8.880094528,-6.852205276,0.383072257,-2.177123785,0.737925231,-0.55955255,-7630,-2311,4383,443,291,314,2
53:02.1,-8.145073891,-4.34787035,2.26730895,-0.109955743,-0.074525557,0.206472456,-7568,-2032,4479,-82,-65,-50,2
53:02.3,-8.113949776,-5.839457989,0.062249243,-0.322536856,-0.06963864,-0.197920337,-7956,-1725,4623,-633,-298,-258,2
53:02.4,-7.821856976,-5.760449409,0.361524463,0.317649931,-0.021991149,-0.070860371,-8002,-2111,4342,-620,-94,-351,2
53:02.5,-7.948749542,-5.535394192,0.16759412,0.287106663,0.010995574,-0.070860371,-7405,-2634,4387,-926,85,-457,2
53:02.6,-7.647080421,-5.370194435,0.378283858,-2.054950714,0.404392779,0.173485726,-7694,-2861,4448,-753,-139,-239,2
53:02.9,-8.882488251,-4.525041103,0.754173517,2.152689219,-1.631010175,0.893085003,-7963,-2565,4402,-144,155,293,2
53:03.2,-9.63666153,-5.377377033,2.30561614,0.388510287,-0.103847094,0.030543262,-7942,-1962,4304,131,63,590,2
53:03.4,-8.164227486,-3.758896589,2.588132143,0.095294975,0.105068825,0.140499011,-7716,-2633,4256,-22,88,38,2
53:03.5,-8.145073891,-5.418078423,0.739808321,0.93706727,-0.373849541,0.062308256,-7992,-2138,4543,-70,-327,138,2
53:03.6,-8.331821442,-4.280832767,2.221819162,0.097738437,-0.05009095,-0.02321288,-7685,-2649,4682,-610,-147,-441,2
53:03.7,-7.740454197,-4.216189384,1.946485996,-0.356745303,0.197920337,-0.019547688,-7747,-2470,4713,71,272,69,2
53:03.9,-9.773131371,-5.317522049,4.072536945,-2.695137501,0.50335294,-0.432492584,-7768,-2645,4722,-108,324,-112,2
53:04.1,-8.82263279,-2.111685991,2.33913517,1.069014192,-0.114842668,0.356745303,-7638,-2673,4318,262,17,-90,2
53:04.2,-7.546523571,-4.546588898,2.109291792,0.585208893,-0.030543262,-0.30787608,-7572,-1938,4528,519,-242,545,2
53:04.3,-9.804255486,-5.537788391,1.544260144,-0.226020142,-0.086742863,0.218689755,-7778,-2218,4492,-59,108,41,2
53:04.4,-9.761159897,-6.390124321,1.865083098,0.218689755,-0.014660766,0.537561417,-7759,-2380,4728,-225,101,8,2
53:04.5,-8.025363922,-4.912901878,2.537853718,-0.17715092,-0.020769419,-0.1001819,-7621,-2335,4707,-290,-87,-77,2
53:04.6,-9.442731857,-5.614402771,1.613691926,-0.794124842,0.26145032,-0.27488935,-7731,-2404,4284,-205,-4,-118,2
53:04.8,-9.093177795,-6.335057735,1.015141487,-0.389732033,0.017104227,-0.587652385,-7782,-2001,4676,-919,-601,-728,2
53:05.0,-8.441955566,-4.240131378,2.695871115,-0.106290549,-0.00122173,0.296880513,-7725,-2776,4929,-1169,-467,-429,2
53:05.1,-8.607154846,-7.390900612,0.18674773,-0.204028994,0.687834263,-0.416610092,-7101,-2815,4718,-662,-34,-532,2
53:05.2,-7.453149796,-2.535459518,2.628833532,1.373225093,-0.057421334,0.419053555,-7355,-3091,4461,321,490,-264,2
53:05.3,-8.688557625,-5.262455463,2.08295536,0.299323976,-0.311541289,0.034208454,-7802,-2443,4616,-355,-78,342,2
53:05.5,-9.11233139,-6.339846134,2.257732153,-0.105068825,-0.021991149,0.07696902,-7389,-2786,4335,-314,96,97,2
53:05.6,-8.939949036,-3.330334663,3.768473387,-0.660956204,0.15393804,-0.002443461,-7395,-2520,4663,97,65,-67,2
53:05.9,-8.971074104,-3.308786631,3.294421434,-0.703716755,0.199142069,-0.161268428,-7361,-2476,4667,122,-264,-115,2
53:06.0,-8.176198959,-4.09169054,2.147598982,0.513126791,-0.180816114,-0.043982297,-7411,-2635,4655,-377,24,118,2
53:06.1,-8.331821442,-3.610456228,2.33913517,0.122173049,0.10751228,-0.096516706,-7939,-2042,4901,-675,48,576,2
53:06.4,-8.092401505,-7.92001915,-2.578555346,0.188146502,0.916297853,0.156381503,-7418,-3456,4224,-576,-96,-302,2
53:06.9,-7.098807812,-3.531447411,4.101267338,0.0842994,-0.039095376,-0.191811681,-7764,-3228,3024,318,657,258,2
53:07.2,-7.831433773,-2.8969841,4.876988888,0.485027015,0.02321288,0.017104227,-7644,-3107,3539,-82,76,231,2
53:07.3,-9.251194954,-4.826710701,3.349488258,-1.092227101,0.5497787,-0.485027015,-7695,-2909,3670,94,116,326,2
53:07.4,-7.017405033,-3.663128614,3.555389643,0.13072516,0.065973446,-0.003665192,-7565,-2954,3244,-281,-18,-116,2
53:07.8,-8.518569946,-3.402160645,2.8993783,0.012217305,0.238237441,0.002443461,-7770,-2897,3639,-275,275,122,2
53:07.9,-8.61912632,-3.696647406,3.031059265,-0.472809702,0.245567828,-0.230907068,-7666,-2493,3650,339,-79,358,2
53:08.0,-8.418013573,-3.624821424,2.916137695,0.182037845,-0.089186326,0.106290549,-7750,-3137,3229,60,312,113,2
53:08.1,-8.135497093,-3.548206806,2.782062292,-0.289550126,0.030543262,-0.164933622,-8015,-2642,3633,371,66,607,2
53:08.7,-10.58716011,-5.183446884,2.844311714,0.04642576,-0.103847094,-0.379958183,-7646,-2882,3474,-286,30,-223,2
53:08.8,-9.10036087,-5.003881454,3.60327363,-3.396410704,0.373849541,-0.649960637,-7614,-2549,3530,-295,25,143,2
